#RiskFactor,TradeId,NettingSetId,CVA_Base,CVA,Change
ALL,,,89720.8669,80403.0124,-9317.8545
ALL,Swap_20y,Swap_20y,175820.5320,167536.2055,-8284.3265
ALL,Swap_20y_USD,Swap_20y_USD,48499.7951,50969.1459,2469.3508
IndexCurve/EUR-EURIBOR-6M/19,,,89720.8669,90772.6718,1051.8049
IndexCurve/EUR-EURIBOR-6M/19,Swap_20y,Swap_20y,175820.5320,177380.5526,1560.0206
IndexCurve/EUR-EURIBOR-6M/19,Swap_20y_USD,Swap_20y_USD,48499.7951,48508.7308,8.9357
IndexCurve/EUR-EURIBOR-6M/20,,,89720.8669,77034.8588,-12686.0082
IndexCurve/EUR-EURIBOR-6M/20,Swap_20y,Swap_20y,175820.5320,146542.5935,-29277.9385
IndexCurve/EUR-EURIBOR-6M/20,Swap_20y_USD,Swap_20y_USD,48499.7951,47186.8755,-1312.9196
SwaptionVolatility/EUR/41,,,89720.8669,89720.8669,0.0000
SwaptionVolatility/EUR/41,Swap_20y,Swap_20y,175820.5320,175820.5320,0.0000
SwaptionVolatility/EUR/41,Swap_20y_USD,Swap_20y_USD,48499.7951,48499.7951,0.0000
SwaptionVolatility/EUR/51,,,89720.8669,89720.8669,0.0000
SwaptionVolatility/EUR/51,Swap_20y,Swap_20y,175820.5320,175820.5320,0.0000
SwaptionVolatility/EUR/51,Swap_20y_USD,Swap_20y_USD,48499.7951,48499.7951,0.0000
SwaptionVolatility/EUR/52,,,89720.8669,89568.2133,-152.6537
SwaptionVolatility/EUR/52,Swap_20y,Swap_20y,175820.5320,176980.5414,1160.0094
SwaptionVolatility/EUR/52,Swap_20y_USD,Swap_20y_USD,48499.7951,48741.6181,241.8231
SurvivalProbability/CPTY_A/3,,,89720.8669,81753.8991,-7966.9678
SurvivalProbability/CPTY_A/3,Swap_20y,Swap_20y,175820.5320,166996.2205,-8824.3114
SurvivalProbability/CPTY_A/3,Swap_20y_USD,Swap_20y_USD,48499.7951,41887.2594,-6612.5357
SurvivalProbability/CPTY_A/4,,,89720.8669,100563.8119,10842.9450
SurvivalProbability/CPTY_A/4,Swap_20y,Swap_20y,175820.5320,207199.2583,31378.7264
SurvivalProbability/CPTY_A/4,Swap_20y_USD,Swap_20y_USD,48499.7951,58803.9536,10304.1585
