#TradeId,ScenarioLabel,Base NPV,Scenario NPV,Sensitivity
BasisSwap,basis_stress,-9253250.000000,-29627632.812500,-20374382.812500
Option,base_stress,20092500.000000,21097500.000000,1005000.000000
Option,basis_stress,20092500.000000,21099000.000000,1006500.000000
