#Type,IsPar,Factor_1,ShiftSize_1,Factor_2,ShiftSize_2,Currency,NettingSet,Date,Time,EPE,ENE,PFE,ExpectedCollateral,BaselEE,BaselEEE,TimeWeightedBaselEPE,TimeWeightedBaselEEPE
Base,false,,0.00000000,,0.00000000,EUR,CPTY_A,2016-02-05,0.000000,78657.58,0.00,78657.58,78657.58,78657.58,78657.58,78657.58,78657.58
Base,false,,0.00000000,,0.00000000,EUR,CPTY_A,2016-05-05,0.245902,278091.23,187897.77,1035940.47,0.00,279481.95,279481.95,279481.95,279481.95
Base,false,,0.00000000,,0.00000000,EUR,CPTY_A,2016-08-05,0.497268,364531.78,262231.35,1238982.72,0.00,368218.35,368218.35,324337.71,324337.71
Base,false,,0.00000000,,0.00000000,EUR,CPTY_A,2016-11-07,0.754098,383733.15,375426.01,1598227.44,0.00,389618.32,389618.32,346570.96,346570.96
Base,false,,0.00000000,,0.00000000,EUR,CPTY_A,2017-02-06,1.003002,485760.17,503314.27,1745433.12,0.00,495666.40,495666.40,383570.26,383570.26
Base,false,,0.00000000,,0.00000000,EUR,CPTY_A,2017-05-05,1.244098,644897.25,452258.23,2341665.38,0.00,661264.49,661264.49,437385.12,437385.12
Base,false,,0.00000000,,0.00000000,EUR,CPTY_A,2017-08-07,1.501632,673798.88,495845.66,2326620.56,0.00,694490.76,694490.76,481479.48,481479.48
Base,false,,0.00000000,,0.00000000,EUR,CPTY_A,2017-11-06,1.750947,604254.50,530406.38,2233638.41,0.00,625928.12,694490.76,502047.34,511809.88
Base,false,,0.00000000,,0.00000000,EUR,CPTY_A,2018-02-05,2.000262,633873.11,563083.31,2271741.63,0.00,659879.31,694490.76,521719.71,534579.45
Base,false,,0.00000000,,0.00000000,EUR,CPTY_A,2018-05-07,2.249577,758002.25,465720.18,2463295.00,0.00,793058.20,793058.20,551791.48,563226.01
Base,false,,0.00000000,,0.00000000,EUR,CPTY_A,2018-08-06,2.498892,780468.21,509162.30,2831837.81,0.00,820660.32,820660.32,578616.59,588910.29
Base,false,,0.00000000,,0.00000000,EUR,CPTY_A,2018-11-05,2.748207,720977.41,553002.23,2743729.50,0.00,761909.73,820660.32,595244.79,609934.46
Base,false,,0.00000000,,0.00000000,EUR,CPTY_A,2019-02-05,3.000262,684211.46,552568.55,2534871.50,0.00,726724.41,820660.32,606290.52,627637.74
Base,false,,0.00000000,,0.00000000,EUR,CPTY_A,2019-05-06,3.246837,784394.77,431612.65,2780429.63,0.00,837266.86,837266.86,623831.61,643557.65
Base,false,,0.00000000,,0.00000000,EUR,CPTY_A,2019-08-05,3.496152,795878.23,479173.95,2911474.25,0.00,853786.99,853786.99,640230.02,658549.37
Base,false,,0.00000000,,0.00000000,EUR,CPTY_A,2019-11-05,3.748207,733147.60,585174.62,2668094.84,0.00,790481.85,853786.99,650333.97,671678.47
Base,false,,0.00000000,,0.00000000,EUR,CPTY_A,2020-02-05,4.000000,748988.68,649948.70,2711888.81,0.00,811658.46,853786.99,660489.05,683141.87
Base,false,,0.00000000,,0.00000000,EUR,CPTY_A,2020-05-05,4.245902,824934.74,510469.69,2632936.13,0.00,898395.18,898395.18,674267.40,695608.28
Base,false,,0.00000000,,0.00000000,EUR,CPTY_A,2020-08-05,4.497268,830616.56,512230.47,2587273.56,0.00,909171.74,909171.74,687396.93,707545.00
Base,false,,0.00000000,,0.00000000,EUR,CPTY_A,2020-11-05,4.748634,777216.65,591061.39,2800939.00,0.00,855037.10,909171.74,696270.86,718217.99
Base,false,,0.00000000,,0.00000000,EUR,CPTY_A,2021-02-05,5.000262,759568.04,599018.97,2775935.75,0.00,839860.33,909171.74,703496.71,727827.35
Base,false,,0.00000000,,0.00000000,EUR,CPTY_A,2021-05-05,5.244098,903096.97,566662.47,3058158.00,0.00,1003461.31,1003461.31,717444.21,740643.55
Base,false,,0.00000000,,0.00000000,EUR,CPTY_A,2021-08-05,5.496152,882514.39,586670.45,2967590.50,0.00,985565.66,1003461.31,729740.32,752696.43
Base,false,,0.00000000,,0.00000000,EUR,CPTY_A,2021-11-05,5.748207,788378.70,590629.57,2753285.63,0.00,884904.03,1003461.31,736544.14,763692.29
Base,false,,0.00000000,,0.00000000,EUR,CPTY_A,2022-02-07,6.005741,791840.92,619835.07,2750807.25,0.00,893397.08,1003461.31,743270.20,773973.91
Base,false,,0.00000000,,0.00000000,EUR,CPTY_A,2022-05-05,6.244098,883542.56,523657.14,2841431.31,0.00,1001641.13,1003461.31,753133.01,782734.14
Base,false,,0.00000000,,0.00000000,EUR,CPTY_A,2022-08-05,6.496152,877465.13,538382.69,2786401.88,0.00,999797.54,1003461.31,762703.74,791298.49
Base,false,,0.00000000,,0.00000000,EUR,CPTY_A,2022-11-07,6.753687,791720.20,587308.64,2768313.25,0.00,906774.33,1003461.31,768197.50,799388.77
Base,false,,0.00000000,,0.00000000,EUR,CPTY_A,2023-02-06,7.003002,766358.52,599893.06,2684925.56,0.00,882131.07,1003461.31,772253.67,806653.99
Base,false,,0.00000000,,0.00000000,EUR,CPTY_A,2023-05-05,7.244098,834999.45,529029.99,2799757.75,0.00,965804.66,1003461.31,778695.38,813204.07
Base,false,,0.00000000,,0.00000000,EUR,CPTY_A,2023-08-07,7.501632,850099.27,547824.83,2832972.63,0.00,988366.55,1003461.31,785893.48,819735.68
Base,false,,0.00000000,,0.00000000,EUR,CPTY_A,2023-11-06,7.750947,784350.50,591364.27,2882100.19,0.00,916499.45,1003461.31,790094.52,825645.36
Base,false,,0.00000000,,0.00000000,EUR,CPTY_A,2024-02-05,8.000000,808840.42,631168.23,2865753.19,0.00,949857.63,1003461.31,795068.20,831181.06
Base,false,,0.00000000,,0.00000000,EUR,CPTY_A,2024-05-06,8.248634,861115.97,534987.32,3014142.63,0.00,1016320.85,1016320.85,801737.30,836761.62
