#NettingSetId,RiskType,Bucket,MarginType,RiskFactor,CvaType,Sensitivity,RiskWeight
,InterestRate,EUR,Delta,1Y,CvaAggregate,-1120003.4884,0.0111
,InterestRate,EUR,Delta,1Y,CvaHedge,0.0000,0.0111
,InterestRate,EUR,Delta,5Y,CvaAggregate,5266443.0511,0.0074
,InterestRate,EUR,Delta,5Y,CvaHedge,0.0000,0.0074
,InterestRate,USD,Delta,1Y,CvaAggregate,-1183520.9286,0.0111
,InterestRate,USD,Delta,1Y,CvaHedge,0.0000,0.0111
,InterestRate,USD,Delta,5Y,CvaAggregate,5184321.6988,0.0074
,InterestRate,USD,Delta,5Y,CvaHedge,0.0000,0.0074
,InterestRate,EUR,Vega,IRVolatility,CvaAggregate,28158.1981,1.0000
,InterestRate,EUR,Vega,IRVolatility,CvaHedge,0.0000,1.0000
,InterestRate,USD,Vega,IRVolatility,CvaAggregate,45027.8823,1.0000
,InterestRate,USD,Vega,IRVolatility,CvaHedge,0.0000,1.0000
,ForeignExchange,USD,Delta,FXSpot,CvaAggregate,37779.0175,0.1100
,ForeignExchange,USD,Delta,FXSpot,CvaHedge,37779.0175,0.1100
,ForeignExchange,USD,Vega,FXVolatility,CvaAggregate,-46.6537,1.0000
,ForeignExchange,USD,Vega,FXVolatility,CvaHedge,-46.6537,1.0000
,CreditCounterparty,2,Delta,CPTY_A/1Y,CvaAggregate,-293224.9065,0.0500
,CreditCounterparty,2,Delta,CPTY_A/1Y,CvaHedge,0.0000,0.0500
,CreditCounterparty,2,Delta,CPTY_A/5Y,CvaAggregate,10004592.0082,0.0500
,CreditCounterparty,2,Delta,CPTY_A/5Y,CvaHedge,0.0000,0.0500
CPTY_A,InterestRate,EUR,Delta,1Y,CvaAggregate,-1120003.4884,0.0111
CPTY_A,InterestRate,EUR,Delta,1Y,CvaHedge,0.0000,0.0111
CPTY_A,InterestRate,EUR,Delta,5Y,CvaAggregate,5266443.0511,0.0074
CPTY_A,InterestRate,EUR,Delta,5Y,CvaHedge,0.0000,0.0074
CPTY_A,InterestRate,USD,Delta,1Y,CvaAggregate,-1183520.9286,0.0111
CPTY_A,InterestRate,USD,Delta,1Y,CvaHedge,0.0000,0.0111
CPTY_A,InterestRate,USD,Delta,5Y,CvaAggregate,5184321.6988,0.0074
CPTY_A,InterestRate,USD,Delta,5Y,CvaHedge,0.0000,0.0074
CPTY_A,InterestRate,EUR,Vega,IRVolatility,CvaAggregate,28158.1981,1.0000
CPTY_A,InterestRate,EUR,Vega,IRVolatility,CvaHedge,0.0000,1.0000
CPTY_A,InterestRate,USD,Vega,IRVolatility,CvaAggregate,45027.8823,1.0000
CPTY_A,InterestRate,USD,Vega,IRVolatility,CvaHedge,0.0000,1.0000
CPTY_A,ForeignExchange,USD,Delta,FXSpot,CvaAggregate,37779.0175,0.1100
CPTY_A,ForeignExchange,USD,Delta,FXSpot,CvaHedge,37779.0175,0.1100
CPTY_A,ForeignExchange,USD,Vega,FXVolatility,CvaAggregate,-46.6537,1.0000
CPTY_A,ForeignExchange,USD,Vega,FXVolatility,CvaHedge,-46.6537,1.0000
CPTY_A,CreditCounterparty,2,Delta,CPTY_A/1Y,CvaAggregate,-293224.9065,0.0500
CPTY_A,CreditCounterparty,2,Delta,CPTY_A/1Y,CvaHedge,0.0000,0.0500
CPTY_A,CreditCounterparty,2,Delta,CPTY_A/5Y,CvaAggregate,10004592.0082,0.0500
CPTY_A,CreditCounterparty,2,Delta,CPTY_A/5Y,CvaHedge,0.0000,0.0500
