#NettingSet,RiskType,CvaType,MarginType,RiskFactor,Bucket,Value
,InterestRate,CvaAggregate,Delta,1Y,EUR,-1120003.4884
,InterestRate,CvaAggregate,Delta,1Y,USD,-1183520.9286
,InterestRate,CvaAggregate,Delta,5Y,EUR,5266443.0511
,InterestRate,CvaAggregate,Delta,5Y,USD,5184321.6988
,InterestRate,CvaAggregate,Vega,IRVolatility,EUR,28158.1981
,InterestRate,CvaAggregate,Vega,IRVolatility,USD,45027.8823
,ForeignExchange,CvaAggregate,Delta,FXSpot,USD,37779.0175
,ForeignExchange,CvaAggregate,Vega,FXVolatility,USD,-46.6537
,CreditCounterparty,CvaAggregate,Delta,CPTY_A/1Y,2,-293224.9065
,CreditCounterparty,CvaAggregate,Delta,CPTY_A/5Y,2,10004592.0082
CPTY_A,InterestRate,CvaAggregate,Delta,1Y,EUR,-1120003.4884
CPTY_A,InterestRate,CvaAggregate,Delta,1Y,USD,-1183520.9286
CPTY_A,InterestRate,CvaAggregate,Delta,5Y,EUR,5266443.0511
CPTY_A,InterestRate,CvaAggregate,Delta,5Y,USD,5184321.6988
CPTY_A,InterestRate,CvaAggregate,Vega,IRVolatility,EUR,28158.1981
CPTY_A,InterestRate,CvaAggregate,Vega,IRVolatility,USD,45027.8823
CPTY_A,ForeignExchange,CvaAggregate,Delta,FXSpot,USD,37779.0175
CPTY_A,ForeignExchange,CvaAggregate,Vega,FXVolatility,USD,-46.6537
CPTY_A,CreditCounterparty,CvaAggregate,Delta,CPTY_A/1Y,2,-293224.9065
CPTY_A,CreditCounterparty,CvaAggregate,Delta,CPTY_A/5Y,2,10004592.0082
