#TradeId,NettingSetId,CVA,DVA,FBA,FCA,FBAexOwnSP,FCAexOwnSP,FBAexAllSP,FCAexAllSP,COLVA,MVA,OurKVACCR,TheirKVACCR,OurKVACVA,TheirKVACVA,CollateralFloor,AllocatedCVA,AllocatedDVA,AllocationMethod,BaselEPE,BaselEEPE
,CPTY_A,85908.77,2621556.18,1250553.84,-12413.49,1344770.02,-14406.43,1405583.17,-15757.73,0.00,-33426.45,0.00,0.00,0.00,0.00,0.00,85908.77,2621556.18,None,0.00,0.00
BermSwp,CPTY_A,4414.82,0.00,0.00,-654.05,0.00,-740.34,0.00,-799.25,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.00,0.00,None,52509.75,52509.75
CC_SWAP_EUR_USD,CPTY_A,61960.81,2634806.89,1257957.13,-9186.39,1350679.15,-10390.50,1410306.79,-11181.91,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.00,0.00,None,0.00,0.00
FX_CALL_OPTION,CPTY_A,15636.83,0.00,0.00,-2420.68,0.00,-2622.22,0.00,-2752.55,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.00,0.00,None,274301.78,274301.78
Swap_EUR,CPTY_A,38699.38,68838.41,31711.54,-5690.03,36238.18,-6489.67,39340.74,-7035.99,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.00,0.00,None,154506.73,154667.93
Swap_USD,CPTY_A,50188.09,55610.44,25746.62,-7424.88,29168.94,-8416.26,31500.24,-9089.61,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.00,0.00,None,236952.63,236952.63
