TradeID	PortfolioID	ProductClass	RiskType	Qualifier	Bucket	Label1	Label2	AmountCurrency	Amount
1269351441A	9534	RatesFX	Risk_FX	BRL				USD	-25453.32084
1269351441A	9534	RatesFX	Risk_FX	JPY				USD	11801.52357
1269351441A	9534	RatesFX	Risk_FX	USD				USD	-4285.509136
1269351441A	9534	RatesFX	Risk_IRCurve	BRL	1	3m	Libor1m	USD	2.835422396
1269351441A	9534	RatesFX	Risk_IRCurve	BRL	1	6m	Libor1m	USD	28.11140241
1269351441A	9534	RatesFX	Risk_IRCurve	JPY	2	1y	Libor6m	USD	0.047348135
1269351441A	9534	RatesFX	Risk_IRCurve	JPY	2	3m	Libor6m	USD	-2.978991207
1269351441A	9534	RatesFX	Risk_IRCurve	JPY	2	6m	Libor6m	USD	-7.251665772
1269351441A	9534	RatesFX	Risk_IRCurve	USD	1	3m	Libor3m	USD	-0.110104937
1269472329A	9534	RatesFX	Risk_FX	BRL				USD	-44320.71152
1269472329A	9534	RatesFX	Risk_FX	USD				USD	35995.01266
1269472329A	9534	RatesFX	Risk_IRCurve	BRL	1	2y	Libor1m	USD	667.5279296
1269472329A	9534	RatesFX	Risk_IRCurve	BRL	1	3y	Libor1m	USD	166.9788295
1269472329A	9534	RatesFX	Risk_IRCurve	USD	1	10y	Libor3m	USD	1.603858011
1269472329A	9534	RatesFX	Risk_IRCurve	USD	1	1y	Libor3m	USD	-125.9533967
1269472329A	9534	RatesFX	Risk_IRCurve	USD	1	2y	Libor3m	USD	-104.2809878
1269472329A	9534	RatesFX	Risk_IRCurve	USD	1	3m	Libor3m	USD	-46.01790752
1269472329A	9534	RatesFX	Risk_IRCurve	USD	1	3y	Libor3m	USD	-1105.457705
1269472329A	9534	RatesFX	Risk_IRCurve	USD	1	5y	Libor3m	USD	8.130526124
1269472329A	9534	RatesFX	Risk_IRCurve	USD	1	6m	Libor3m	USD	-28.71140514
1269472345A	9534	RatesFX	Risk_FX	BRL				USD	-27690.19669
1269472345A	9534	RatesFX	Risk_FX	USD				USD	17427.26711
1269472345A	9534	RatesFX	Risk_IRCurve	BRL	1	2y	Libor1m	USD	697.1008637
1269472345A	9534	RatesFX	Risk_IRCurve	BRL	1	3y	Libor1m	USD	308.0726848
1269472345A	9534	RatesFX	Risk_IRCurve	USD	1	10y	Libor3m	USD	0.752104485
1269472345A	9534	RatesFX	Risk_IRCurve	USD	1	1y	Libor3m	USD	-135.6370886
1269472345A	9534	RatesFX	Risk_IRCurve	USD	1	2y	Libor3m	USD	-6.371796133
1269472345A	9534	RatesFX	Risk_IRCurve	USD	1	3m	Libor3m	USD	-412.8894016
1269472345A	9534	RatesFX	Risk_IRCurve	USD	1	3y	Libor3m	USD	-2.721885831
1269472345A	9534	RatesFX	Risk_IRCurve	USD	1	5y	Libor3m	USD	48.46863674
1269472345A	9534	RatesFX	Risk_IRCurve	USD	1	6m	Libor3m	USD	-111.2678619
1269941538A	9534	RatesFX	Risk_FX	PEN				USD	16503.24007
1269941538A	9534	RatesFX	Risk_FX	USD				USD	-11915.63371
1269941538A	9534	RatesFX	Risk_IRCurve	PEN	1	1y	Libor1m	USD	11.26803444
1269941538A	9534	RatesFX	Risk_IRCurve	PEN	1	2y	Libor1m	USD	13.77985014
1269941538A	9534	RatesFX	Risk_IRCurve	PEN	1	3m	Libor1m	USD	0.23588842
1269941538A	9534	RatesFX	Risk_IRCurve	PEN	1	3y	Libor1m	USD	-183.2592498
1269941538A	9534	RatesFX	Risk_IRCurve	PEN	1	5y	Libor1m	USD	-38.07592095
1269941538A	9534	RatesFX	Risk_IRCurve	PEN	1	6m	Libor1m	USD	3.041007653
1269941538A	9534	RatesFX	Risk_IRCurve	USD	1	10y	Libor3m	USD	-22.60064858
1269941538A	9534	RatesFX	Risk_IRCurve	USD	1	1y	Libor3m	USD	3.148237285
1269941538A	9534	RatesFX	Risk_IRCurve	USD	1	2y	Libor3m	USD	0.63799393
1269941538A	9534	RatesFX	Risk_IRCurve	USD	1	3m	Libor3m	USD	-37.48792217
1269941538A	9534	RatesFX	Risk_IRCurve	USD	1	3y	Libor3m	USD	147.2389641
1269941538A	9534	RatesFX	Risk_IRCurve	USD	1	5y	Libor3m	USD	583.7155076
1269941538A	9534	RatesFX	Risk_IRCurve	USD	1	6m	Libor3m	USD	2.896524619
1270078816A	9534	RatesFX	Risk_FX	BRL				USD	-30925.20862
1270078816A	9534	RatesFX	Risk_FX	USD				USD	53956.91144
1270078816A	9534	RatesFX	Risk_IRCurve	BRL	1	3y	Libor1m	USD	1198.630158
1270078816A	9534	RatesFX	Risk_IRCurve	BRL	1	5y	Libor1m	USD	188.4174537
1270078816A	9534	RatesFX	Risk_IRCurve	USD	1	10y	Libor3m	USD	-11.71933819
1270078816A	9534	RatesFX	Risk_IRCurve	USD	1	1y	Libor3m	USD	98.77518931
1270078816A	9534	RatesFX	Risk_IRCurve	USD	1	2y	Libor3m	USD	16.07066016
1270078816A	9534	RatesFX	Risk_IRCurve	USD	1	3m	Libor3m	USD	-143.826281
1270078816A	9534	RatesFX	Risk_IRCurve	USD	1	3y	Libor3m	USD	-975.335766
1270078816A	9534	RatesFX	Risk_IRCurve	USD	1	5y	Libor3m	USD	-232.5222013
1270078816A	9534	RatesFX	Risk_IRCurve	USD	1	6m	Libor3m	USD	48.28834391
