#Tenor,Date,EUR,EUR-EONIA,EUR-EURIBOR-3M,EUR-EURIBOR-6M,CPTY_A
1M,2016-03-07,0.998287893648318,0.998280442170193,0.998280486497644,0.998287893648318,0.999151045497464
2M,2016-04-05,0.996688899602406,0.996677288525253,0.996677320360171,0.996688899602406,0.998357514741305
3M,2016-05-05,0.995037462944926,0.995023957098075,0.995023988971793,0.995037462944926,0.997537284048252
4M,2016-06-06,0.993278946413390,0.993266532575445,0.998129840727177,0.993278946413390,0.996663114066715
5M,2016-07-05,0.991687975380534,0.991679331583079,0.997070820482761,0.991687975380534,0.995871559238138
6M,2016-08-05,0.989990100098999,0.989988083593282,0.995454394889928,0.989990100098999,0.995026109593975
7M,2016-09-05,0.988334429775642,0.988302686142604,0.998497541448491,0.988334429775642,0.994181377698095
8M,2016-10-05,0.986740429772775,0.986677094953606,0.997580918281227,0.986740429772775,0.993364578036241
9M,2016-11-07,0.984989998914151,0.984895046939117,0.995844445872330,0.984989998914151,0.992466873468628
10M,2016-12-05,0.983507220171629,0.983388167719536,0.995900722351640,0.983507220171629,0.991705820965619
11M,2017-01-05,0.981868175823618,0.981725116150114,0.996092636606531,0.981868175823618,0.990863907843720
1Y,2017-02-06,0.980179124133947,0.980014321365587,0.996290780435329,0.980179124133947,0.989995585929465
1Y1M,2017-03-06,0.978703587559229,0.978497949443862,0.996454840352896,0.978703587559229,0.989236428481714
1Y2M,2017-04-05,0.977125120317398,0.976871904274571,0.996629446689983,0.977125120317398,0.988423691491862
1Y3M,2017-05-05,0.975549198850268,0.975248561229381,0.996804083622911,0.975549198850268,0.987611622230569
1Y4M,2017-06-05,0.973923416784019,0.973581606984936,0.997483693454799,0.973923416784019,0.986773184897119
1Y5M,2017-07-05,0.972352659070460,0.971972562755202,0.998213447615050,0.972352659070460,0.985962471659243
1Y6M,2017-08-07,0.970627751436652,0.970205685398346,0.999016793843019,0.970627751436652,0.985071456382603
1Y7M,2017-09-05,0.969114449734098,0.968662628858150,0.999723298473812,0.969114449734098,0.984289107706518
1Y8M,2017-10-05,0.967551447991859,0.967069780396739,1.000454691118071,0.967551447991859,0.983480435337093
1Y9M,2017-11-06,0.965887024550591,0.965373628924084,1.001235433062192,0.965887024550591,0.982618583767484
1Y10M,2017-12-05,0.964381114095668,0.963845699279834,1.001943506714540,0.964381114095668,0.981838183175094
1Y11M,2018-01-05,0.962773943978390,0.962216202694384,1.002700966783754,0.962773943978390,0.981004647228726
2Y,2018-02-05,0.961169452258427,0.960589460968062,1.003458999485809,0.961169452258427,0.980171818916453
2Y1M,2018-03-05,0.959712229000416,0.959114092257301,1.003607551667454,0.959712229000416,0.979420194619353
2Y2M,2018-04-05,0.958099553560229,0.957480190197658,1.003673042670339,0.958099553560229,0.978588711435257
2Y3M,2018-05-07,0.956437698712112,0.955796501136596,1.003740650768890,0.956437698712112,0.977731146620901
2Y4M,2018-06-05,0.954934132742381,0.954273215425584,1.003801924541911,0.954934132742381,0.976954627655530
2Y5M,2018-07-05,0.953381206967635,0.952699957301724,1.003865315139840,0.953381206967635,0.976151981149152
2Y6M,2018-08-06,0.951727536245198,0.951024674081241,1.003932936189996,0.951727536245198,0.975296551710088
2Y7M,2018-09-05,0.950179825077595,0.949456771650047,1.003996335061377,0.950179825077595,0.974495267445955
2Y8M,2018-10-05,0.948634630817160,0.947891454133945,1.004059737936429,0.948634630817160,0.973694641501048
2Y9M,2018-11-05,0.947040569884517,0.946276670437480,1.004125258446995,0.947040569884517,0.972868019051051
2Y10M,2018-12-05,0.945500480719958,0.944716595780537,1.004188669463623,0.945500480719958,0.972068730021087
2Y11M,2019-01-07,0.943809275193640,0.943003484165985,1.004258426207050,0.943809275193640,0.971190270532730
3Y,2019-02-05,0.942325561711822,0.941500587125499,1.004319731587891,0.942325561711822,0.970418946363854
3Y1M,2019-03-05,0.940895259465165,0.940051765321188,1.004249905981943,0.940895259465165,0.969674800853469
3Y2M,2019-04-05,0.939314253439946,0.938450305131482,1.004133653473570,0.939314253439946,0.968851591065289
3Y3M,2019-05-06,0.937735904012288,0.936851573168916,1.004017414422650,0.937735904012288,0.968029080144765
3Y4M,2019-06-05,0.936210994312401,0.935307006462991,1.003904937830353,0.936210994312401,0.967233766690838
3Y5M,2019-07-05,0.934688564361432,0.933764986250423,1.003792473838420,0.934688564361432,0.966439106650639
3Y6M,2019-08-05,0.933117987576085,0.932174236137305,1.003676274282637,0.933117987576085,0.965618643819622
3Y7M,2019-09-05,0.931550049863829,0.930586196005778,1.003560088178177,0.931550049863829,0.964798877524219
3Y8M,2019-10-07,0.929934296957636,0.928949766398463,1.003440168242406,0.929934296957636,0.963953397129210
3Y9M,2019-11-05,0.928472441721061,0.927469237830340,1.003331503178282,0.928472441721061,0.963187820521376
3Y10M,2019-12-05,0.926962595903705,0.925940139575557,1.003219103426246,0.926962595903705,0.962396484550142
3Y11M,2020-01-06,0.925354799834688,0.924311880027429,1.003099224236285,0.925354799834688,0.961553109439673
4Y,2020-02-05,0.923850023805460,0.922787987239425,1.002986850505654,0.923850023805460,0.960763116514576
4Y1M,2020-03-05,0.922401039638560,0.921317311094679,1.002717685622707,0.922401039638560,0.960000073643557
4Y2M,2020-04-06,0.920805556661780,0.919697225187932,1.002383866691421,0.920805556661780,0.959158798575374
4Y3M,2020-05-05,0.919362034102538,0.918231483204611,1.002081439279288,0.919362034102538,0.958397029861685
4Y4M,2020-06-05,0.917821460627527,0.916667238667235,1.001758255704484,0.917821460627527,0.957583394387967
4Y5M,2020-07-06,0.916283468689000,0.915105658883811,1.001435176360354,0.916283468689000,0.956770449653748
4Y6M,2020-08-05,0.914797543285652,0.913596985566671,1.001122618140371,0.914797543285652,0.955984386066882
4Y7M,2020-09-07,0.913165808402565,0.911940317531906,1.000778916770513,0.913165808402565,0.955120462016323
4Y8M,2020-10-05,0.911783588748617,0.910537015864165,1.000487383902222,0.911783588748617,0.954388047829286
4Y9M,2020-11-05,0.910255714462241,0.908985879163675,1.000164714429860,0.910255714462241,0.953577815798915
4Y10M,2020-12-07,0.908681239332085,0.907387477402923,0.999831745418873,0.908681239332085,0.952742168735931
4Y11M,2021-01-05,0.907256723745003,0.905941353739238,0.999530088002604,0.907256723745003,0.951985496141744
5Y,2021-02-05,0.905736435118999,0.904398045935390,0.999207727269931,0.905736435118999,0.951177303768446
5Y1M,2021-03-05,0.904362206290546,0.903006350294442,0.998735898311583,0.904362206290546,0.950447913309993
5Y2M,2021-04-06,0.902793593128849,0.901418463087270,0.998162531018653,0.902793593128849,0.949615009068601
5Y3M,2021-05-05,0.901374387683065,0.899981852266607,0.997643201238231,0.901374387683065,0.948860820080257
5Y4M,2021-06-07,0.899762143389967,0.898349873065274,0.997052568429700,0.899762143389967,0.948003333603441
5Y5M,2021-07-05,0.898396440186926,0.896967484387157,0.996551699663004,0.898396440186926,0.947276377037749
5Y6M,2021-08-05,0.896886829488924,0.895439463818237,0.995997459873153,0.896886829488924,0.946472182492317
5Y7M,2021-09-06,0.895331182342788,0.893864882566477,0.995425664698576,0.895331182342788,0.945642762295673
5Y8M,2021-10-05,0.893923707921800,0.892440310056494,0.994907758870807,0.893923707921800,0.944891728085577
5Y9M,2021-11-05,0.892421612930867,0.890920001713063,0.994354433371102,0.892421612930867,0.944089557998611
5Y10M,2021-12-06,0.890922041968934,0.889402283276693,0.993801415607572,0.890922041968934,0.943288068917551
5Y11M,2022-01-05,0.889473243480788,0.887935985280332,0.993266529971358,0.889473243480788,0.942513082186753
6Y,2022-02-07,0.887882286182399,0.886325849413211,0.992678488275200,0.887882286182399,0.941661332167051
6Y1M,2022-03-07,0.886534614810502,0.884961963408591,0.991989928464995,0.886534614810502,0.940939238832763
6Y2M,2022-04-05,0.885140968729282,0.883551579680827,0.991262164693278,0.885140968729282,0.940191940184520
6Y3M,2022-05-05,0.883701571299562,0.882094927348065,0.990509867464986,0.883701571299562,0.939419497171558
6Y4M,2022-06-06,0.882168793938776,0.880543811733097,0.989708046380170,0.882168793938776,0.938596257441444
6Y5M,2022-07-05,0.880782010995269,0.879140469312741,0.988981956689072,0.880782010995269,0.937850819600737
6Y6M,2022-08-05,0.879301998511994,0.877642817788930,0.988206380898094,0.879301998511994,0.937054626924730
6Y7M,2022-09-05,0.877824472951617,0.876147717575365,0.987431413326309,0.877824472951617,0.936259110180081
6Y8M,2022-10-05,0.876396973451819,0.874703271494343,0.986682023364871,0.876396973451819,0.935489898302090
6Y9M,2022-11-07,0.874829405038246,0.873117131126595,0.985858351277851,0.874829405038246,0.934644495140724
6Y10M,2022-12-05,0.873501545970876,0.871773570813761,0.985160017229023,0.873501545970876,0.933927782521425
6Y11M,2023-01-05,0.872033767137910,0.870288469100984,0.984387438665345,0.872033767137910,0.933134920325411
7Y,2023-02-06,0.870521227543639,0.868758114496172,0.983590573707331,0.870521227543639,0.932317187946765
7Y1M,2023-03-06,0.869200988410074,0.867421261876427,0.982586295408239,0.869200988410074,0.931602259974403
7Y2M,2023-04-05,0.867788807054602,0.865991202518651,0.981471928805355,0.867788807054602,0.930836874071992
7Y3M,2023-05-05,0.866378920054760,0.864563500803990,0.980358826023196,0.866378920054760,0.930072116995428
7Y4M,2023-06-05,0.864924443210117,0.863090681738542,0.979209946006353,0.864924443210117,0.929282528084022
7Y5M,2023-07-05,0.863519209910938,0.861667761918292,0.978099408574535,0.863519209910938,0.928519048027231
7Y6M,2023-08-07,0.861976090081595,0.860105259449962,0.976879272041622,0.861976090081595,0.927679944430264
7Y7M,2023-09-05,0.860622291699725,0.858734490408747,0.975808287418598,0.860622291699725,0.926943176379933
7Y8M,2023-10-05,0.859224048059131,0.857318752349482,0.974701607861393,0.859224048059131,0.926181618288010
7Y9M,2023-11-06,0.857735092015936,0.855811204281188,0.973522533034284,0.857735092015936,0.925369979283528
7Y10M,2023-12-05,0.856387954441001,0.854447278771997,0.972455228513769,0.856387954441001,0.924635045819066
7Y11M,2024-01-05,0.854950250428435,0.852991693101973,0.971315610702762,0.854950250428435,0.923850072733716
8Y,2024-02-05,0.853514960033222,0.851538587081303,0.970177328406972,0.853514960033222,0.923065766054801
8Y1M,2024-03-05,0.852174450493467,0.850181527599471,0.969180187710789,0.852174450493467,0.922332662608007
8Y2M,2024-04-05,0.850743820110908,0.848733288515169,0.968126773107168,0.850743820110908,0.921549644141250
8Y3M,2024-05-06,0.849315591470493,0.847287516429240,0.967074503473637,0.849315591470493,0.920767290421546
8Y4M,2024-06-05,0.847935717702310,0.845890727105301,0.966057267013679,0.847935717702310,0.920010806314789
8Y5M,2024-07-05,0.846558085799971,0.844496240447668,0.965041100554029,0.846558085799971,0.919254943720340
8Y6M,2024-08-05,0.845136884169900,0.843057685948119,0.963992184778295,0.845136884169900,0.918474538096891
8Y7M,2024-09-05,0.843718068452984,0.841621581949766,0.962944409082816,0.843718068452984,0.917694795002309
8Y8M,2024-10-07,0.842255982842585,0.840141717939321,0.961864028696221,0.842255982842585,0.916890593239796
8Y9M,2024-11-05,0.840933156374643,0.838802838932454,0.960885981015703,0.840933156374643,0.916162394146128
