#TradeId,Factor,Up/Down,Base NPV,Scenario NPV,Difference
Swap_Prime_20y,DiscountCurve/USD/2/3M,Up,-2692.01,-2692.24,-0.23
Swap_Prime_20y,DiscountCurve/USD/3/6M,Up,-2692.01,-2692.97,-0.95
Swap_Prime_20y,DiscountCurve/USD/4/1Y,Up,-2692.01,-2695.13,-3.11
Swap_Prime_20y,DiscountCurve/USD/5/2Y,Up,-2692.01,-2698.54,-6.52
Swap_Prime_20y,DiscountCurve/USD/6/3Y,Up,-2692.01,-2703.49,-11.48
Swap_Prime_20y,DiscountCurve/USD/7/5Y,Up,-2692.01,-2717.26,-25.25
Swap_Prime_20y,DiscountCurve/USD/8/10Y,Up,-2692.01,-2668.89,23.12
Swap_Prime_20y,DiscountCurve/USD/9/15Y,Up,-2692.01,-2536.34,155.67
Swap_Prime_20y,DiscountCurve/USD/10/20Y,Up,-2692.01,-2579.11,112.91
Swap_Prime_20y,DiscountCurve/USD/11/30Y,Up,-2692.01,-2691.91,0.10
Swap_Prime_20y,DiscountCurve/USD/2/3M,Down,-2692.01,-2691.79,0.23
Swap_Prime_20y,DiscountCurve/USD/3/6M,Down,-2692.01,-2691.06,0.95
Swap_Prime_20y,DiscountCurve/USD/4/1Y,Down,-2692.01,-2688.90,3.11
Swap_Prime_20y,DiscountCurve/USD/5/2Y,Down,-2692.01,-2685.49,6.52
Swap_Prime_20y,DiscountCurve/USD/6/3Y,Down,-2692.01,-2680.53,11.48
Swap_Prime_20y,DiscountCurve/USD/7/5Y,Down,-2692.01,-2666.76,25.25
Swap_Prime_20y,DiscountCurve/USD/8/10Y,Down,-2692.01,-2715.15,-23.14
Swap_Prime_20y,DiscountCurve/USD/9/15Y,Down,-2692.01,-2847.84,-155.83
Swap_Prime_20y,DiscountCurve/USD/10/20Y,Down,-2692.01,-2805.07,-113.06
Swap_Prime_20y,DiscountCurve/USD/11/30Y,Down,-2692.01,-2692.12,-0.10
Swap_Prime_20y,IndexCurve/USD-LIBOR-3M/0/2W,Up,-2692.01,-2681.78,10.23
Swap_Prime_20y,IndexCurve/USD-LIBOR-3M/1/1M,Up,-2692.01,-2633.72,58.29
Swap_Prime_20y,IndexCurve/USD-LIBOR-3M/2/3M,Up,-2692.01,-2692.27,-0.26
Swap_Prime_20y,IndexCurve/USD-LIBOR-3M/3/6M,Up,-2692.01,-2693.10,-1.09
Swap_Prime_20y,IndexCurve/USD-LIBOR-3M/4/1Y,Up,-2692.01,-2697.36,-5.35
Swap_Prime_20y,IndexCurve/USD-LIBOR-3M/5/2Y,Up,-2692.01,-2708.35,-16.33
Swap_Prime_20y,IndexCurve/USD-LIBOR-3M/6/3Y,Up,-2692.01,-2741.77,-49.75
Swap_Prime_20y,IndexCurve/USD-LIBOR-3M/7/5Y,Up,-2692.01,-2966.60,-274.59
Swap_Prime_20y,IndexCurve/USD-LIBOR-3M/8/10Y,Up,-2692.01,-3574.26,-882.25
Swap_Prime_20y,IndexCurve/USD-LIBOR-3M/9/15Y,Up,-2692.01,-4005.12,-1313.11
Swap_Prime_20y,IndexCurve/USD-LIBOR-3M/10/20Y,Up,-2692.01,-17339.95,-14647.93
Swap_Prime_20y,IndexCurve/USD-LIBOR-3M/11/30Y,Up,-2692.01,-2846.63,-154.62
Swap_Prime_20y,IndexCurve/USD-Prime/0/2W,Up,-2692.01,-2702.32,-10.31
Swap_Prime_20y,IndexCurve/USD-Prime/1/1M,Up,-2692.01,-2750.74,-58.73
Swap_Prime_20y,IndexCurve/USD-Prime/2/3M,Up,-2692.01,-2691.76,0.26
Swap_Prime_20y,IndexCurve/USD-Prime/3/6M,Up,-2692.01,-2690.80,1.22
Swap_Prime_20y,IndexCurve/USD-Prime/4/1Y,Up,-2692.01,-2686.43,5.59
Swap_Prime_20y,IndexCurve/USD-Prime/5/2Y,Up,-2692.01,-2675.15,16.86
Swap_Prime_20y,IndexCurve/USD-Prime/6/3Y,Up,-2692.01,-2641.62,50.39
Swap_Prime_20y,IndexCurve/USD-Prime/7/5Y,Up,-2692.01,-2413.96,278.05
Swap_Prime_20y,IndexCurve/USD-Prime/8/10Y,Up,-2692.01,-1796.97,895.05
Swap_Prime_20y,IndexCurve/USD-Prime/9/15Y,Up,-2692.01,-1370.23,1321.78
Swap_Prime_20y,IndexCurve/USD-Prime/10/20Y,Up,-2692.01,12034.71,14726.73
Swap_Prime_20y,IndexCurve/USD-Prime/11/30Y,Up,-2692.01,-2536.56,155.46
Swap_Prime_20y,IndexCurve/USD-LIBOR-3M/0/2W,Down,-2692.01,-2702.25,-10.23
Swap_Prime_20y,IndexCurve/USD-LIBOR-3M/1/1M,Down,-2692.01,-2750.31,-58.29
Swap_Prime_20y,IndexCurve/USD-LIBOR-3M/2/3M,Down,-2692.01,-2691.76,0.25
Swap_Prime_20y,IndexCurve/USD-LIBOR-3M/3/6M,Down,-2692.01,-2690.95,1.07
Swap_Prime_20y,IndexCurve/USD-LIBOR-3M/4/1Y,Down,-2692.01,-2686.72,5.29
Swap_Prime_20y,IndexCurve/USD-LIBOR-3M/5/2Y,Down,-2692.01,-2675.85,16.16
Swap_Prime_20y,IndexCurve/USD-LIBOR-3M/6/3Y,Down,-2692.01,-2642.56,49.46
Swap_Prime_20y,IndexCurve/USD-LIBOR-3M/7/5Y,Down,-2692.01,-2417.82,274.19
