#NettingSet,RiskType,CvaType,MarginType,RiskFactor,Bucket,Value
,InterestRate,CvaAggregate,Delta,1Y,EUR,-1112540.7024
,InterestRate,CvaAggregate,Delta,1Y,USD,-1120625.5892
,InterestRate,CvaAggregate,Delta,5Y,EUR,5236867.9805
,InterestRate,CvaAggregate,Delta,5Y,USD,4924848.8458
,InterestRate,CvaAggregate,Vega,IRVolatility,EUR,27859.7475
,InterestRate,CvaAggregate,Vega,IRVolatility,USD,35863.8939
,ForeignExchange,CvaAggregate,Delta,FXSpot,USD,32806.6055
,ForeignExchange,CvaAggregate,Vega,FXVolatility,USD,-177.9400
,CreditCounterparty,CvaAggregate,Delta,CPTY_A/1Y,2,-316327.1951
,CreditCounterparty,CvaAggregate,Delta,CPTY_A/5Y,2,9618892.5274
CPTY_A,InterestRate,CvaAggregate,Delta,1Y,EUR,-1112540.7024
CPTY_A,InterestRate,CvaAggregate,Delta,1Y,USD,-1120625.5892
CPTY_A,InterestRate,CvaAggregate,Delta,5Y,EUR,5236867.9805
CPTY_A,InterestRate,CvaAggregate,Delta,5Y,USD,4924848.8458
CPTY_A,InterestRate,CvaAggregate,Vega,IRVolatility,EUR,27859.7475
CPTY_A,InterestRate,CvaAggregate,Vega,IRVolatility,USD,35863.8939
CPTY_A,ForeignExchange,CvaAggregate,Delta,FXSpot,USD,32806.6055
CPTY_A,ForeignExchange,CvaAggregate,Vega,FXVolatility,USD,-177.9400
CPTY_A,CreditCounterparty,CvaAggregate,Delta,CPTY_A/1Y,2,-316327.1951
CPTY_A,CreditCounterparty,CvaAggregate,Delta,CPTY_A/5Y,2,9618892.5274
