#Sample,Regressor_0_NPV,RegressionDIM,LocalDIM,ExpectedDIM,ZeroOrderDIM,DeltaNPV,SimpleDIM
0,-44041065.300781,0.000000,0.000000,3300440.816463,3385629.963502,-764078.670589,3421114.330004
1,-43186073.921875,1112007.028799,0.000000,3300440.816463,3385629.963502,377734.817734,3421114.330004
2,-42577238.079102,1686477.458196,0.000000,3300440.816463,3385629.963502,-306596.726285,3421114.330004
3,-42419251.250000,1801364.688688,0.000000,3300440.816463,3385629.963502,40703.903906,3421114.330004
4,-41434464.544922,2364269.304795,0.000000,3300440.816463,3385629.963502,336707.722821,3421114.330004
5,-40830527.410156,2626295.938972,0.000000,3300440.816463,3385629.963502,-1244374.574192,3421114.330004
6,-39981621.085938,2927104.276487,0.000000,3300440.816463,3385629.963502,-241412.168457,3421114.330004
7,-39878489.843750,2959314.960953,0.000000,3300440.816463,3385629.963502,2972153.173023,3421114.330004
8,-39848701.968750,2968462.861618,0.000000,3300440.816463,3385629.963502,-735034.457534,3421114.330004
9,-39749710.250000,2998374.088389,0.000000,3300440.816463,3385629.963502,866966.482291,3421114.330004
10,-39746866.550781,2999222.370453,0.000000,3300440.816463,3385629.963502,2275455.600985,3421114.330004
11,-39082390.511719,3181807.972516,0.000000,3300440.816463,3385629.963502,-256358.814091,3421114.330004
12,-39013453.675781,3199080.691305,0.000000,3300440.816463,3385629.963502,194415.829282,3421114.330004
13,-38936627.617188,3217984.506256,0.000000,3300440.816463,3385629.963502,-1431067.559974,3421114.330004
14,-38779380.726563,3255566.553663,0.000000,3300440.816463,3385629.963502,-659387.483682,3421114.330004
15,-38258628.683594,3369931.933697,0.000000,3300440.816463,3385629.963502,-835337.754693,3421114.330004
16,-38153274.429688,3391279.463129,0.000000,3300440.816463,3385629.963502,-649899.069172,3421114.330004
17,-38120169.589844,3397868.039795,0.000000,3300440.816463,3385629.963502,682182.123367,3421114.330004
18,-38013919.386719,3418634.141517,0.000000,3300440.816463,3385629.963502,969316.344318,3421114.330004
19,-37963296.578125,3428326.537008,0.000000,3300440.816463,3385629.963502,-302145.053466,3421114.330004
20,-37727499.714844,3471795.276051,0.000000,3300440.816463,3385629.963502,-294196.398760,3421114.330004
21,-37724964.697266,3472247.825160,0.000000,3300440.816463,3385629.963502,-1486668.269788,3421114.330004
22,-37496418.101563,3511786.734356,0.000000,3300440.816463,3385629.963502,1499722.977940,3421114.330004
23,-37222249.332031,3556006.751578,0.000000,3300440.816463,3385629.963502,-1972808.822134,3421114.330004
24,-37181987.734375,3562212.815230,0.000000,3300440.816463,3385629.963502,-3176315.220053,3421114.330004
25,-36794999.193359,3618219.247513,0.000000,3300440.816463,3385629.963502,2797541.324903,3421114.330004
26,-36743233.940430,3625219.731392,0.000000,3300440.816463,3385629.963502,-13833.242339,3421114.330004
27,-36036456.996094,3709678.453891,0.000000,3300440.816463,3385629.963502,247296.918724,3421114.330004
28,-35961449.363281,3717457.731817,0.000000,3300440.816463,3385629.963502,-513939.102872,3421114.330004
29,-35641302.089844,3748187.671876,0.000000,3300440.816463,3385629.963502,1477840.945564,3421114.330004
30,-35418283.847656,3767262.734366,0.000000,3300440.816463,3385629.963502,-1038359.411941,3421114.330004
31,-35087542.359375,3792095.415235,0.000000,3300440.816463,3385629.963502,1861628.141047,3421114.330004
32,-34864764.230469,3806530.727147,0.000000,3300440.816463,3385629.963502,254800.331561,3421114.330004
33,-34793443.156250,3810766.651592,0.000000,3300440.816463,3385629.963502,-158166.511892,3421114.330004
34,-34736293.429688,3814026.742812,0.000000,3300440.816463,3385629.963502,-2983612.694917,3421114.330004
35,-34630785.132813,3819732.923514,0.000000,3300440.816463,3385629.963502,-1704860.121030,3421114.330004
36,-34490176.425781,3826709.922465,0.000000,3300440.816463,3385629.963502,-467696.719106,3421114.330004
37,-34261181.125000,3836547.157925,0.000000,3300440.816463,3385629.963502,3432408.348844,3421114.330004
38,-33927558.664795,3847521.350780,0.000000,3300440.816463,3385629.963502,-1667564.072556,3421114.330004
39,-33632588.089844,3853931.210374,0.000000,3300440.816463,3385629.963502,1044405.475569,3421114.330004
40,-33353083.496094,3857168.271526,0.000000,3300440.816463,3385629.963502,-360835.555657,3421114.330004
41,-33089674.152344,3857698.944728,0.000000,3300440.816463,3385629.963502,1822177.103259,3421114.330004
42,-32791271.808594,3855347.186400,0.000000,3300440.816463,3385629.963502,-896830.015576,3421114.330004
43,-32249163.425781,3843025.091066,0.000000,3300440.816463,3385629.963502,-1590901.992018,3421114.330004
44,-31859188.207031,3827690.839124,0.000000,3300440.816463,3385629.963502,-241115.288227,3421114.330004
45,-31549800.093750,3811627.149374,0.000000,3300440.816463,3385629.963502,1760670.910795,3421114.330004
46,-30785641.449219,3756853.440031,0.000000,3300440.816463,3385629.963502,-2656641.333762,3421114.330004
47,-29283325.535156,3582782.671284,0.000000,3300440.816463,3385629.963502,1747247.471303,3421114.330004
48,-28770968.373047,3501480.148521,0.000000,3300440.816463,3385629.963502,-112753.653182,3421114.330004
49,-28469225.292969,3447866.358502,0.000000,3300440.816463,3385629.963502,1521818.085557,3421114.330004
