#TradeId,ScenarioLabel,Base NPV,Scenario NPV,Sensitivity
BERMUDAN_SWAPTION,parallel_rates,-3100934.557810,-2043542.968697,1057391.589113
BERMUDAN_SWAPTION,twist,-3100934.557810,-3165020.585340,-64086.027530
BOND,parallel_rates,12902111.757203,12614454.854460,-287656.902743
BOND,twist,12902111.757203,12801562.043518,-100549.713685
Bond_Floating,parallel_rates,10765631.074405,10511973.881839,-253657.192566
CAP_EUR,parallel_rates,-7157.667546,-20124.104343,-12966.436797
CAP_USD,parallel_rates,-12662.156125,-30082.473474,-17420.317348
CC_SWAP_EUR_USD,parallel_rates,-20857165.792513,-19013137.666908,1844028.125605
CC_SWAP_EUR_USD_RESET,parallel_rates,-19563936.197144,-17937621.569227,1626314.627917
CDS,parallel_rates,707.568281,1634.767844,927.199562
CPI_Swap,parallel_rates,1016258.463612,390990.037777,-625268.425835
EQ_CALL_LUFT,parallel_rates,1872.925098,2043.388800,170.463702
EQ_CALL_SP5,parallel_rates,179760.023479,187431.883014,7671.859535
EQ_FWD_LUFT,parallel_rates,399.106635,694.239987,295.133352
EQ_FWD_SP5,parallel_rates,38240.128749,24064.405894,-14175.722856
EQ_PUT_LUFT,parallel_rates,1473.818463,1349.148813,-124.669650
EQ_PUT_SP5,parallel_rates,-218000.152229,-211496.288908,6503.863321
EUROPEAN_SWAPTION,parallel_rates,-3076613.100471,-2004257.631501,1072355.468970
EUROPEAN_SWAPTION,twist,-3076613.100471,-3132345.208383,-55732.107912
FLOOR_EUR,parallel_rates,78572.273142,31097.536606,-47474.736536
FLOOR_USD,parallel_rates,29788.037581,13819.286517,-15968.751064
FXFWD_EURUSD_10Y,parallel_rates,179361.405574,155111.219409,-24250.186165
FX_CALL_OPTION,parallel_rates,255066.803815,316118.062152,61051.258337
FX_PUT_OPTION,parallel_rates,75724.963712,161020.817204,85295.853492
SWAP_EUR,parallel_rates,-262631.046468,-1915323.219999,-1652692.173531
YearOnYear_Swap,parallel_rates,590124.235372,80804.875508,-509319.359863
