#NettingSet,Date,Time,CollateralBalance,COLVA Increment,COLVA,CollateralFloor Increment,CollateralFloor
CPTY_A,#N/A,#N/A,#N/A,#N/A,-3403.3960,#N/A,-326724.0983
CPTY_A,2016-02-19,0.0383,201481.2508,-7.8357,-7.8357,-27.2043,-27.2043
CPTY_A,2016-03-04,0.0765,576306.5899,-22.4158,-30.2515,-101.7483,-128.9526
CPTY_A,2016-03-18,0.1148,720951.4026,-28.0482,-58.2997,-155.6343,-284.5869
CPTY_A,2016-04-01,0.1530,966656.2753,-37.6072,-95.9069,-186.8818,-471.4687
CPTY_A,2016-04-15,0.1913,1028456.6028,-40.0242,-135.9312,-244.7868,-716.2555
CPTY_A,2016-04-29,0.2295,1067172.1935,-41.5544,-177.4855,-320.5795,-1036.8349
CPTY_A,2016-05-13,0.2678,935463.3020,-36.4556,-213.9411,-323.1647,-1359.9996
CPTY_A,2016-05-27,0.3060,933023.3250,-36.3769,-250.3180,-364.2883,-1724.2879
CPTY_A,2016-06-10,0.3443,924675.8959,-36.0977,-286.4156,-437.7343,-2162.0221
CPTY_A,2016-06-24,0.3825,995024.6594,-38.8577,-325.2733,-438.5316,-2600.5537
CPTY_A,2016-07-08,0.4208,1026249.9834,-40.1073,-365.3806,-487.5280,-3088.0817
CPTY_A,2016-07-22,0.4590,1055902.0358,-41.2688,-406.6494,-489.0275,-3577.1092
CPTY_A,2016-08-05,0.4973,909996.6353,-35.5790,-442.2284,-436.5234,-4013.6326
CPTY_A,2016-08-19,0.5355,962758.7034,-37.6580,-479.8864,-435.9480,-4449.5806
CPTY_A,2016-09-02,0.5738,1091608.5760,-42.6736,-522.5600,-429.9612,-4879.5418
CPTY_A,2016-09-16,0.6120,976709.1554,-38.2697,-560.8297,-470.1449,-5349.6867
CPTY_A,2016-09-30,0.6503,944994.3079,-36.9939,-597.8236,-407.9839,-5757.6707
CPTY_A,2016-10-14,0.6885,927180.1997,-36.4043,-634.2279,-499.2192,-6256.8899
CPTY_A,2016-10-28,0.7268,923474.1693,-36.3117,-670.5396,-514.1232,-6771.0130
CPTY_A,2016-11-14,0.7732,843757.3664,-40.5139,-711.0535,-778.0508,-7549.0638
CPTY_A,2016-11-25,0.8033,843224.5374,-26.1764,-737.2299,-478.2000,-8027.2638
CPTY_A,2016-12-09,0.8415,880835.1245,-34.8499,-772.0798,-683.4142,-8710.6780
