#Sample,Regressor_0_USD,Regressor_1_GBP,Regressor_2_EUR-EURIBOR-3M,Regressor_3_USD-LIBOR-3M,Regressor_4_GBP-LIBOR-3M,RegressionDIM,LocalDIM,ExpectedDIM,ZeroOrderDIM,DeltaNPV,SimpleDIM
0,0.851100,1.231572,0.001727,0.009416,0.007474,2943467.823636,2638575.202957,2636445.350602,2638184.254655,568314.399696,3322534.937510
1,0.852000,1.222266,-0.000630,0.000607,0.002947,3234595.790540,2638541.747288,2636445.350602,2638184.254655,-867781.407404,3322534.937510
2,0.852284,1.179794,0.000396,0.006883,0.008365,3106243.406388,2638531.213488,2636445.350602,2638184.254655,1390523.545532,3322534.937510
3,0.855840,1.183597,0.001862,0.007624,0.004561,3110708.365256,2638399.236167,2636445.350602,2638184.254655,3274502.510981,3322534.937510
4,0.856567,1.227562,-0.002587,0.009318,0.008482,2616804.942268,2638372.289754,2636445.350602,2638184.254655,-1576180.139816,3322534.937510
5,0.857536,1.239214,-0.000944,0.011016,0.008493,2601732.971162,2638336.396332,2636445.350602,2638184.254655,-933482.204994,3322534.937510
6,0.858809,1.247950,-0.004169,0.006346,0.008228,2605135.972565,2638289.258612,2636445.350602,2638184.254655,-599071.166088,3322534.937510
7,0.859446,1.231399,-0.003374,0.004681,0.005914,2785853.612567,2638265.681518,2636445.350602,2638184.254655,582090.010934,3322534.937510
8,0.859479,1.235390,-0.001715,0.008586,0.007920,2682805.793650,2638264.478747,2636445.350602,2638184.254655,-168543.607704,3322534.937510
9,0.860394,1.218928,0.002354,0.012570,0.010386,2801745.928384,2638230.616625,2636445.350602,2638184.254655,-1254188.883396,3322534.937510
10,0.864222,1.241397,-0.000985,0.014656,0.007342,2294969.569824,2638089.210518,2636445.350602,2638184.254655,1129986.269253,3322534.937510
11,0.864594,1.232696,-0.000441,0.011726,0.008664,2565546.933694,2638075.482285,2636445.350602,2638184.254655,726453.079077,3322534.937510
12,0.868358,1.213933,-0.002179,0.008519,0.004252,2620322.254442,2637936.766303,2636445.350602,2638184.254655,-1042398.225339,3322534.937510
13,0.870819,1.210503,0.004641,0.011035,0.007560,2981989.801929,2637846.194068,2636445.350602,2638184.254655,1220416.278177,3322534.937510
14,0.871022,1.238414,-0.001528,0.010334,0.005223,2478935.204391,2637838.735247,2636445.350602,2638184.254655,-345890.132200,3322534.937510
15,0.872385,1.244022,-0.004007,0.006626,0.007152,2505572.280311,2637788.651862,2636445.350602,2638184.254655,534665.702592,3322534.937510
16,0.874506,1.233518,-0.000615,0.010644,0.011000,2563399.402262,2637710.781578,2636445.350602,2638184.254655,-216890.807593,3322534.937510
17,0.875148,1.222040,0.002352,0.009573,0.008015,2852198.229907,2637687.222510,2636445.350602,2638184.254655,-263600.118408,3322534.937510
18,0.878028,1.220544,-0.001040,0.008720,0.006071,2623371.947011,2637581.640224,2636445.350602,2638184.254655,-369477.269202,3322534.937510
19,0.878395,1.247270,0.000284,0.009715,0.003681,2573398.271760,2637568.197446,2636445.350602,2638184.254655,-210355.444841,3322534.937510
