#NettingSetId,RiskType,MarginType,Bucket,Analytic,Value
,All,All,All,SA_CVA_CAPITAL,599784.6913
CPTY_A,All,All,All,SA_CVA_CAPITAL,599784.6913
,InterestRate,Delta,All,SA_CVA_CAPITAL,50581.5808
,InterestRate,Delta,EUR,SA_CVA_CAPITAL,31214.8604
,InterestRate,Delta,USD,SA_CVA_CAPITAL,30261.7549
,InterestRate,Vega,All,SA_CVA_CAPITAL,63448.6742
,InterestRate,Vega,EUR,SA_CVA_CAPITAL,28003.7943
,InterestRate,Vega,USD,SA_CVA_CAPITAL,44628.9385
,ForeignExchange,Delta,All,SA_CVA_CAPITAL,413.3076
,ForeignExchange,Delta,USD,SA_CVA_CAPITAL,413.3076
,ForeignExchange,Vega,All,SA_CVA_CAPITAL,7.1516
,ForeignExchange,Vega,USD,SA_CVA_CAPITAL,7.1516
,CreditCounterparty,Delta,2,SA_CVA_CAPITAL,485333.9770
,CreditCounterparty,Delta,All,SA_CVA_CAPITAL,485333.9770
CPTY_A,InterestRate,Delta,All,SA_CVA_CAPITAL,50581.5808
CPTY_A,InterestRate,Delta,EUR,SA_CVA_CAPITAL,31214.8604
CPTY_A,InterestRate,Delta,USD,SA_CVA_CAPITAL,30261.7549
CPTY_A,InterestRate,Vega,All,SA_CVA_CAPITAL,63448.6742
CPTY_A,InterestRate,Vega,EUR,SA_CVA_CAPITAL,28003.7943
CPTY_A,InterestRate,Vega,USD,SA_CVA_CAPITAL,44628.9385
CPTY_A,ForeignExchange,Delta,All,SA_CVA_CAPITAL,413.3076
CPTY_A,ForeignExchange,Delta,USD,SA_CVA_CAPITAL,413.3076
CPTY_A,ForeignExchange,Vega,All,SA_CVA_CAPITAL,7.1516
CPTY_A,ForeignExchange,Vega,USD,SA_CVA_CAPITAL,7.1516
CPTY_A,CreditCounterparty,Delta,2,SA_CVA_CAPITAL,485333.9770
CPTY_A,CreditCounterparty,Delta,All,SA_CVA_CAPITAL,485333.9770
