#NettingSet,RiskType,CvaType,MarginType,RiskFactor,Bucket,Value
,InterestRate,CvaAggregate,Delta,1Y,EUR,-1116592.2568
,InterestRate,CvaAggregate,Delta,1Y,USD,-1181854.1196
,InterestRate,CvaAggregate,Delta,5Y,EUR,5260843.5490
,InterestRate,CvaAggregate,Delta,5Y,USD,5176384.2337
,InterestRate,CvaAggregate,Vega,IRVolatility,EUR,28003.7943
,InterestRate,CvaAggregate,Vega,IRVolatility,USD,44628.9385
,ForeignExchange,CvaAggregate,Delta,FXSpot,USD,37573.4201
,ForeignExchange,CvaAggregate,Vega,FXVolatility,USD,-71.5161
,CreditCounterparty,CvaAggregate,Delta,CPTY_A/1Y,2,-294307.8230
,CreditCounterparty,CvaAggregate,Delta,CPTY_A/5Y,2,9970708.8158
CPTY_A,InterestRate,CvaAggregate,Delta,1Y,EUR,-1116592.2568
CPTY_A,InterestRate,CvaAggregate,Delta,1Y,USD,-1181854.1196
CPTY_A,InterestRate,CvaAggregate,Delta,5Y,EUR,5260843.5490
CPTY_A,InterestRate,CvaAggregate,Delta,5Y,USD,5176384.2337
CPTY_A,InterestRate,CvaAggregate,Vega,IRVolatility,EUR,28003.7943
CPTY_A,InterestRate,CvaAggregate,Vega,IRVolatility,USD,44628.9385
CPTY_A,ForeignExchange,CvaAggregate,Delta,FXSpot,USD,37573.4201
CPTY_A,ForeignExchange,CvaAggregate,Vega,FXVolatility,USD,-71.5161
CPTY_A,CreditCounterparty,CvaAggregate,Delta,CPTY_A/1Y,2,-294307.8230
CPTY_A,CreditCounterparty,CvaAggregate,Delta,CPTY_A/5Y,2,9970708.8158
