#Type,IsPar,Factor_1,ShiftSize_1,Factor_2,ShiftSize_2,Currency,NettingSet,Date,Time,EPE,ENE,PFE,ExpectedCollateral,BaselEE,BaselEEE,TimeWeightedBaselEPE,TimeWeightedBaselEEPE
Base,false,,0.00000000,,0.00000000,EUR,CPTY_A,2016-02-05,0.000000,77186.14,0.00,77186.14,77186.14,77186.14,77186.14,77186.14,77186.14
Base,false,,0.00000000,,0.00000000,EUR,CPTY_A,2016-05-05,0.245902,275977.64,185598.51,1005993.88,0.00,277357.79,277357.79,277357.79,277357.79
Base,false,,0.00000000,,0.00000000,EUR,CPTY_A,2016-08-05,0.497268,346699.87,257567.28,1178293.34,0.00,350206.10,350206.10,314182.21,314182.21
Base,false,,0.00000000,,0.00000000,EUR,CPTY_A,2016-11-07,0.754098,372857.31,374787.70,1570169.75,0.00,378575.68,378575.68,336113.32,336113.32
Base,false,,0.00000000,,0.00000000,EUR,CPTY_A,2017-02-06,1.003002,482124.63,498080.84,1736424.75,0.00,491956.71,491956.71,374787.18,374787.18
Base,false,,0.00000000,,0.00000000,EUR,CPTY_A,2017-05-05,1.244098,633806.24,447718.59,2310425.63,0.00,649892.00,649892.00,428100.23,428100.23
Base,false,,0.00000000,,0.00000000,EUR,CPTY_A,2017-08-07,1.501632,667985.19,492978.12,2350958.06,0.00,688498.53,688498.53,472759.30,472759.30
Base,false,,0.00000000,,0.00000000,EUR,CPTY_A,2017-11-06,1.750947,601034.03,531805.72,2273307.34,0.00,622592.14,688498.53,494093.80,503478.13
Base,false,,0.00000000,,0.00000000,EUR,CPTY_A,2018-02-05,2.000262,623583.84,557258.27,2221176.13,0.00,649167.90,688498.53,513422.43,526539.29
Base,false,,0.00000000,,0.00000000,EUR,CPTY_A,2018-05-07,2.249577,750218.56,461337.75,2434622.44,0.00,784914.52,784914.52,543511.22,555174.38
Base,false,,0.00000000,,0.00000000,EUR,CPTY_A,2018-08-06,2.498892,774636.24,508385.64,2751245.68,0.00,814528.02,814528.02,570550.63,581050.16
Base,false,,0.00000000,,0.00000000,EUR,CPTY_A,2018-11-05,2.748207,711677.90,547088.84,2696632.00,0.00,752082.26,814528.02,587019.03,602231.07
Base,false,,0.00000000,,0.00000000,EUR,CPTY_A,2019-02-05,3.000262,675910.71,551472.83,2530928.88,0.00,717907.90,814528.02,598015.13,620066.34
Base,false,,0.00000000,,0.00000000,EUR,CPTY_A,2019-05-06,3.246837,781283.50,432229.18,2787095.63,0.00,833945.87,833945.87,615932.47,636309.04
Base,false,,0.00000000,,0.00000000,EUR,CPTY_A,2019-08-05,3.496152,791945.87,477342.40,2897533.98,0.00,849568.51,849568.51,632593.35,651516.85
Base,false,,0.00000000,,0.00000000,EUR,CPTY_A,2019-11-05,3.748207,723363.26,576324.90,2610649.02,0.00,779932.35,849568.51,642501.42,664835.18
Base,false,,0.00000000,,0.00000000,EUR,CPTY_A,2020-02-05,4.000000,737963.56,643075.50,2697380.94,0.00,799710.84,849568.51,652397.47,676463.81
Base,false,,0.00000000,,0.00000000,EUR,CPTY_A,2020-05-05,4.245902,817243.57,504448.17,2587939.47,0.00,890019.11,890019.11,666159.35,688831.88
Base,false,,0.00000000,,0.00000000,EUR,CPTY_A,2020-08-05,4.497268,822340.06,505473.63,2543518.25,0.00,900112.49,900112.49,679235.71,700641.00
Base,false,,0.00000000,,0.00000000,EUR,CPTY_A,2020-11-05,4.748634,769520.91,583046.19,2796584.30,0.00,846570.81,900112.49,688093.49,711199.91
Base,false,,0.00000000,,0.00000000,EUR,CPTY_A,2021-02-05,5.000262,751515.76,594393.35,2764537.41,0.00,830956.86,900112.49,695282.80,720706.55
Base,false,,0.00000000,,0.00000000,EUR,CPTY_A,2021-05-05,5.244098,895522.32,561703.35,3024802.88,0.00,995044.86,995044.86,709220.89,733462.50
Base,false,,0.00000000,,0.00000000,EUR,CPTY_A,2021-08-05,5.496152,877556.76,584425.90,2934086.25,0.00,980029.13,995044.86,721640.21,745458.73
Base,false,,0.00000000,,0.00000000,EUR,CPTY_A,2021-11-05,5.748207,787733.22,590937.24,2742131.50,0.00,884179.52,995044.86,728767.45,756402.90
