#Tenor,Date,EUR,GBP,EUR-EONIA,EUR-EURIBOR-3M,EUR-EURIBOR-6M,GBP-LIBOR-3M,GBP-LIBOR-6M,GBP-SONIA,EUHICPXT,UKRPI,CPTY
1M,2020-12-02,1.000397266833690,0.999879389449846,1.000397266833690,1.000424532868058,1.000407249277316,0.999959934771052,0.999936208833410,0.999954796563991,104.952567459654105,295.087863016575056,0.999648597045822
2M,2021-01-04,1.000872850209320,0.999861274722189,1.000872850209320,1.000891727189387,1.000855415043994,0.999915864873239,0.999866043250207,0.999908528915670,104.965928961675374,295.699400584995317,0.999262196418618
3M,2021-02-02,1.001230330112043,0.999707834409607,1.001230330112043,1.001302472004587,1.001249423426349,0.999877138384593,0.999804386650699,0.999871468577245,104.979292164748301,296.312205498652247,0.998922755532154
4M,2021-03-02,1.001602359180361,0.999536306962690,1.001602359180361,1.001766722852505,1.001629992491307,0.999844062431762,0.999744859748479,0.999838930057295,104.991363616890922,296.866798205799398,0.998595128913951
5M,2021-04-06,1.002181776322425,0.999608907387511,1.002181776322425,1.002197925151835,1.002105907245937,0.999774745983067,0.999670456104634,0.999817430597947,105.004730058047542,297.482022424320689,0.998185746745598
6M,2021-05-03,1.002592371958654,0.999511783348295,1.002592371958654,1.002628594062370,1.002473195983866,0.999765322006341,0.999613062791431,0.999809798415524,105.017666943907173,298.078614629211927,0.997870052319981
7M,2021-06-02,1.003033399366186,0.999444435033376,1.003033399366186,1.003154606180378,1.002881468207861,0.999750825395881,0.999652088538438,0.999808365497945,105.031036733738006,298.696350205744977,0.997519397835710
8M,2021-07-02,1.003489506928785,0.999369906363664,1.003489506928785,1.003529427612676,1.003299077458562,0.999714752489782,0.999533964497641,0.999834274044987,105.043976860656016,299.295377712382106,0.997169424667222
9M,2021-08-02,1.003962753403189,0.999313921624137,1.003962753403189,1.004015665500385,1.003717487791978,0.999724109845963,0.999536729883633,0.999850433332439,105.057350000000014,299.915634898342205,0.996808910473491
10M,2021-09-02,1.004319058231012,0.999131645473637,1.004319058231012,1.004538610970728,1.004231159737785,0.999745785581510,0.999482858324127,0.999883410854888,105.087763437958827,300.537177499999984,0.996448526619179
11M,2021-10-04,1.004968236557874,0.999205751081525,1.004968236557874,1.004940712778766,1.004683127541884,0.999755947912951,0.999447193877012,0.999944770173790,105.119742486311793,301.266366750558234,0.996076654143265
1Y,2021-11-02,1.005256628248650,0.999015132828401,1.005256628248650,1.005403393998501,1.005089044434327,0.999822393756889,0.999440003472554,1.000000000000000,105.155420950288544,302.041902663326709,0.995739764589046
1Y1M,2021-12-02,1.005781726607386,0.999035682316182,1.005781726607386,1.005866094810401,1.005481845277818,0.999823155237229,0.999452542128103,1.000065328950800,105.192498969155167,302.813891152172971,0.995391378056058
1Y2M,2022-01-03,1.006370550068463,0.999074191403403,1.006370550068463,1.006358317883779,1.005898880172077,0.999823967483563,0.999467292237404,1.000135017869136,105.233450670227711,303.633949583260005,0.994811707890764
1Y3M,2022-02-02,1.006922885135178,0.999110295020791,1.006922885135178,1.006819995772258,1.006290007475899,0.999824728965101,0.999473135894193,1.000200355640512,105.277085858244348,304.476870001385691,0.994017822599698
1Y4M,2022-03-02,1.007399393536541,0.999061318712383,1.007399393536541,1.007258361649929,1.006720470652205,0.999825439681727,0.999478333023294,1.000263929112772,105.318807064571189,305.258005408812949,0.993277434599475
1Y5M,2022-04-04,1.007951213443380,0.998996105299979,1.007951213443380,1.007775912111475,1.007233959532263,0.999826277312684,0.999484458245857,1.000338860178365,105.367557238525492,306.144898817520811,0.992405542407079
1Y6M,2022-05-02,1.008419661307629,0.998940776045843,1.008419661307629,1.008215254373480,1.007669852453403,0.999826988030410,0.999489655433833,1.000402442454076,105.417297906876598,307.025419451014500,0.991666355303743
1Y7M,2022-06-02,1.008937045925797,0.998870015545203,1.008937045925797,1.008701903075277,1.008079558301955,0.999827774897053,0.999346820664139,1.000490326477731,105.471348344713718,307.958444142778660,0.990848611790135
1Y8M,2022-07-04,1.009471231929771,0.998796300975172,1.009471231929771,1.009204497266661,1.008497448503920,0.999828587147141,0.999194288145024,1.000581655250248,105.526224707956885,308.883950493232248,0.990005196750694
1Y9M,2022-08-02,1.009955582289217,0.998729501844985,1.009955582289217,1.009660189555935,1.008876311130536,0.999829323249353,0.999056075659415,1.000664429151444,105.585589045765616,309.863824447848913,0.989241472004156
1Y10M,2022-09-02,1.010496180506443,0.998658100818506,1.010496180506443,1.010069324747924,1.009281459604991,0.999830110117834,0.998908352419473,1.000743936598521,105.632987252790031,310.867795135667620,0.988425728087065
1Y11M,2022-10-03,1.011039489492606,0.998586704896620,1.011039489492606,1.010473229857845,1.009686770780547,0.999830896986934,0.998760651022305,1.000823450362834,105.680286660964981,311.730329591979739,0.987610656845107
2Y,2022-11-02,1.011565550516578,0.998517616928896,1.011565550516578,1.010864259551910,1.010079162376714,0.999831658473750,0.998617734980523,1.000900405182332,105.730642395541622,312.633962395044080,0.986822518177708
2Y1M,2022-12-02,1.012011550719484,0.998336924684756,1.012011550719484,1.011298386893454,1.010470732142706,0.999789041597994,0.998448837001674,1.000952239640337,105.780807511048820,313.520479809430867,0.986035008465207
2Y2M,2023-01-02,1.012456014939934,0.998142007940409,1.012456014939934,1.011750352340999,1.010875441762817,0.999745006068051,0.998274339100324,1.001005804733716,105.834128302376939,314.449073351604227,0.985034961226439
2Y3M,2023-02-02,1.012900674364127,0.997947129251889,1.012900674364127,1.012202519779142,1.011280313475575,0.999700972477645,0.998099871695797,1.001059372693585,105.888958967595443,315.390491059101294,0.983777399001215
2Y4M,2023-03-02,1.013302470084232,0.997771142494905,1.013302470084232,1.012611102768425,1.011646143430930,0.999661201869442,0.997942314441880,1.001107759121274,105.939782982686779,316.251906102258715,0.982642916355029
2Y5M,2023-04-03,1.013761860360256,0.997570052774420,1.013761860360256,1.013078256712134,1.012064396858699,0.999615751683133,0.997762279463560,1.001163060759580,105.997493230488658,317.217996932873177,0.981347966640160
2Y6M,2023-05-02,1.014178362691713,0.997387850221789,1.014178362691713,1.013501801126163,1.012443588390487,0.999574564236704,0.997599150819353,1.001213180508010,106.054785505665748,318.165401538191247,0.980175892557347
2Y7M,2023-06-02,1.014623778551888,0.997193118776112,1.014623778551888,1.013954751314822,1.012849088170943,0.999530538153378,0.997424801416805,1.001266759565413,106.115481552434630,319.157377706551415,0.978924533747686
2Y8M,2023-07-03,1.015069390033756,0.996998425350084,1.015069390033756,1.014407903934175,1.013254750360519,0.999486514009173,0.997250482485126,1.001320341490054,106.175667718798522,320.130021708772745,0.977674772507280
2Y9M,2023-08-02,1.015500813290523,0.996810048549932,1.015500813290523,1.014846631553294,1.013647481369394,0.999443911844873,0.997081815752103,1.001372197695649,106.239358799362051,321.148276946806106,0.976466845323239
2Y10M,2023-09-04,1.015975590660070,0.996602875179020,1.015975590660070,1.015329451096484,1.014079661295535,0.999397051561477,0.996896315294164,1.001429242623584,106.304388959636626,322.180041850805651,0.975139849079169
2Y11M,2023-10-02,1.016378606132752,0.996427125479599,1.016378606132752,1.015739296294584,1.014446503913032,0.999357293044009,0.996738948030294,1.001477646929018,106.368766545585260,323.096302924418922,0.974015327172580
3Y,2023-11-02,1.016824988315382,0.996232581607210,1.016824988315382,1.016193246455673,1.014852805893052,0.999313276530354,0.996564748964524,1.001531240139114,106.436785943879599,324.050681545603993,0.972771833357177
3Y1M,2023-12-04,1.017294072846742,0.996001100868909,1.017294072846742,1.016584419803102,1.015205851127555,0.999169146347804,0.996293181153278,1.001492269608945,106.504061304217174,324.981652496348204,0.971489891985318
3Y2M,2024-01-02,1.017720727114135,0.995787394119299,1.017720727114135,1.016928996917319,1.015517288288442,0.999038546325803,0.996047136746673,1.001456953875785,106.575080322389454,325.951330707671502,0.970099467816547
3Y3M,2024-02-02,1.018177003691442,0.995558999679412,1.018177003691442,1.017297467127983,1.015850309525985,0.998898958282741,0.995784190953347,1.001419203951952,106.647627874775111,326.928861150339173,0.968313136328079
3Y4M,2024-03-04,1.018633484832055,0.995330657624221,1.018633484832055,1.017666070848750,1.016183439972052,0.998759389743252,0.995521314574899,1.001381455451102,106.716881277910929,327.850480364065163,0.966530094172606
3Y5M,2024-04-02,1.019060700850326,0.995117094728113,1.019060700850326,1.018011014594787,1.016495177030240,0.998628843279973,0.995275460788342,1.001346143625593,106.792395507177460,328.843358500994214,0.964865059485365
3Y6M,2024-05-02,1.019502837005408,0.994896215814566,1.019502837005408,1.018367975991029,1.016817764278202,0.998493813170775,0.995021193177419,1.001309615461281,106.866937341604540,329.811832482610555,0.963145628160743
3Y7M,2024-06-03,1.019974660343289,0.994660665678375,1.019974660343289,1.018748872776668,1.017161970182232,0.998349801178792,0.994750045991193,1.001270653554739,106.945479220989526,330.820519887098897,0.961314945267657
3Y8M,2024-07-02,1.020402438852063,0.994447246538937,1.020402438852063,1.019094183544623,1.017474007426505,0.998219308252270,0.994504382677003,1.001235345636450,107.022956844355789,331.804394984089242,0.959658894681251
3Y9M,2024-08-02,1.020859917726053,0.994219159476164,1.020859917726053,1.019463438280829,1.017807670336068,0.998079834675100,0.994241844154255,1.001197604066140,107.104538497434660,332.829103105139893,0.957891788360066
3Y10M,2024-09-02,1.021317601702375,0.993991124727587,1.021317601702375,1.019832826811400,1.018141442664579,0.997940380585511,0.993979374938870,1.001159863918499,107.184651383755551,333.862035234683162,0.956127935970843
3Y11M,2024-10-02,1.021760717050810,0.993770495737423,1.021760717050810,1.020190427018640,1.018464552358996,0.997805443567148,0.993725438444975,1.001123342549495,107.263535044112089,334.820998960829115,0.954424074578731
4Y,2024-11-04,1.022248365989333,0.993527860409807,1.022248365989333,1.020583932074958,1.018820091457410,0.997657033920497,0.993446183230900,1.001083170582355,107.346451310838390,335.817777138316501,0.952553333828793
