#Date,EPE,ENE
2021-06-04,1362455.5550,609012.0549
2021-06-18,1365266.6058,611823.1058
2021-07-02,1366974.7094,613531.2094
2021-07-16,1370316.9529,616873.4529
2021-07-30,1372961.2388,619517.7388
2021-08-13,1375224.0761,621780.5761
2021-08-27,1380002.0759,626558.5759
2021-09-10,1381603.2932,628159.7932
2021-09-24,1383912.1150,630468.6150
2021-10-08,1384866.0747,631422.5747
2021-10-22,1387073.6180,633630.1180
2021-11-05,1269082.1637,669984.4182
2021-11-19,1274087.0927,674989.3473
2021-12-03,1279465.6309,680367.8854
2021-12-17,1281065.6451,681967.8996
2022-01-04,1282088.1933,682990.4478
2022-01-14,1284206.0908,685108.3453
2022-01-28,1287778.4477,688680.7022
2022-02-11,1290521.5794,691423.8339
2022-02-25,1294222.8462,695125.1008
2022-03-11,1296633.9274,697536.1819
2022-03-25,1298505.5131,699407.7676
2022-04-08,1301722.0039,702624.2584
2022-04-22,1304390.7366,705292.9911
2022-05-06,1297476.1619,651685.5429
2022-05-20,1297346.1122,651555.4932
2022-06-07,1300644.6163,654853.9973
2022-06-17,1300662.9576,654872.3386
2022-07-01,1301372.6628,655582.0438
2022-07-15,1304931.5143,659140.8953
2022-07-29,1308588.1617,662797.5427
2022-08-12,1311069.0147,665278.3957
2022-08-26,1314065.9092,668275.2902
2022-09-09,1315438.7428,669648.1238
2022-09-23,1319790.1825,673999.5635
2022-10-07,1321564.4637,675773.8447
2022-10-21,1324204.5889,678413.9699
2022-11-04,1206127.9749,713766.3873
2022-11-18,1208844.2237,716482.6361
2022-12-02,1211400.6715,719039.0839
2022-12-16,1214104.8964,721743.3088
2022-12-30,1216402.2435,724040.6559
2023-01-13,1218138.7648,725777.1771
2023-01-27,1219230.6391,726869.0515
2023-02-10,1221108.0456,728746.4580
2023-02-24,1223992.1367,731630.5491
2023-03-10,1226740.1010,734378.5133
2023-03-24,1228690.5393,736328.9517
2023-04-11,1231565.3285,739203.7409
2023-04-21,1232965.3263,740603.7387
2023-05-05,1229730.6766,678570.7371
2023-05-19,1231873.5722,680713.6326
2023-06-02,1233557.9141,682397.9745
2023-06-16,1235748.4614,684588.5218
2023-06-30,1237647.9082,686487.9686
2023-07-14,1239657.4758,688497.5362
2023-07-28,1241890.9666,690731.0270
2023-08-11,1244578.8162,693418.8767
2023-08-25,1244553.2656,693393.3260
2023-09-08,1247291.1080,696131.1684
2023-09-22,1247262.1610,696102.2215
2023-10-06,1248762.2621,697602.3226
2023-10-20,1251913.2823,700753.3427
2023-11-03,1147513.8019,720222.8649
2023-11-17,1148361.3060,721070.3690
2023-12-01,1151495.7151,724204.7781
2023-12-15,1152786.4836,725495.5466
2023-12-29,1153464.5738,726173.6368
2024-01-12,1154360.4795,727069.5425
2024-01-26,1155372.6995,728081.7625
2024-02-09,1156894.6291,729603.6920
2024-02-23,1157387.9126,730096.9755
2024-03-08,1158316.0022,731025.0652
2024-03-22,1160343.8836,733052.9466
2024-04-05,1160503.3398,733212.4028
2024-04-19,1161619.9092,734328.9722
2024-05-03,1164549.2133,663331.7102
2024-05-17,1166564.1044,665346.6013
2024-05-31,1168858.0336,667640.5305
2024-06-14,1170811.5553,669594.0522
2024-06-28,1173074.5842,671857.0811
2024-07-12,1175782.6817,674565.1786
2024-07-26,1177619.6518,676402.1487
2024-08-09,1180217.4689,678999.9658
2024-08-23,1181966.3562,680748.8531
2024-09-06,1184806.1243,683588.6212
2024-09-20,1186712.3198,685494.8167
2024-10-04,1188049.8897,686832.3866
2024-10-18,1190129.4494,688911.9463
2024-11-01,1087996.7917,708110.2311
2024-11-15,1090058.9351,710172.3745
2024-11-29,1092237.8717,712351.3111
2024-12-13,1094567.0604,714680.4998
2024-12-27,1096431.9985,716545.4379
2025-01-10,1097550.7883,717664.2278
2025-01-24,1100712.5364,720825.9758
2025-02-07,1102811.5400,722924.9794
2025-02-21,1104281.7258,724395.1652
2025-03-07,1106141.6347,726255.0741
2025-03-21,1107047.4571,727160.8965
2025-04-04,1109207.5266,729320.9660
2025-04-22,1110288.9380,730402.3775
2025-05-02,1109292.8896,656101.9327
2025-05-16,1111200.2590,658009.3021
2025-05-30,1112426.7924,659235.8356
2025-06-13,1114407.0914,661216.1346
2025-06-27,1117391.7080,664200.7512
2025-07-11,1118750.3887,665559.4318
2025-07-25,1119746.3780,666555.4211
2025-08-08,1121534.0098,668343.0529
2025-08-22,1122054.3275,668863.3706
2025-09-05,1124176.4792,670985.5223
2025-09-19,1126227.0147,673036.0578
2025-10-03,1128678.5542,675487.5973
2025-10-17,1130786.9828,677596.0259
2025-10-31,1026148.9111,693417.7913
2025-11-14,1026849.4930,694118.3732
2025-11-28,1029190.4283,696459.3086
2025-12-12,1031067.0859,698335.9661
2025-12-29,1033588.2255,700857.1058
2026-01-09,1034819.0183,702087.8985
2026-01-23,1037117.0760,704385.9562
2026-02-06,1038841.1455,706110.0257
2026-02-20,1041164.8330,708433.7132
2026-03-06,1041483.8362,708752.7164
2026-03-20,1042860.6322,710129.5124
2026-04-07,1044944.0309,712212.9111
2026-04-17,1045513.6742,712782.5544
2026-05-05,1042491.9909,636545.9004
2026-05-15,1043152.8311,637206.7406
2026-05-29,1044840.9074,638894.8169
2026-06-12,1045283.6214,639337.5309
2026-06-26,1047199.4510,641253.3605
2026-07-10,1048184.1911,642238.1006
2026-07-24,1049520.5108,643574.4203
2026-08-07,1050174.7047,644228.6142
2026-08-21,1050957.8295,645011.7390
2026-09-04,1052238.5905,646292.5000
2026-09-18,1053944.8834,647998.7929
2026-10-02,1055058.3385,649112.2480
2026-10-16,1056436.9604,650490.8699
2026-10-30,952165.3996,661220.4007
2026-11-13,954234.0488,663289.0500
2026-11-27,955858.4979,664913.4990
2026-12-11,956880.6856,665935.6867
2026-12-29,958592.0349,667647.0360
2027-01-08,959694.4998,668749.5009
2027-01-22,961167.9024,670222.9035
2027-02-05,962120.4560,671175.4571
2027-02-19,962775.1918,671830.1929
2027-03-05,964177.7897,673232.7908
2027-03-19,965600.9873,674655.9884
2027-04-02,967358.5077,676413.5088
2027-04-16,968683.2872,677738.2883
2027-04-30,963252.4595,597732.6507
2027-05-14,964101.9779,598582.1691
2027-05-28,966131.5988,600611.7900
2027-06-11,967349.4137,601829.6049
2027-06-25,968490.8268,602971.0180
2027-07-09,969351.9529,603832.1441
2027-07-23,970111.5466,604591.7379
2027-08-06,971008.1245,605488.3157
2027-08-20,972901.8120,607382.0033
2027-09-03,974027.7226,608507.9138
2027-09-17,975427.2065,609907.3977
2027-10-01,976686.6855,611166.8767
2027-10-15,978185.2644,612665.4556
2027-10-29,873164.0330,621162.7485
2027-11-12,874480.9702,622479.6857
2027-11-26,875963.4643,623962.1798
2027-12-10,877176.6726,625175.3881
2027-12-29,878795.0536,626793.7691
2028-01-07,879636.3281,627635.0436
2028-01-21,880955.2435,628953.9590
2028-02-04,881986.9014,629985.6169
2028-02-18,883572.0956,631570.8111
2028-03-03,884228.6050,632227.3205
2028-03-17,884821.8623,632820.5778
2028-03-31,886172.6982,634171.4137
2028-04-18,888106.5178,636105.2333
2028-04-28,881473.3109,552285.0838
2028-05-12,883052.4169,553864.1898
2028-05-26,884160.4677,554972.2406
2028-06-09,884418.2837,555230.0567
2028-06-23,885835.9903,556647.7633
2028-07-07,886719.5319,557531.3048
2028-07-21,888454.6186,559266.3915
2028-08-04,889508.5010,560320.2739
2028-08-18,890657.1961,561468.9690
2028-09-01,892309.3048,563121.0777
2028-09-15,892906.3854,563718.1583
2028-09-29,893897.7646,564709.5376
2028-10-13,894798.0521,565609.8250
2028-10-27,895385.3622,566197.1351
2028-11-13,792811.1988,568425.9029
2028-11-24,793483.9775,569098.6816
2028-12-08,793983.4000,569598.1041
2028-12-22,795149.7858,570764.4899
2029-01-05,796291.5343,571906.2383
2029-01-19,796894.1924,572508.8964
2029-02-02,798082.4417,573697.1458
2029-02-16,798900.4156,574515.1197
2029-03-02,799635.0079,575249.7120
2029-03-16,800033.9811,575648.6851
2029-04-03,800950.6565,576565.3606
2029-04-13,801164.3663,576779.0703
2029-04-27,801759.4741,577374.1781
2029-05-11,794965.2078,490737.1765
2029-05-25,795307.4644,491079.4331
2029-06-08,795115.2289,490887.1977
2029-06-22,795090.9313,490862.9000
2029-07-06,795453.5831,491225.5519
2029-07-20,795513.3203,491285.2890
2029-08-03,796288.4375,492060.4062
2029-08-17,796464.5781,492236.5468
2029-08-31,796995.6114,492767.5802
2029-09-14,797029.9713,492801.9400
