#TradeId,Factor,Up/Down,Base NPV,ShiftSize_1,ShiftSize_2,Scenario NPV,Difference,Base Currency
CVA,DiscountCurve/EUR/3/6M,Up,294981.69,0.000001,#N/A,294981.69,0.00,EUR
CVA,DiscountCurve/EUR/4/1Y,Up,294981.69,0.000001,#N/A,294981.69,0.00,EUR
CVA,DiscountCurve/EUR/5/2Y,Up,294981.69,0.000001,#N/A,294981.68,-0.01,EUR
CVA,DiscountCurve/EUR/6/3Y,Up,294981.69,0.000001,#N/A,294981.65,-0.04,EUR
CVA,DiscountCurve/EUR/7/5Y,Up,294981.69,0.000001,#N/A,294981.49,-0.20,EUR
CVA,DiscountCurve/EUR/8/10Y,Up,294981.69,0.000001,#N/A,294981.02,-0.67,EUR
CVA,DiscountCurve/EUR/9/15Y,Up,294981.69,0.000001,#N/A,294980.26,-1.43,EUR
CVA,DiscountCurve/EUR/10/20Y,Up,294981.69,0.000001,#N/A,294980.33,-1.36,EUR
CVA,IndexCurve/EUR-EONIA/4/1Y,Up,294981.69,0.000001,#N/A,294981.69,0.00,EUR
CVA,IndexCurve/EUR-EONIA/5/2Y,Up,294981.69,0.000001,#N/A,294981.69,0.00,EUR
CVA,IndexCurve/EUR-EONIA/6/3Y,Up,294981.69,0.000001,#N/A,294981.70,0.00,EUR
CVA,IndexCurve/EUR-EONIA/7/5Y,Up,294981.69,0.000001,#N/A,294981.70,0.01,EUR
CVA,IndexCurve/EUR-EONIA/8/10Y,Up,294981.69,0.000001,#N/A,294981.73,0.04,EUR
CVA,IndexCurve/EUR-EONIA/9/15Y,Up,294981.69,0.000001,#N/A,294981.78,0.09,EUR
CVA,IndexCurve/EUR-EONIA/10/20Y,Up,294981.69,0.000001,#N/A,294981.43,-0.27,EUR
CVA,IndexCurve/EUR-EONIA/11/30Y,Up,294981.69,0.000001,#N/A,294981.69,0.00,EUR
CVA,IndexCurve/EUR-EURIBOR-3M/9/15Y,Up,294981.69,0.000001,#N/A,294981.69,0.00,EUR
CVA,IndexCurve/EUR-EURIBOR-3M/10/20Y,Up,294981.69,0.000001,#N/A,294981.69,0.00,EUR
CVA,IndexCurve/EUR-EURIBOR-6M/1/1M,Up,294981.69,0.000001,#N/A,294981.69,0.00,EUR
CVA,IndexCurve/EUR-EURIBOR-6M/2/3M,Up,294981.69,0.000001,#N/A,294981.72,0.03,EUR
CVA,IndexCurve/EUR-EURIBOR-6M/3/6M,Up,294981.69,0.000001,#N/A,294981.71,0.02,EUR
CVA,IndexCurve/EUR-EURIBOR-6M/4/1Y,Up,294981.69,0.000001,#N/A,294981.80,0.11,EUR
CVA,IndexCurve/EUR-EURIBOR-6M/5/2Y,Up,294981.69,0.000001,#N/A,294981.94,0.25,EUR
