#Sample,Regressor_0_USD,Regressor_1_EUR-EURIBOR-3M,Regressor_2_USD-LIBOR-3M,RegressionDIM,LocalDIM,ExpectedDIM,ZeroOrderDIM,DeltaNPV,SimpleDIM
0,0.606076,0.000592,0.017584,0.000000,1361541.936061,1591172.103423,1766790.624711,59030.948866,1053096.990658
1,0.618571,0.008740,0.024091,209041.768076,1366416.029404,1591172.103423,1766790.624711,-579302.029595,1053096.990658
2,0.650522,0.002475,-0.019395,0.000000,1380968.123134,1591172.103423,1766790.624711,972085.444034,1053096.990658
3,0.656892,0.001938,0.039014,912420.837085,1384258.369222,1591172.103423,1766790.624711,-637020.820845,1053096.990658
4,0.675998,0.001672,0.025413,784447.527259,1394971.397470,1591172.103423,1766790.624711,-172004.954832,1053096.990658
5,0.681394,-0.004744,0.020033,519617.581936,1398236.394361,1591172.103423,1766790.624711,-523498.629335,1053096.990658
6,0.682944,-0.007298,0.009225,0.000000,1399194.891980,1591172.103423,1766790.624711,-74636.141903,1053096.990658
7,0.713866,-0.004145,0.025105,953740.355084,1420282.826681,1591172.103423,1766790.624711,-433936.611854,1053096.990658
8,0.717594,0.013730,-0.001655,831090.688389,1423089.895395,1591172.103423,1766790.624711,699246.023434,1053096.990658
9,0.723280,-0.005187,0.005320,564834.173824,1427487.260297,1591172.103423,1766790.624711,369643.424232,1053096.990658
10,0.726199,-0.003073,0.014530,867725.964055,1429798.526106,1591172.103423,1766790.624711,-471033.687356,1053096.990658
11,0.742207,-0.002724,0.010742,923998.891853,1443152.554607,1591172.103423,1766790.624711,-378000.064077,1053096.990658
12,0.754624,-0.005846,0.020286,1112645.101312,1454321.451212,1591172.103423,1766790.624711,646817.009830,1053096.990658
13,0.758117,0.011769,0.036511,1576745.467921,1457594.005572,1591172.103423,1766790.624711,1138459.184953,1053096.990658
14,0.762086,0.000049,0.020689,1252423.922169,1461384.290318,1591172.103423,1766790.624711,399994.436605,1053096.990658
15,0.763914,-0.001981,0.034030,1406670.251228,1463155.014078,1591172.103423,1766790.624711,941983.221699,1053096.990658
16,0.772737,0.014275,0.023788,1529391.297333,1471933.508273,1591172.103423,1766790.624711,662798.591752,1053096.990658
17,0.781288,0.007101,-0.004065,1111513.044202,1480809.097234,1591172.103423,1766790.624711,282088.272864,1053096.990658
18,0.813069,0.017132,0.024299,1735267.478654,1517066.006421,1591172.103423,1766790.624711,123955.329127,1053096.990658
