#TimeStep,Date,DaysInPeriod,ZeroOrderDIM,AverageDIM,AverageFLOW,SimpleDIM,NettingSet
0,2016-02-19,14,1672516.662904,1564677.308695,0.000000,2049989.819191,CPTY_A
1,2016-03-04,14,1562352.103016,1462640.541520,9864.232559,1833175.127057,CPTY_A
2,2016-03-18,14,1598234.646561,1540506.557333,0.000000,1824793.041147,CPTY_A
3,2016-04-01,14,1533856.309860,1437293.459916,0.000000,1452907.421921,CPTY_A
4,2016-04-15,14,1754607.156465,1661566.053970,0.000000,1914923.425593,CPTY_A
5,2016-04-29,14,1538447.487765,1460603.699722,0.000000,1565819.736697,CPTY_A
6,2016-05-13,14,1441766.169857,1336797.169562,0.000000,1333017.996003,CPTY_A
7,2016-05-27,14,1369323.427628,1316919.759629,63163.436260,1291266.920686,CPTY_A
8,2016-06-10,14,1616581.110179,1545179.855194,0.000000,1394518.663423,CPTY_A
9,2016-06-24,14,1450938.012582,1422072.252615,0.000000,1201209.309872,CPTY_A
10,2016-07-08,14,1623858.699315,1549894.867901,0.000000,1663812.224298,CPTY_A
11,2016-07-22,14,1554128.896326,1505411.422710,0.000000,1535751.945776,CPTY_A
12,2016-08-05,14,1539508.342361,1441642.732333,0.000000,1840486.059120,CPTY_A
13,2016-08-19,14,1462149.481144,1425748.732763,0.000000,1583929.165795,CPTY_A
14,2016-09-02,14,1566015.608262,1364651.664981,-238237.308438,1810713.431283,CPTY_A
15,2016-09-16,14,1697109.690707,1683377.151640,0.000000,1460134.662073,CPTY_A
16,2016-09-30,14,1498677.112753,1467511.609151,0.000000,1412386.957316,CPTY_A
17,2016-10-14,14,1615233.891928,1562139.328397,0.000000,1453668.041701,CPTY_A
18,2016-10-28,17,1355902.716356,1297648.222882,0.000000,1208836.460138,CPTY_A
19,2016-11-14,11,1547170.088479,1289589.935983,0.000000,1865759.945405,CPTY_A
20,2016-11-25,14,1457507.641648,1427745.453982,65835.736953,1348361.115941,CPTY_A
21,2016-12-09,14,1721777.283112,1652193.647040,0.000000,1718085.377064,CPTY_A
22,2016-12-23,14,1156876.827679,1117815.381578,0.000000,951527.664086,CPTY_A
23,2017-01-06,14,1574026.971554,1443564.326585,0.000000,1327772.268146,CPTY_A
24,2017-01-20,14,1540882.791074,1420234.003975,0.000000,1744331.209814,CPTY_A
25,2017-02-03,14,1394817.754778,1327617.977708,0.000000,1303850.163095,CPTY_A
26,2017-02-17,14,1573958.354407,1465400.869950,0.000000,1348451.116214,CPTY_A
27,2017-03-03,14,1569932.304727,1376179.365193,-220911.961406,2500055.241737,CPTY_A
28,2017-03-17,14,1565483.479827,1512468.163264,0.000000,1656071.820550,CPTY_A
29,2017-03-31,18,1476160.883240,1435875.062003,0.000000,1459011.874699,CPTY_A
30,2017-04-18,10,1445550.358432,1320559.517723,0.000000,1310168.377046,CPTY_A
31,2017-04-28,14,1655523.268759,1449943.166988,0.000000,2726537.552930,CPTY_A
32,2017-05-12,14,1396507.493741,1309199.412177,0.000000,1169384.901677,CPTY_A
33,2017-05-26,14,1638106.736698,1580742.254749,73950.517380,1693934.177894,CPTY_A
34,2017-06-09,14,1719319.091552,1632887.783439,0.000000,1609903.843583,CPTY_A
35,2017-06-23,14,1450061.626706,1347777.659294,0.000000,1420879.085940,CPTY_A
36,2017-07-07,14,1516684.955913,1439955.333163,0.000000,2031467.787846,CPTY_A
37,2017-07-21,14,1536081.614045,1465111.338543,0.000000,1521638.371876,CPTY_A
38,2017-08-04,14,1481882.069967,1372959.909103,0.000000,1299147.817379,CPTY_A
39,2017-08-18,14,1594637.091220,1506339.166457,0.000000,2358802.794203,CPTY_A
40,2017-09-01,14,1514642.438418,1466089.449585,-222995.390859,1400108.891772,CPTY_A
41,2017-09-15,14,1356962.375585,1275061.139546,0.000000,1676266.568049,CPTY_A
42,2017-09-29,14,1466696.272490,1393284.500272,0.000000,1405165.834489,CPTY_A
43,2017-10-13,14,1453881.099384,1375305.547494,0.000000,1218637.050478,CPTY_A
44,2017-10-27,17,1599022.827795,1540228.223061,0.000000,1408730.671777,CPTY_A
45,2017-11-13,11,1771839.987873,1551669.981257,0.000000,2415890.951162,CPTY_A
46,2017-11-24,14,1469668.018702,1315828.365872,71267.680830,1901125.239403,CPTY_A
47,2017-12-08,14,1502494.473117,1411855.344142,0.000000,1753205.873878,CPTY_A
48,2017-12-22,14,1489221.286917,1409301.058126,0.000000,1164028.231535,CPTY_A
49,2018-01-05,14,1733896.030784,1402473.731246,0.000000,1560063.942659,CPTY_A
50,2018-01-19,14,1273790.705768,1227141.557180,0.000000,1295687.736942,CPTY_A
51,2018-02-02,14,1428270.649507,1365326.407459,0.000000,1317418.243592,CPTY_A
52,2018-02-16,14,1401190.565142,1349248.599646,0.000000,1327541.912128,CPTY_A
53,2018-03-02,14,1509374.511146,1362410.928973,-207056.140039,1903169.929944,CPTY_A
