#TradeId,Type,CashflowNo,LegNo,PayDate,FlowType,Amount,Currency,Coupon,Accrual,AccrualStartDate,AccrualEndDate,AccruedAmount,fixingDate,fixingValue,Notional,DiscountFactor,PresentValue,FXRate(Local-Base),PresentValue(Base),BaseCurrency,FloorStrike,CapStrike,FloorVolatility,CapVolatility
Swap_20y,Swap,1,0,2017-03-01,Interest,400000.0000,EUR,0.0400000000,1.0000000000,2016-03-01,2017-03-01,0.0000,#N/A,#N/A,10000000.0000,0.9787692200,391507.6879977185,1.0000000000,391507.6879977185,EUR,#N/A,#N/A,#N/A,#N/A
Swap_20y,Swap,2,0,2018-03-01,Interest,400000.0000,EUR,0.0400000000,1.0000000000,2017-03-01,2018-03-01,0.0000,#N/A,#N/A,10000000.0000,0.9593251213,383730.0485291537,1.0000000000,383730.0485291537,EUR,#N/A,#N/A,#N/A,#N/A
Swap_20y,Swap,3,0,2019-03-01,Interest,400000.0000,EUR,0.0400000000,1.0000000000,2018-03-01,2019-03-01,0.0000,#N/A,#N/A,10000000.0000,0.9402586043,376103.4417249878,1.0000000000,376103.4417249878,EUR,#N/A,#N/A,#N/A,#N/A
Swap_20y,Swap,4,0,2020-03-02,Interest,401111.1111,EUR,0.0400000000,1.0027777778,2019-03-01,2020-03-02,0.0000,#N/A,#N/A,10000000.0000,0.9214693404,369611.5909771394,1.0000000000,369611.5909771394,EUR,#N/A,#N/A,#N/A,#N/A
Swap_20y,Swap,5,0,2021-03-01,Interest,398888.8889,EUR,0.0400000000,0.9972222222,2020-03-02,2021-03-01,0.0000,#N/A,#N/A,10000000.0000,0.9032050328,360278.4519595471,1.0000000000,360278.4519595471,EUR,#N/A,#N/A,#N/A,#N/A
Swap_20y,Swap,6,0,2022-03-01,Interest,400000.0000,EUR,0.0400000000,1.0000000000,2021-03-01,2022-03-01,0.0000,#N/A,#N/A,10000000.0000,0.8852540479,354101.6191615372,1.0000000000,354101.6191615372,EUR,#N/A,#N/A,#N/A,#N/A
Swap_20y,Swap,7,0,2023-03-01,Interest,400000.0000,EUR,0.0400000000,1.0000000000,2022-03-01,2023-03-01,0.0000,#N/A,#N/A,10000000.0000,0.8676598346,347063.9338365222,1.0000000000,347063.9338365222,EUR,#N/A,#N/A,#N/A,#N/A
Swap_20y,Swap,8,0,2024-03-01,Interest,400000.0000,EUR,0.0400000000,1.0000000000,2023-03-01,2024-03-01,0.0000,#N/A,#N/A,10000000.0000,0.8503685771,340147.4308297503,1.0000000000,340147.4308297503,EUR,#N/A,#N/A,#N/A,#N/A
Swap_20y,Swap,9,0,2025-03-03,Interest,402222.2222,EUR,0.0400000000,1.0055555556,2024-03-01,2025-03-03,0.0000,#N/A,#N/A,10000000.0000,0.8333768789,335202.7001912001,1.0000000000,335202.7001912001,EUR,#N/A,#N/A,#N/A,#N/A
Swap_20y,Swap,10,0,2026-03-02,Interest,398888.8889,EUR,0.0400000000,0.9972222222,2025-03-03,2026-03-02,0.0000,#N/A,#N/A,10000000.0000,0.8168582121,325835.6646190663,1.0000000000,325835.6646190663,EUR,#N/A,#N/A,#N/A,#N/A
Swap_20y,Swap,11,0,2027-03-01,Interest,398888.8889,EUR,0.0400000000,0.9972222222,2026-03-02,2027-03-01,0.0000,#N/A,#N/A,10000000.0000,0.8006673857,319377.3238518998,1.0000000000,319377.3238518998,EUR,#N/A,#N/A,#N/A,#N/A
Swap_20y,Swap,12,0,2028-03-01,Interest,400000.0000,EUR,0.0400000000,1.0000000000,2027-03-01,2028-03-01,0.0000,#N/A,#N/A,10000000.0000,0.7847111687,313884.4674938198,1.0000000000,313884.4674938198,EUR,#N/A,#N/A,#N/A,#N/A
Swap_20y,Swap,13,0,2029-03-01,Interest,400000.0000,EUR,0.0400000000,1.0000000000,2028-03-01,2029-03-01,0.0000,#N/A,#N/A,10000000.0000,0.7691155100,307646.2040052577,1.0000000000,307646.2040052577,EUR,#N/A,#N/A,#N/A,#N/A
Swap_20y,Swap,14,0,2030-03-01,Interest,400000.0000,EUR,0.0400000000,1.0000000000,2029-03-01,2030-03-01,0.0000,#N/A,#N/A,10000000.0000,0.7538298056,301531.9222213764,1.0000000000,301531.9222213764,EUR,#N/A,#N/A,#N/A,#N/A
Swap_20y,Swap,15,0,2031-03-03,Interest,402222.2222,EUR,0.0400000000,1.0055555556,2030-03-01,2031-03-03,0.0000,#N/A,#N/A,10000000.0000,0.7387666215,297148.3522171011,1.0000000000,297148.3522171011,EUR,#N/A,#N/A,#N/A,#N/A
Swap_20y,Swap,16,0,2032-03-01,Interest,397777.7778,EUR,0.0400000000,0.9944444444,2031-03-03,2032-03-01,0.0000,#N/A,#N/A,10000000.0000,0.7241237880,288040.3512213004,1.0000000000,288040.3512213004,EUR,#N/A,#N/A,#N/A,#N/A
Swap_20y,Swap,17,0,2033-03-01,Interest,400000.0000,EUR,0.0400000000,1.0000000000,2032-03-01,2033-03-01,0.0000,#N/A,#N/A,10000000.0000,0.7097321491,283892.8596460619,1.0000000000,283892.8596460619,EUR,#N/A,#N/A,#N/A,#N/A
Swap_20y,Swap,18,0,2034-03-01,Interest,400000.0000,EUR,0.0400000000,1.0000000000,2033-03-01,2034-03-01,0.0000,#N/A,#N/A,10000000.0000,0.6956265377,278250.6150713553,1.0000000000,278250.6150713553,EUR,#N/A,#N/A,#N/A,#N/A
Swap_20y,Swap,19,0,2035-03-01,Interest,400000.0000,EUR,0.0400000000,1.0000000000,2034-03-01,2035-03-01,0.0000,#N/A,#N/A,10000000.0000,0.6818012690,272720.5076031630,1.0000000000,272720.5076031630,EUR,#N/A,#N/A,#N/A,#N/A
Swap_20y,Swap,20,0,2036-03-03,Interest,402222.2222,EUR,0.0400000000,1.0055555556,2035-03-01,2036-03-03,0.0000,#N/A,#N/A,10000000.0000,0.6681405205,268740.9649218429,1.0000000000,268740.9649218429,EUR,#N/A,#N/A,#N/A,#N/A
Swap_20y,Swap,1,1,2016-09-01,InterestProjected,-101885.7067,EUR,0.0199341600,0.5111111111,2016-03-01,2016-09-01,0.0000,2016-02-26,0.0199341600,10000000.0000,0.9885199378,-100716.0524146940,1.0000000000,-100716.0524146940,EUR,#N/A,#N/A,#N/A,#N/A
Swap_20y,Swap,2,1,2017-03-01,InterestProjected,-97860.7573,EUR,0.0194640180,0.5027777778,2016-09-01,2017-03-01,0.0000,2016-08-30,0.0194640180,10000000.0000,0.9787692200,-95783.0970425345,1.0000000000,-95783.0970425345,EUR,#N/A,#N/A,#N/A,#N/A
Swap_20y,Swap,3,1,2017-09-01,InterestProjected,-99490.8011,EUR,0.0194655915,0.5111111111,2017-03-01,2017-09-01,0.0000,2017-02-27,0.0194655915,10000000.0000,0.9688752068,-96394.1704446073,1.0000000000,-96394.1704446073,EUR,#N/A,#N/A,#N/A,#N/A
Swap_20y,Swap,4,1,2018-03-01,InterestProjected,-97951.0984,EUR,0.0194819864,0.5027777778,2017-09-01,2018-03-01,0.0000,2017-08-30,0.0194819864,10000000.0000,0.9593251213,-93966.9493264017,1.0000000000,-93966.9493264017,EUR,#N/A,#N/A,#N/A,#N/A
Swap_20y,Swap,5,1,2018-09-03,InterestProjected,-101418.0728,EUR,0.0196293044,0.5166666667,2018-03-01,2018-09-03,0.0000,2018-02-27,0.0196293044,10000000.0000,0.9495612180,-96302.6686952052,1.0000000000,-96302.6686952052,EUR,#N/A,#N/A,#N/A,#N/A
Swap_20y,Swap,6,1,2019-03-01,InterestProjected,-97582.3910,EUR,0.0196255088,0.4972222222,2018-09-03,2019-03-01,0.0000,2018-08-30,0.0196255088,10000000.0000,0.9402586043,-91752.6827854139,1.0000000000,-91752.6827854139,EUR,#N/A,#N/A,#N/A,#N/A
Swap_20y,Swap,7,1,2019-09-02,InterestProjected,-100866.8732,EUR,0.0196281483,0.5138888889,2019-03-01,2019-09-02,0.0000,2019-02-27,0.0196281483,10000000.0000,0.9307397590,-93880.8092606556,1.0000000000,-93880.8092606556,EUR,#N/A,#N/A,#N/A,#N/A
Swap_20y,Swap,8,1,2020-03-02,InterestProjected,-99191.4282,EUR,0.0196202825,0.5055555556,2019-09-02,2020-03-02,0.0000,2019-08-29,0.0196202825,10000000.0000,0.9214693404,-91401.8599304867,1.0000000000,-91401.8599304867,EUR,#N/A,#N/A,#N/A,#N/A
Swap_20y,Swap,9,1,2020-09-01,InterestProjected,-99494.9358,EUR,0.0195727742,0.5083333333,2020-03-02,2020-09-01,0.0000,2020-02-27,0.0195727742,10000000.0000,0.9122413063,-90763.3901605998,1.0000000000,-90763.3901605998,EUR,#N/A,#N/A,#N/A,#N/A
Swap_20y,Swap,10,1,2021-03-01,InterestProjected,-98432.5128,EUR,0.0195777373,0.5027777778,2020-09-01,2021-03-01,0.0000,2020-08-28,0.0195777373,10000000.0000,0.9032050328,-88904.7409224045,1.0000000000,-88904.7409224045,EUR,#N/A,#N/A,#N/A,#N/A
Swap_20y,Swap,11,1,2021-09-01,InterestProjected,-100320.0127,EUR,0.0196278286,0.5111111111,2021-03-01,2021-09-01,0.0000,2021-02-25,0.0196278286,10000000.0000,0.8941107282,-89697.1995920664,1.0000000000,-89697.1995920664,EUR,#N/A,#N/A,#N/A,#N/A
Swap_20y,Swap,12,1,2022-03-01,InterestProjected,-98676.3169,EUR,0.0196262288,0.5027777778,2021-09-01,2022-03-01,0.0000,2021-08-30,0.0196262288,10000000.0000,0.8852540479,-87353.6089864695,1.0000000000,-87353.6089864695,EUR,#N/A,#N/A,#N/A,#N/A
Swap_20y,Swap,13,1,2022-09-01,InterestProjected,-100320.0127,EUR,0.0196278286,0.5111111111,2022-03-01,2022-09-01,0.0000,2022-02-25,0.0196278286,10000000.0000,0.8763404905,-87914.4891181176,1.0000000000,-87914.4891181176,EUR,#N/A,#N/A,#N/A,#N/A
Swap_20y,Swap,14,1,2023-03-01,InterestProjected,-98666.2715,EUR,0.0196242308,0.5027777778,2022-09-01,2023-03-01,0.0000,2022-08-30,0.0196242308,10000000.0000,0.8676598346,-85608.7608188545,1.0000000000,-85608.7608188545,EUR,#N/A,#N/A,#N/A,#N/A
Swap_20y,Swap,15,1,2023-09-01,InterestProjected,-100227.5802,EUR,0.0196097440,0.5111111111,2023-03-01,2023-09-01,0.0000,2023-02-27,0.0196097440,10000000.0000,0.8589234320,-86087.8172037511,1.0000000000,-86087.8172037511,EUR,#N/A,#N/A,#N/A,#N/A
Swap_20y,Swap,16,1,2024-03-01,InterestProjected,-99132.7680,EUR,0.0196086794,0.5055555556,2023-09-01,2024-03-01,0.0000,2023-08-30,0.0196086794,10000000.0000,0.8503685771,-84299.3908319572,1.0000000000,-84299.3908319572,EUR,#N/A,#N/A,#N/A,#N/A
Swap_20y,Swap,17,1,2024-09-02,InterestProjected,-100775.0309,EUR,0.0196102763,0.5138888889,2024-03-01,2024-09-02,0.0000,2024-02-28,0.0196102763,10000000.0000,0.8417604528,-84828.4356252687,1.0000000000,-84828.4356252687,EUR,#N/A,#N/A,#N/A,#N/A
Swap_20y,Swap,18,1,2025-03-03,InterestProjected,-99132.7680,EUR,0.0196086794,0.5055555556,2024-09-02,2025-03-03,0.0000,2024-08-29,0.0196086794,10000000.0000,0.8333768789,-82614.9567623985,1.0000000000,-82614.9567623985,EUR,#N/A,#N/A,#N/A,#N/A
Swap_20y,Swap,19,1,2025-09-01,InterestProjected,-99132.7680,EUR,0.0196086794,0.5055555556,2025-03-03,2025-09-01,0.0000,2025-02-27,0.0196086794,10000000.0000,0.8250761945,-81792.0869373855,1.0000000000,-81792.0869373855,EUR,#N/A,#N/A,#N/A,#N/A
Swap_20y,Swap,20,1,2026-03-02,InterestProjected,-99143.3161,EUR,0.0196107658,0.5055555556,2025-09-01,2026-03-02,0.0000,2025-08-28,0.0196107658,10000000.0000,0.8168582121,-80986.0319492443,1.0000000000,-80986.0319492443,EUR,#N/A,#N/A,#N/A,#N/A
Swap_20y,Swap,21,1,2026-09-01,InterestProjected,-99772.0843,EUR,0.0196272953,0.5083333333,2026-03-02,2026-09-01,0.0000,2026-02-26,0.0196272953,10000000.0000,0.8086778035,-80683.4699658641,1.0000000000,-80683.4699658641,EUR,#N/A,#N/A,#N/A,#N/A
Swap_20y,Swap,22,1,2027-03-01,InterestProjected,-98676.3168,EUR,0.0196262288,0.5027777778,2026-09-01,2027-03-01,0.0000,2026-08-28,0.0196262288,10000000.0000,0.8006673857,-79006.9086254268,1.0000000000,-79006.9086254268,EUR,#N/A,#N/A,#N/A,#N/A
Swap_20y,Swap,23,1,2027-09-01,InterestProjected,-100320.0126,EUR,0.0196278285,0.5111111111,2027-03-01,2027-09-01,0.0000,2027-02-25,0.0196278285,10000000.0000,0.7926055255,-79514.1962865454,1.0000000000,-79514.1962865454,EUR,#N/A,#N/A,#N/A,#N/A
Swap_20y,Swap,24,1,2028-03-01,InterestProjected,-99213.4734,EUR,0.0196246431,0.5055555556,2027-09-01,2028-03-01,0.0000,2027-08-30,0.0196246431,10000000.0000,0.7847111687,-77853.9206613642,1.0000000000,-77853.9206613642,EUR,#N/A,#N/A,#N/A,#N/A
Swap_20y,Swap,25,1,2028-09-01,InterestProjected,-100226.1427,EUR,0.0196094627,0.5111111111,2028-03-01,2028-09-01,0.0000,2028-02-28,0.0196094627,10000000.0000,0.7768101172,-77856.6816360951,1.0000000000,-77856.6816360951,EUR,#N/A,#N/A,#N/A,#N/A
Swap_20y,Swap,26,1,2029-03-01,InterestProjected,-98583.9924,EUR,0.0196078659,0.5027777778,2028-09-01,2029-03-01,0.0000,2028-08-30,0.0196078659,10000000.0000,0.7691155100,-75822.4776138447,1.0000000000,-75822.4776138447,EUR,#N/A,#N/A,#N/A,#N/A
Swap_20y,Swap,27,1,2029-09-03,InterestProjected,-101321.0579,EUR,0.0196105273,0.5166666667,2029-03-01,2029-09-03,0.0000,2029-02-27,0.0196105273,10000000.0000,0.7612877427,-77134.4794231508,1.0000000000,-77134.4794231508,EUR,#N/A,#N/A,#N/A,#N/A
Swap_20y,Swap,28,1,2030-03-01,InterestProjected,-97489.3739,EUR,0.0196068015,0.4972222222,2029-09-03,2030-03-01,0.0000,2029-08-30,0.0196068015,10000000.0000,0.7538298056,-73490.3957897587,1.0000000000,-73490.3957897587,EUR,#N/A,#N/A,#N/A,#N/A
Swap_20y,Swap,29,1,2030-09-02,InterestProjected,-100773.5854,EUR,0.0196099950,0.5138888889,2030-03-01,2030-09-02,0.0000,2030-02-27,0.0196099950,10000000.0000,0.7461986493,-75197.1133267699,1.0000000000,-75197.1133267699,EUR,#N/A,#N/A,#N/A,#N/A
