#Key,Factor,BaseValue,ShiftSize
DiscountCurve/EUR/0,DiscountCurve/EUR/0/6M,-0.00259898,0.00010000
DiscountCurve/EUR/1,DiscountCurve/EUR/1/1Y,-0.00316143,0.00010000
DiscountCurve/EUR/2,DiscountCurve/EUR/2/2Y,-0.00350149,0.00010000
DiscountCurve/EUR/3,DiscountCurve/EUR/3/3Y,-0.00314065,0.00010000
DiscountCurve/EUR/4,DiscountCurve/EUR/4/5Y,-0.00178025,0.00010000
DiscountCurve/EUR/5,DiscountCurve/EUR/5/7Y,0.00050308,0.00010000
DiscountCurve/EUR/6,DiscountCurve/EUR/6/10Y,0.00398599,0.00010000
DiscountCurve/EUR/7,DiscountCurve/EUR/7/15Y,0.00765767,0.00010000
DiscountCurve/EUR/8,DiscountCurve/EUR/8/20Y,0.00930009,0.00010000
DiscountCurve/USD/0,DiscountCurve/USD/0/6M,0.00916754,0.00010000
DiscountCurve/USD/1,DiscountCurve/USD/1/1Y,0.00990207,0.00010000
DiscountCurve/USD/2,DiscountCurve/USD/2/2Y,0.01321730,0.00010000
DiscountCurve/USD/3,DiscountCurve/USD/3/3Y,0.01469720,0.00010000
DiscountCurve/USD/4,DiscountCurve/USD/4/5Y,0.01712787,0.00010000
DiscountCurve/USD/5,DiscountCurve/USD/5/7Y,0.01947540,0.00010000
DiscountCurve/USD/6,DiscountCurve/USD/6/10Y,0.02168675,0.00010000
DiscountCurve/USD/7,DiscountCurve/USD/7/15Y,0.02367341,0.00010000
DiscountCurve/USD/8,DiscountCurve/USD/8/20Y,0.02485348,0.00010000
YieldCurve/BENCHMARK_EUR/0,YieldCurve/BENCHMARK_EUR/0/6M,-0.00759898,0.00010000
YieldCurve/BENCHMARK_EUR/1,YieldCurve/BENCHMARK_EUR/1/1Y,-0.00816143,0.00010000
YieldCurve/BENCHMARK_EUR/2,YieldCurve/BENCHMARK_EUR/2/2Y,-0.00850149,0.00010000
YieldCurve/BENCHMARK_EUR/3,YieldCurve/BENCHMARK_EUR/3/3Y,-0.00814065,0.00010000
YieldCurve/BENCHMARK_EUR/4,YieldCurve/BENCHMARK_EUR/4/5Y,-0.00678025,0.00010000
YieldCurve/BENCHMARK_EUR/5,YieldCurve/BENCHMARK_EUR/5/7Y,-0.00449692,0.00010000
YieldCurve/BENCHMARK_EUR/6,YieldCurve/BENCHMARK_EUR/6/10Y,-0.00101401,0.00010000
YieldCurve/BENCHMARK_EUR/7,YieldCurve/BENCHMARK_EUR/7/15Y,0.00265767,0.00010000
