#Portfolio,ProductClass,RiskClass,MarginType,Bucket,SimmSide,Regulation,InitialMargin,Currency,CalculationCurrency
CRIF_20201228,RatesFX,InterestRate,Delta,All,Call,"ESA,USPR",230705.488412977,USD,USD
CRIF_20201228,RatesFX,InterestRate,Delta,USD,Call,"ESA,USPR",230705.488412977,USD,USD
CRIF_20201228,RatesFX,InterestRate,Vega,All,Call,"ESA,USPR",42037.549544598,USD,USD
CRIF_20201228,RatesFX,InterestRate,Vega,USD,Call,"ESA,USPR",42037.549544598,USD,USD
CRIF_20201228,RatesFX,InterestRate,Curvature,All,Call,"ESA,USPR",5447.639286841,USD,USD
CRIF_20201228,RatesFX,InterestRate,Curvature,USD,Call,"ESA,USPR",212.492282763,USD,USD
CRIF_20201228,RatesFX,InterestRate,All,All,Call,"ESA,USPR",278190.677244416,USD,USD
CRIF_20201228,RatesFX,All,Delta,All,Call,"ESA,USPR",230705.488412977,USD,USD
CRIF_20201228,RatesFX,All,Vega,All,Call,"ESA,USPR",42037.549544598,USD,USD
CRIF_20201228,RatesFX,All,Curvature,All,Call,"ESA,USPR",5447.639286841,USD,USD
CRIF_20201228,RatesFX,All,All,All,Call,"ESA,USPR",278190.677244416,USD,USD
CRIF_20201228,All,InterestRate,Delta,All,Call,"ESA,USPR",230705.488412977,USD,USD
CRIF_20201228,All,InterestRate,Vega,All,Call,"ESA,USPR",42037.549544598,USD,USD
CRIF_20201228,All,InterestRate,Curvature,All,Call,"ESA,USPR",5447.639286841,USD,USD
CRIF_20201228,All,InterestRate,All,All,Call,"ESA,USPR",278190.677244416,USD,USD
CRIF_20201228,All,All,Delta,All,Call,"ESA,USPR",230705.488412977,USD,USD
CRIF_20201228,All,All,Vega,All,Call,"ESA,USPR",42037.549544598,USD,USD
CRIF_20201228,All,All,Curvature,All,Call,"ESA,USPR",5447.639286841,USD,USD
CRIF_20201228,All,All,All,All,Call,"ESA,USPR",278190.677244416,USD,USD
CRIF_20201228,RatesFX,InterestRate,Delta,All,Post,"CFTC,SEC",230705.488412977,USD,USD
CRIF_20201228,RatesFX,InterestRate,Delta,USD,Post,"CFTC,SEC",230705.488412977,USD,USD
CRIF_20201228,RatesFX,InterestRate,Vega,All,Post,"CFTC,SEC",42037.549544598,USD,USD
CRIF_20201228,RatesFX,InterestRate,Vega,USD,Post,"CFTC,SEC",42037.549544598,USD,USD
CRIF_20201228,RatesFX,InterestRate,Curvature,USD,Post,"CFTC,SEC",212.492282763,USD,USD
CRIF_20201228,RatesFX,InterestRate,All,All,Post,"CFTC,SEC",272743.037957575,USD,USD
CRIF_20201228,RatesFX,All,Delta,All,Post,"CFTC,SEC",230705.488412977,USD,USD
CRIF_20201228,RatesFX,All,Vega,All,Post,"CFTC,SEC",42037.549544598,USD,USD
CRIF_20201228,RatesFX,All,All,All,Post,"CFTC,SEC",272743.037957575,USD,USD
CRIF_20201228,All,InterestRate,Delta,All,Post,"CFTC,SEC",230705.488412977,USD,USD
CRIF_20201228,All,InterestRate,Vega,All,Post,"CFTC,SEC",42037.549544598,USD,USD
CRIF_20201228,All,InterestRate,All,All,Post,"CFTC,SEC",272743.037957575,USD,USD
CRIF_20201228,All,All,Delta,All,Post,"CFTC,SEC",230705.488412977,USD,USD
CRIF_20201228,All,All,Vega,All,Post,"CFTC,SEC",42037.549544598,USD,USD
CRIF_20201228,All,All,All,All,Post,"CFTC,SEC",272743.037957575,USD,USD
