#Tenor,Date,GBP,GBP-SONIA
1D,2022-09-23,0.999858295635125,0.999858295635125
4D,2022-09-26,0.999433303009880,0.999433303009880
5D,2022-09-27,0.999291678948442,0.999291678948442
6D,2022-09-28,0.999150074955751,0.999150074955751
1W,2022-09-29,0.999008491028965,0.999008491028965
1W1D,2022-09-30,0.998866927165238,0.998866927165238
1W4D,2022-10-03,0.998442355923994,0.998442355923994
1W5D,2022-10-04,0.998300872284083,0.998300872284083
1W6D,2022-10-05,0.998159408693022,0.998159408693022
2W,2022-10-06,0.998017965147969,0.998017965147969
2W1D,2022-10-07,0.997876541646084,0.997876541646084
2W4D,2022-10-10,0.997452391371034,0.997452391371034
2W5D,2022-10-11,0.997311048013421,0.997311048013421
2W6D,2022-10-12,0.997169724684780,0.997169724684780
3W,2022-10-13,0.997028421382270,0.997028421382270
3W1D,2022-10-14,0.996887138103056,0.996887138103056
3W4D,2022-10-17,0.996463408376809,0.996463408376809
3W5D,2022-10-18,0.996322205162403,0.996322205162403
3W6D,2022-10-19,0.996181021957110,0.996181021957110
4W,2022-10-20,0.996039858758093,0.996039858758093
4W1D,2022-10-21,0.995898715562517,0.995898715562517
4W4D,2022-10-24,0.995475405968095,0.995475405968095
4W5D,2022-10-25,0.995334342757943,0.995334342757943
4W6D,2022-10-26,0.995193299537064,0.995193299537064
5W,2022-10-27,0.995052276302625,0.995052276302625
5W1D,2022-10-28,0.994911273051794,0.994911273051794
5W4D,2022-10-31,0.994488383172632,0.994488383172632
5W5D,2022-11-01,0.994347459827919,0.994347459827919
5W6D,2022-11-02,0.994206556452659,0.994206556452659
6W,2022-11-03,0.994065673044022,0.994065673044022
6W1D,2022-11-04,0.993924349427017,0.993924349427017
6W4D,2022-11-07,0.993500499114147,0.993500499114147
6W5D,2022-11-08,0.993359255846385,0.993359255846385
6W6D,2022-11-09,0.993218032658794,0.993218032658794
7W,2022-11-10,0.993076829548521,0.993076829548521
7W1D,2022-11-11,0.992935646512710,0.992935646512710
7W4D,2022-11-14,0.992512217823517,0.992512217823517
7W5D,2022-11-15,0.992371115057022,0.992371115057022
7W6D,2022-11-16,0.992230032350724,0.992230032350724
8W,2022-11-17,0.992088969701772,0.992088969701772
8W1D,2022-11-18,0.991947927107313,0.991947927107313
8W4D,2022-11-21,0.991524919622389,0.991524919622389
8W5D,2022-11-22,0.991383957217398,0.991383957217398
8W6D,2022-11-23,0.991243014852649,0.991243014852649
9W,2022-11-24,0.991102092525293,0.991102092525293
9W1D,2022-11-25,0.990961190232482,0.990961190232482
9W4D,2022-11-28,0.990538603532836,0.990538603532836
9W5D,2022-11-29,0.990397781349724,0.990397781349724
9W6D,2022-11-30,0.990256979186920,0.990256979186920
10W,2022-12-01,0.990116197041577,0.990116197041577
10W1D,2022-12-02,0.989975434910850,0.989975434910850
10W4D,2022-12-05,0.989553268577906,0.989553268577906
10W5D,2022-12-06,0.989412586477189,0.989412586477189
10W6D,2022-12-07,0.989271924376864,0.989271924376864
11W,2022-12-08,0.989131282274088,0.989131282274088
11W1D,2022-12-09,0.988990660166018,0.988990660166018
11W4D,2022-12-12,0.988568913781619,0.988568913781619
11W5D,2022-12-13,0.988428371623950,0.988428371623950
11W6D,2022-12-14,0.988287849446778,0.988287849446778
12W,2022-12-15,0.988147347247262,0.988147347247262
12W1D,2022-12-16,0.988003843683181,0.988003843683181
12W4D,2022-12-19,0.987573458020543,0.987573458020543
12W5D,2022-12-20,0.987430037799446,0.987430037799446
12W6D,2022-12-21,0.987286638406532,0.987286638406532
13W,2022-12-22,0.987143259838774,0.987143259838774
13W1D,2022-12-23,0.986999902093150,0.986999902093150
13W5D,2022-12-27,0.986426679271511,0.986426679271511
13W6D,2022-12-28,0.986283425591202,0.986283425591202
14W,2022-12-29,0.986140192714889,0.986140192714889
14W1D,2022-12-30,0.985996980639551,0.985996980639551
14W4D,2023-01-02,0.985567469189182,0.985567469189182
14W5D,2023-01-03,0.985424340287540,0.985424340287540
14W6D,2023-01-04,0.985281232171774,0.985281232171774
15W,2023-01-05,0.985138144838864,0.985138144838864
15W1D,2023-01-06,0.984995078285793,0.984995078285793
15W4D,2023-01-09,0.984566003275434,0.984566003275434
15W5D,2023-01-10,0.984423019811544,0.984423019811544
15W6D,2023-01-11,0.984280057112407,0.984280057112407
16W,2023-01-12,0.984137115175009,0.984137115175009
16W1D,2023-01-13,0.983994193996335,0.983994193996335
16W4D,2023-01-16,0.983565554982507,0.983565554982507
16W5D,2023-01-17,0.983422716808583,0.983422716808583
16W6D,2023-01-18,0.983279899378314,0.983279899378314
17W,2023-01-19,0.983137102688687,0.983137102688687
17W1D,2023-01-20,0.982994326736690,0.982994326736690
17W4D,2023-01-23,0.982566123276363,0.982566123276363
17W5D,2023-01-24,0.982423430244773,0.982423430244773
17W6D,2023-01-25,0.982280757935760,0.982280757935760
18W,2023-01-26,0.982138106346313,0.982138106346313
18W1D,2023-01-27,0.981995475473423,0.981995475473423
18W4D,2023-01-30,0.981567707124018,0.981567707124018
18W5D,2023-01-31,0.981425159087278,0.981425159087278
18W6D,2023-02-01,0.981282631752057,0.981282631752057
19W,2023-02-02,0.981140125115350,0.981140125115350
19W1D,2023-02-03,0.980993369869402,0.980993369869402
19W4D,2023-02-06,0.980553235825010,0.980553235825010
19W5D,2023-02-07,0.980406568363753,0.980406568363753
19W6D,2023-02-08,0.980259922840463,0.980259922840463
20W,2023-02-09,0.980113299251858,0.980113299251858
20W1D,2023-02-10,0.979966697594657,0.979966697594657
20W4D,2023-02-13,0.979527024178680,0.979527024178680
20W5D,2023-02-14,0.979380510214297,0.979380510214297
20W6D,2023-02-15,0.979234018164922,0.979234018164922
21W,2023-02-16,0.979087548027275,0.979087548027275
21W1D,2023-02-17,0.978941099798081,0.978941099798081
21W4D,2023-02-20,0.978501886528441,0.978501886528441
21W5D,2023-02-21,0.978355525900288,0.978355525900288
21W6D,2023-02-22,0.978209187164208,0.978209187164208
22W,2023-02-23,0.978062870316924,0.978062870316924
22W1D,2023-02-24,0.977916575355164,0.977916575355164
22W4D,2023-02-27,0.977477821750288,0.977477821750288
22W5D,2023-02-28,0.977331614297890,0.977331614297890
22W6D,2023-03-01,0.977185428714651,0.977185428714651
23W,2023-03-02,0.977039264997302,0.977039264997302
23W1D,2023-03-03,0.976893123142572,0.976893123142572
23W4D,2023-03-06,0.976454828721393,0.976454828721393
23W5D,2023-03-07,0.976308774284440,0.976308774284440
23W6D,2023-03-08,0.976162741693760,0.976162741693760
24W,2023-03-09,0.976016730946085,0.976016730946085
24W1D,2023-03-10,0.975870742038148,0.975870742038148
24W4D,2023-03-13,0.975432906320100,0.975432906320100
24W5D,2023-03-14,0.975287004738452,0.975287004738452
24W6D,2023-03-15,0.975141124980214,0.975141124980214
25W,2023-03-16,0.974995267042121,0.974995267042121
25W1D,2023-03-17,0.974849430920909,0.974849430920909
25W4D,2023-03-20,0.974412053425930,0.974412053425930
25W5D,2023-03-21,0.974266304539615,0.974266304539615
25W6D,2023-03-22,0.974120577453869,0.974120577453869
26W,2023-03-23,0.973974872165433,0.973974872165433
26W1D,2023-03-24,0.973828394125064,0.973828394125064
26W4D,2023-03-27,0.973389092165470,0.973389092165470
26W5D,2023-03-28,0.973242702221735,0.973242702221735
26W6D,2023-03-29,0.973096334293877,0.973096334293877
27W,2023-03-30,0.972949988378586,0.972949988378586
27W1D,2023-03-31,0.972803664472552,0.972803664472552
27W4D,2023-04-03,0.972364824776892,0.972364824776892
27W5D,2023-04-04,0.972218588874790,0.972218588874790
27W6D,2023-04-05,0.972072374965398,0.972072374965398
28W,2023-04-06,0.971926183045411,0.971926183045411
28W5D,2023-04-11,0.971195553170806,0.971195553170806
28W6D,2023-04-12,0.971049493117812,0.971049493117812
29W,2023-04-13,0.970903455031083,0.970903455031083
29W1D,2023-04-14,0.970757438907317,0.970757438907317
29W4D,2023-04-17,0.970319522280758,0.970319522280758
29W5D,2023-04-18,0.970173593975812,0.970173593975812
29W6D,2023-04-19,0.970027687617318,0.970027687617318
30W,2023-04-20,0.969881803201974,0.969881803201974
30W1D,2023-04-21,0.969735940726481,0.969735940726481
30W4D,2023-04-24,0.969298484906113,0.969298484906113
30W5D,2023-04-25,0.969152710157032,0.969152710157032
30W6D,2023-04-26,0.969006957331308,0.969006957331308
31W,2023-04-27,0.968861226425646,0.968861226425646
31W1D,2023-04-28,0.968715517436747,0.968715517436747
31W5D,2023-05-02,0.968132900582879,0.968132900582879
31W6D,2023-05-03,0.967987301128369,0.967987301128369
32W,2023-05-04,0.967841723570854,0.967841723570854
32W1D,2023-05-05,0.967696167907041,0.967696167907041
32W4D,2023-05-08,0.967259632244888,0.967259632244888
32W5D,2023-05-09,0.967114164122960,0.967114164122960
32W6D,2023-05-10,0.966968717878276,0.966968717878276
33W,2023-05-11,0.966823293507545,0.966823293507545
33W1D,2023-05-12,0.966679393709159,0.966679393709159
33W4D,2023-05-15,0.966247822807579,0.966247822807579
33W5D,2023-05-16,0.966104008660954,0.966104008660954
33W6D,2023-05-17,0.965960215919303,0.965960215919303
34W,2023-05-18,0.965816444579439,0.965816444579439
34W1D,2023-05-19,0.965672694638176,0.965672694638176
34W4D,2023-05-22,0.965241573174154,0.965241573174154
34W5D,2023-05-23,0.965097908795455,0.965097908795455
34W6D,2023-05-24,0.964954265799439,0.964954265799439
35W,2023-05-25,0.964810644182921,0.964810644182921
35W1D,2023-05-26,0.964667043942721,0.964667043942721
35W4D,2023-05-29,0.964236371448213,0.964236371448213
35W5D,2023-05-30,0.964092856681472,0.964092856681472
35W6D,2023-05-31,0.963949363275145,0.963949363275145
36W,2023-06-01,0.963805891226053,0.963805891226053
36W1D,2023-06-02,0.963662440531017,0.963662440531017
36W4D,2023-06-05,0.963232216538466,0.963232216538466
36W5D,2023-06-06,0.963088851227877,0.963088851227877
36W6D,2023-06-07,0.962945507255457,0.962945507255457
37W,2023-06-08,0.962802184618031,0.962802184618031
37W1D,2023-06-09,0.962658883312422,0.962658883312422
37W4D,2023-06-12,0.962229107354759,0.962229107354759
37W5D,2023-06-13,0.962085891344678,0.962085891344678
37W6D,2023-06-14,0.961942696650545,0.961942696650545
38W,2023-06-15,0.961799523269188,0.961799523269188
38W1D,2023-06-16,0.961656371197433,0.961656371197433
38W4D,2023-06-19,0.961227042808075,0.961227042808075
38W5D,2023-06-20,0.961083975943021,0.961083975943021
38W6D,2023-06-21,0.960940930371716,0.960940930371716
39W,2023-06-22,0.960797906090992,0.960797906090992
39W1D,2023-06-23,0.960656472469991,0.960656472469991
