#Scenario,TradeId,Date,Time,EPE,ENE,AllocatedEPE,AllocatedENE,PFE,BaselEE,BaselEEE,TimeWeightedBaselEPE,TimeWeightedBaselEEPE
BASE,Swap_EUR,2016-02-05,0.000000,0,1032,0,0,0,0,0,0.00,0.00
BASE,Swap_EUR,2016-05-05,0.245902,156876,157724,0,0,671606,157660,157660,157660.43,157660.43
BASE,Swap_EUR,2016-08-05,0.497268,216378,218505,0,0,932891,218567,218567,188448.21,188448.21
BASE,Swap_EUR,2016-11-07,0.754098,216322,317235,0,0,1016284,219640,219640,199071.53,199071.53
BASE,Swap_EUR,2017-02-06,1.003002,260918,360126,0,0,1251266,266239,266239,215739.78,215739.78
BASE,Swap_EUR,2017-05-05,1.244098,332955,333868,0,0,1445358,341406,341406,240092.80,240092.80
BASE,Swap_EUR,2017-08-07,1.501632,370800,371401,0,0,1649340,382187,382187,264462.43,264462.43
BASE,Swap_EUR,2017-11-06,1.750947,340692,437899,0,0,1753115,352913,382187,277056.72,281225.12
BASE,Swap_EUR,2018-02-05,2.000262,366067,464443,0,0,1796807,381086,382187,290023.00,293809.17
BASE,Swap_EUR,2018-05-07,2.249577,423938,424756,0,0,1971302,443544,443544,307037.35,310403.91
BASE,Swap_EUR,2018-08-06,2.498892,448342,447915,0,0,2046378,471431,471431,323438.92,326469.60
BASE,Swap_EUR,2018-11-05,2.748207,407628,501815,0,0,2007579,430770,471431,333175.94,339620.35
BASE,Swap_EUR,2019-02-05,3.000262,437804,530477,0,0,2106274,465006,471431,344251.13,350693.87
BASE,Swap_EUR,2019-05-06,3.246837,484180,482699,0,0,2290730,516816,516816,357356.24,363309.69
BASE,Swap_EUR,2019-08-05,3.496152,501484,497912,0,0,2275454,537973,537973,370236.22,375765.12
BASE,Swap_EUR,2019-11-05,3.748207,448955,541081,0,0,2074082,484065,537973,377890.81,386673.05
BASE,Swap_EUR,2020-02-05,4.000000,465813,558608,0,0,2288135,504788,537973,385878.79,396197.08
BASE,Swap_EUR,2020-05-05,4.245902,513273,512105,0,0,2435684,558980,558980,395903.97,405624.68
BASE,Swap_EUR,2020-08-05,4.497268,526266,526356,0,0,2369697,576038,576038,405972.20,415149.59
BASE,Swap_EUR,2020-11-05,4.748634,473214,563538,0,0,2263574,520596,576038,412039.74,423666.10
BASE,Swap_EUR,2021-02-05,5.000262,486214,577278,0,0,2215441,537610,576038,418358.82,431333.90
BASE,Swap_EUR,2021-05-05,5.244098,531306,530427,0,0,2414390,590352,590352,426356.00,438727.77
BASE,Swap_EUR,2021-08-05,5.496152,540091,539934,0,0,2396584,603158,603158,434464.17,446268.57
BASE,Swap_EUR,2021-11-05,5.748207,482670,573175,0,0,2220442,541765,603158,439169.25,453148.06
BASE,Swap_EUR,2022-02-07,6.005741,491549,582363,0,0,2280142,554592,603158,444118.73,459580.68
BASE,Swap_EUR,2022-05-05,6.244098,529954,530246,0,0,2380669,600790,603158,450099.33,465061.46
BASE,Swap_EUR,2022-08-05,6.496152,544250,544245,0,0,2473422,620127,620127,456696.52,471078.11
BASE,Swap_EUR,2022-11-07,6.753687,490101,578489,0,0,2220304,561323,620127,460686.17,476761.70
BASE,Swap_EUR,2023-02-06,7.003002,497908,586785,0,0,2226449,573126,620127,464689.16,481865.68
BASE,Swap_EUR,2023-05-05,7.244098,529359,530770,0,0,2293321,612284,620127,469601.37,486467.25
BASE,Swap_EUR,2023-08-07,7.501632,538894,541225,0,0,2373861,626544,626544,474989.29,491276.15
BASE,Swap_EUR,2023-11-06,7.750947,482597,569916,0,0,2151232,563906,626544,477849.35,495627.15
BASE,Swap_EUR,2024-02-05,8.000000,486898,574349,0,0,2232591,571786,626544,480773.74,499702.81
BASE,Swap_EUR,2024-05-06,8.248634,517601,518863,0,0,2235725,610892,626544,484695.81,503526.12
BASE,Swap_EUR,2024-08-05,8.497268,523041,523735,0,0,2288411,620410,626544,488666.86,507125.68
BASE,Swap_EUR,2024-11-05,8.748634,463848,548558,0,0,2077461,552989,626544,490514.96,510556.82
BASE,Swap_EUR,2025-02-05,9.000262,473602,558199,0,0,2062544,567481,626544,492666.77,513799.58
BASE,Swap_EUR,2025-05-05,9.244098,493674,494597,0,0,2059660,594434,626544,495351.14,516773.49
BASE,Swap_EUR,2025-08-05,9.496152,498022,498658,0,0,2145736,602711,626544,498200.78,519687.11
BASE,Swap_EUR,2025-11-05,9.748207,436614,518159,0,0,1992634,531075,626544,499050.79,522450.07
BASE,Swap_EUR,2026-02-05,10.000262,445113,526502,0,0,2045578,544160,626544,500187.76,525073.74
BASE,Swap_EUR,2026-05-05,10.244098,465402,464249,0,0,2004448,571755,626544,501891.24,527488.99
BASE,Swap_EUR,2026-08-05,10.496152,474397,472006,0,0,2039957,585763,626544,503905.34,529867.70
BASE,Swap_EUR,2026-11-05,10.748207,410224,489343,0,0,1791663,509094,626544,504027.01,532134.85
BASE,Swap_EUR,2027-02-05,11.000262,414340,493597,0,0,1876864,516811,626544,504319.94,534298.10
BASE,Swap_EUR,2027-05-05,11.244098,432391,431298,0,0,1901600,541972,626544,505136.45,536298.52
BASE,Swap_EUR,2027-08-05,11.496152,436631,435907,0,0,1950061,550063,626544,506121.47,538277.17
BASE,Swap_EUR,2027-11-05,11.748207,376078,453993,0,0,1759252,476182,626544,505479.14,540170.91
BASE,Swap_EUR,2028-02-07,12.005464,381858,459357,0,0,1771303,486007,626544,505061.88,542021.75
BASE,Swap_EUR,2028-05-05,12.245902,396683,395622,0,0,1772404,507326,626544,505106.32,543681.27
BASE,Swap_EUR,2028-08-07,12.502732,396606,397002,0,0,1794878,509856,626544,505203.89,545383.43
BASE,Swap_EUR,2028-11-06,12.751366,332237,410527,0,0,1592849,429249,626544,503722.87,546965.95
BASE,Swap_EUR,2029-02-05,13.000262,334178,413310,0,0,1619411,433923,626544,502386.52,548489.51
BASE,Swap_EUR,2029-05-07,13.249577,349890,350978,0,0,1586104,456604,626544,501525.04,549958.26
BASE,Swap_EUR,2029-08-06,13.498892,353102,354055,0,0,1584344,463109,626544,500815.52,551372.74
BASE,Swap_EUR,2029-11-05,13.748207,292968,370387,0,0,1373744,386168,626544,498736.46,552735.93
BASE,Swap_EUR,2030-02-05,14.000262,294103,371652,0,0,1375609,389630,626544,496772.15,554064.74
BASE,Swap_EUR,2030-05-06,14.246837,309889,310419,0,0,1381360,412581,626544,495315.02,555319.17
BASE,Swap_EUR,2030-08-05,14.496152,312154,313124,0,0,1343685,417682,626544,493979.83,556544.15
BASE,Swap_EUR,2030-11-05,14.748207,251745,327662,0,0,1184061,338559,626544,491323.61,557740.48
BASE,Swap_EUR,2031-02-05,15.000262,254239,329813,0,0,1192111,343649,626544,488842.18,558896.62
BASE,Swap_EUR,2031-05-05,15.244098,267844,267692,0,0,1156291,363814,626544,486842.30,559978.67
BASE,Swap_EUR,2031-08-05,15.496152,270091,270208,0,0,1144869,368727,626544,484921.08,561061.40
BASE,Swap_EUR,2031-11-05,15.748207,208891,281203,0,0,980620,286624,626544,481747.28,562109.47
BASE,Swap_EUR,2032-02-05,16.000000,210759,282999,0,0,966501,290654,626544,478740.03,563123.48
BASE,Swap_EUR,2032-05-05,16.245902,221149,220989,0,0,915976,306496,626544,476132.90,564083.43
BASE,Swap_EUR,2032-08-05,16.497268,221577,221700,0,0,943033,308647,626544,473580.94,565035.13
BASE,Swap_EUR,2032-11-05,16.748634,160530,232545,0,0,733408,224746,626544,469846.39,565958.27
BASE,Swap_EUR,2033-02-07,17.005741,162167,234219,0,0,774197,228214,626544,466193.18,566874.26
BASE,Swap_EUR,2033-05-05,17.244098,169744,169740,0,0,699194,240023,626544,463066.95,567699.05
BASE,Swap_EUR,2033-08-05,17.496152,170383,170437,0,0,721351,242149,626544,459884.33,568546.79
BASE,Swap_EUR,2033-11-07,17.753687,108950,179449,0,0,506140,155643,626544,455471.02,569388.09
BASE,Swap_EUR,2034-02-06,18.003002,109327,179957,0,0,496924,156965,626544,451337.15,570179.62
BASE,Swap_EUR,2034-05-05,18.244098,115938,115941,0,0,474079,167263,626544,447583.11,570924.48
BASE,Swap_EUR,2034-08-07,18.501632,115775,115819,0,0,458764,167895,626544,443689.98,571698.68
BASE,Swap_EUR,2034-11-06,18.750947,56181,125094,0,0,293435,81882,626544,438879.33,572427.91
BASE,Swap_EUR,2035-02-05,19.000262,56619,125565,0,0,294848,82933,626544,434208.73,573138.01
BASE,Swap_EUR,2035-05-07,19.249577,59094,58857,0,0,235132,86993,626544,429711.69,573829.71
BASE,Swap_EUR,2035-08-06,19.498892,58952,58704,0,0,234791,87220,626544,425332.55,574503.72
BASE,Swap_EUR,2035-11-05,19.748207,6632,74726,0,0,48243,9861,626544,420087.35,575160.71
BASE,Swap_EUR,2036-02-05,20.000000,6564,74630,0,0,53211,9810,626544,414922.11,575807.61
BASE,Swap_EUR,2036-05-05,20.245902,0,0,0,0,0,0,626544,0.00,0.00
BASE,Swap_EUR,2036-08-05,20.497268,0,0,0,0,0,0,626544,0.00,0.00
BASE,Swap_EUR,2036-11-05,20.748634,0,0,0,0,0,0,626544,0.00,0.00
BASE,Swap_EUR,2037-02-05,21.000262,0,0,0,0,0,0,626544,0.00,0.00
BASE,Swap_EUR,2037-05-05,21.244098,0,0,0,0,0,0,626544,0.00,0.00
BASE,Swap_EUR,2037-08-05,21.496152,0,0,0,0,0,0,626544,0.00,0.00
BASE,Swap_EUR,2037-11-05,21.748207,0,0,0,0,0,0,626544,0.00,0.00
BASE,Swap_EUR,2038-02-05,22.000262,0,0,0,0,0,0,626544,0.00,0.00
eur_6m_up,Swap_EUR,2016-02-05,0.000000,3324244,0,0,0,3324244,3324244,3324244,3324244.25,3324244.25
eur_6m_up,Swap_EUR,2016-05-05,0.245902,3324475,0,0,0,4142422,3341100,3341100,3341100.06,3341100.06
eur_6m_up,Swap_EUR,2016-08-05,0.497268,3322982,0,0,0,4459287,3356587,3356587,3348928.80,3348928.80
eur_6m_up,Swap_EUR,2016-11-07,0.754098,3123348,0,0,0,4472883,3171249,3356587,3288414.74,3351537.14
eur_6m_up,Swap_EUR,2017-02-06,1.003002,3125368,0,0,0,4756193,3189105,3356587,3263770.11,3352790.39
eur_6m_up,Swap_EUR,2017-05-05,1.244098,3124883,0,0,0,4856985,3204192,3356587,3252224.31,3353526.21
eur_6m_up,Swap_EUR,2017-08-07,1.501632,3125251,0,0,0,5100822,3221225,3356587,3246907.83,3354051.20
eur_6m_up,Swap_EUR,2017-11-06,1.750947,2929532,58,0,0,5134692,3034609,3356587,3216678.87,3354412.32
eur_6m_up,Swap_EUR,2018-02-05,2.000262,2928467,316,0,0,5189430,3048614,3356587,3195731.08,3354683.42
eur_6m_up,Swap_EUR,2018-05-07,2.249577,2929302,197,0,0,5264658,3064775,3356587,3181217.57,3354894.42
eur_6m_up,Swap_EUR,2018-08-06,2.498892,2931087,529,0,0,5354792,3082030,3356587,3171321.60,3355063.33
eur_6m_up,Swap_EUR,2018-11-05,2.748207,2739498,1520,0,0,5218856,2895028,3356587,3146256.50,3355201.58
eur_6m_up,Swap_EUR,2019-02-05,3.000262,2741803,2139,0,0,5336013,2912163,3356587,3126590.05,3355318.00
eur_6m_up,Swap_EUR,2019-05-06,3.246837,2741805,1895,0,0,5424121,2926616,3356587,3111403.34,3355414.40
eur_6m_up,Swap_EUR,2019-08-05,3.496152,2745843,3514,0,0,5406888,2945633,3356587,3099582.03,3355498.04
eur_6m_up,Swap_EUR,2019-11-05,3.748207,2556298,5713,0,0,5083729,2756208,3356587,3076491.25,3355571.30
eur_6m_up,Swap_EUR,2020-02-05,4.000000,2558373,8606,0,0,5332956,2772438,3356587,3057351.65,3355635.25
eur_6m_up,Swap_EUR,2020-05-05,4.245902,2558837,8330,0,0,5377119,2786701,3356587,3041676.91,3355690.39
eur_6m_up,Swap_EUR,2020-08-05,4.497268,2559759,10698,0,0,5302444,2801847,3356587,3028272.09,3355740.53
eur_6m_up,Swap_EUR,2020-11-05,4.748634,2378587,12559,0,0,5091230,2616748,3356587,3006488.31,3355785.35
eur_6m_up,Swap_EUR,2021-02-05,5.000262,2380694,15486,0,0,5036952,2632352,3356587,2987660.65,3355825.71
eur_6m_up,Swap_EUR,2021-05-05,5.244098,2381043,14760,0,0,5143168,2645656,3356587,2971758.42,3355861.13
eur_6m_up,Swap_EUR,2021-08-05,5.496152,2383701,18224,0,0,5123638,2662045,3356587,2957554.91,3355894.43
eur_6m_up,Swap_EUR,2021-11-05,5.748207,2206506,23308,0,0,4834206,2476660,3356587,2936468.01,3355924.81
eur_6m_up,Swap_EUR,2022-02-07,6.005741,2209875,27020,0,0,4903068,2493299,3356587,2917464.32,3355953.22
eur_6m_up,Swap_EUR,2022-05-05,6.244098,2208464,24134,0,0,4898695,2503658,3356587,2901668.07,3355977.43
eur_6m_up,Swap_EUR,2022-08-05,6.496152,2210675,26003,0,0,5004669,2518878,3356587,2886815.55,3356001.09
eur_6m_up,Swap_EUR,2022-11-07,6.753687,2037453,30891,0,0,4630216,2333539,3356587,2865717.79,3356023.45
