#Scenario,TradeId,NettingSetId,CVA,DVA,FBA,FCA,FBAexOwnSP,FCAexOwnSP,FBAexAllSP,FCAexAllSP,COLVA,MVA,OurKVACCR,TheirKVACCR,OurKVACVA,TheirKVACVA,CollateralFloor,AllocatedCVA,AllocatedDVA,AllocationMethod,BaselEPE,BaselEEPE
BASE,,CPTY_A,85054.41,2629170.04,1254304.09,-12291.38,1348578.36,-14263.18,1409422.20,-15599.91,0.00,-32113.48,0.00,0.00,0.00,0.00,0.00,85054.41,2629170.04,None,0.00,0.00
BASE,BermSwp,CPTY_A,4405.17,72.76,30.83,-653.02,40.56,-738.72,47.75,-797.20,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.00,0.00,None,53001.94,53001.94
BASE,CC_SWAP_EUR_USD,CPTY_A,60337.30,2641540.72,1261293.43,-8944.09,1354031.29,-10118.26,1413662.77,-10890.05,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.00,0.00,None,0.00,0.00
BASE,FX_CALL_OPTION,CPTY_A,15607.28,0.00,0.00,-2416.16,0.00,-2617.26,0.00,-2747.31,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.00,0.00,None,275557.44,275557.44
BASE,Swap_EUR,CPTY_A,38565.66,68702.29,31647.37,-5669.45,36167.74,-6467.25,39265.74,-7012.24,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.00,0.00,None,215739.78,215739.78
BASE,Swap_USD,CPTY_A,50191.83,55001.22,25442.18,-7420.98,28867.69,-8416.88,31204.47,-9093.59,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.00,0.00,None,314669.87,314669.87
eur_6m_up,,CPTY_A,109056.52,3109238.06,1488128.63,-15380.61,1590898.98,-18288.21,1656858.02,-20295.78,0.00,-32060.06,0.00,0.00,0.00,0.00,0.00,109056.52,3109238.06,None,0.00,0.00
eur_6m_up,BermSwp,CPTY_A,13092.53,62.10,26.31,-1943.50,34.61,-2195.55,40.76,-2367.27,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.00,0.00,None,159371.57,159371.57
eur_6m_up,CC_SWAP_EUR_USD,CPTY_A,45905.49,3365918.63,1611276.83,-6756.94,1721992.84,-7698.12,1792967.12,-8319.21,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.00,0.00,None,0.00,0.00
eur_6m_up,FX_CALL_OPTION,CPTY_A,15607.23,0.00,0.00,-2416.15,0.00,-2617.25,0.00,-2747.30,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.00,0.00,None,275558.04,275558.04
eur_6m_up,Swap_EUR,CPTY_A,178725.39,5879.15,2599.97,-27063.11,3184.02,-29971.29,3597.84,-31932.48,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.00,0.00,None,3263770.11,3352790.39
eur_6m_up,Swap_USD,CPTY_A,50192.76,54996.51,25440.01,-7421.11,28865.21,-8417.04,31201.79,-9093.76,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.00,0.00,None,314677.00,314677.00
eonia_up,,CPTY_A,181103.29,1439389.33,-2064167.99,-563609.69,-2221291.24,-639370.50,-2322938.29,-689720.48,0.00,-676261.86,0.00,0.00,0.00,0.00,0.00,181103.29,1439389.33,None,5155.18,5155.18
eonia_up,BermSwp,CPTY_A,3180.19,51.09,-65.15,-9937.83,-85.62,-11227.38,-100.74,-12106.03,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.00,0.00,None,39177.49,39177.49
eonia_up,CC_SWAP_EUR_USD,CPTY_A,157798.51,1443292.35,-2072515.26,-496485.83,-2225059.35,-557095.46,-2323209.59,-596761.74,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.00,0.00,None,2953.30,2953.30
eonia_up,FX_CALL_OPTION,CPTY_A,8959.17,0.00,0.00,-29195.38,0.00,-31629.66,0.00,-33204.06,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.00,0.00,None,159631.07,159631.07
eonia_up,Swap_EUR,CPTY_A,28957.47,51194.44,-71088.60,-89986.06,-80920.92,-102231.64,-87641.01,-110574.30,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.00,0.00,None,180277.89,182227.18
eonia_up,Swap_USD,CPTY_A,50194.64,54986.95,-76498.11,-156239.61,-86797.59,-177207.38,-93823.63,-191454.84,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.00,0.00,None,319008.51,319008.51
no_shift,,CPTY_A,85054.41,2629170.04,1254304.09,-12291.38,1348578.36,-14263.18,1409422.20,-15599.91,0.00,-32113.48,0.00,0.00,0.00,0.00,0.00,85054.41,2629170.04,None,0.00,0.00
no_shift,BermSwp,CPTY_A,4405.17,72.76,30.83,-653.02,40.56,-738.72,47.75,-797.20,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.00,0.00,None,53001.94,53001.94
no_shift,CC_SWAP_EUR_USD,CPTY_A,60337.30,2641540.72,1261293.43,-8944.09,1354031.29,-10118.26,1413662.77,-10890.05,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.00,0.00,None,0.00,0.00
no_shift,FX_CALL_OPTION,CPTY_A,15607.28,0.00,0.00,-2416.16,0.00,-2617.26,0.00,-2747.31,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.00,0.00,None,275557.44,275557.44
no_shift,Swap_EUR,CPTY_A,38565.66,68702.29,31647.37,-5669.45,36167.74,-6467.25,39265.74,-7012.24,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.00,0.00,None,215739.78,215739.78
no_shift,Swap_USD,CPTY_A,50191.83,55001.22,25442.18,-7420.98,28867.69,-8416.88,31204.47,-9093.59,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.00,0.00,None,314669.87,314669.87
