#Scenario,NettingSet,Date,Time,EPE,ENE,PFE,ExpectedCollateral,BaselEE,BaselEEE,TimeWeightedBaselEPE,TimeWeightedBaselEEPE
BASE,CPTY_A,2016-02-05,0.000000,0.00,36798404.00,0.00,-36798403.41,0.00,0.00,0.00,0.00
BASE,CPTY_A,2016-05-05,0.245902,0.00,36808044.00,0.00,0.00,0.00,0.00,0.00,0.00
BASE,CPTY_A,2016-08-05,0.497268,0.00,36404992.00,0.00,0.00,0.00,0.00,0.00,0.00
BASE,CPTY_A,2016-11-07,0.754098,0.00,36507212.00,0.00,0.00,0.00,0.00,0.00,0.00
BASE,CPTY_A,2017-02-06,1.003002,0.00,35156172.00,0.00,0.00,0.00,0.00,0.00,0.00
BASE,CPTY_A,2017-05-05,1.244098,0.00,34991732.00,0.00,0.00,0.00,0.00,0.00,0.00
BASE,CPTY_A,2017-08-07,1.501632,0.00,33746664.00,0.00,0.00,0.00,0.00,0.00,0.00
BASE,CPTY_A,2017-11-06,1.750947,10375.20,33887684.00,0.00,0.00,10747.34,10747.34,1530.30,1530.30
BASE,CPTY_A,2018-02-05,2.000262,30944.82,32561222.00,0.00,0.00,32214.40,32214.40,5354.80,5354.80
BASE,CPTY_A,2018-05-07,2.249577,54610.57,32362794.00,0.00,0.00,57136.18,57136.18,11093.61,11093.61
BASE,CPTY_A,2018-08-06,2.498892,85320.73,31370306.00,0.00,0.00,89714.52,89714.52,18937.63,18937.63
BASE,CPTY_A,2018-11-05,2.748207,107955.32,31516220.00,0.00,0.00,114084.31,114084.31,27569.26,27569.26
BASE,CPTY_A,2019-02-05,3.000262,168995.44,30529156.00,0.00,0.00,179495.84,179495.84,40332.75,40332.75
BASE,CPTY_A,2019-05-06,3.246837,247167.75,30386522.00,0.00,0.00,263828.08,263828.08,57305.71,57305.71
BASE,CPTY_A,2019-08-05,3.496152,321339.66,29531844.00,0.00,0.00,344720.60,344720.60,77801.63,77801.63
BASE,CPTY_A,2019-11-05,3.748207,386868.59,29748004.00,0.00,0.00,417122.83,417122.83,100619.89,100619.89
BASE,CPTY_A,2020-02-05,4.000000,503771.13,28902732.00,0.00,0.00,545922.94,545922.94,128650.91,128650.91
BASE,CPTY_A,2020-05-05,4.245902,541003.81,28728136.00,1123686.18,0.00,589180.23,589180.23,155322.49,155322.49
BASE,CPTY_A,2020-08-05,4.497268,612617.81,27936974.00,1182250.94,0.00,670555.88,670555.88,184120.47,184120.47
BASE,CPTY_A,2020-11-05,4.748634,655510.94,28082934.00,2044289.97,0.00,721145.38,721145.38,212547.57,212547.57
BASE,CPTY_A,2021-02-05,5.000262,815288.50,27308410.00,3579648.47,0.00,901470.87,901470.87,247216.24,247216.24
BASE,CPTY_A,2021-05-05,5.244098,915593.00,27255160.00,4807127.88,0.00,1017346.05,1017346.05,283025.09,283025.09
BASE,CPTY_A,2021-08-05,5.496152,1101706.63,26583902.00,7511294.20,0.00,1230353.02,1230353.02,326469.76,326469.76
BASE,CPTY_A,2021-11-05,5.748207,1176151.13,26805744.00,8723218.84,0.00,1320153.46,1320153.46,370042.08,370042.08
BASE,CPTY_A,2022-02-07,6.005741,1305332.63,26041280.00,8529321.97,0.00,1472745.77,1472745.77,417327.50,417327.50
BASE,CPTY_A,2022-05-05,6.244098,1366004.25,25957190.00,11284776.49,0.00,1548590.94,1548590.94,460511.26,460511.26
BASE,CPTY_A,2022-08-05,6.496152,1545680.63,25393136.00,12726381.61,0.00,1761172.81,1761172.81,510977.74,510977.74
BASE,CPTY_A,2022-11-07,6.753687,1608855.13,25583322.00,13562370.62,0.00,1842656.72,1842656.72,561757.85,561757.85
BASE,CPTY_A,2023-02-06,7.003002,1789182.75,24978182.00,13999189.52,0.00,2059471.66,2059471.66,615078.22,615078.22
BASE,CPTY_A,2023-05-05,7.244098,1855999.13,24897968.00,14144619.39,0.00,2146747.03,2146747.03,666054.76,666054.76
BASE,CPTY_A,2023-08-07,7.501632,2013191.13,24265888.00,14890988.13,0.00,2340633.40,2340633.40,723543.77,723543.77
BASE,CPTY_A,2023-11-06,7.750947,2116992.25,24502778.00,17455198.46,0.00,2473667.36,2473667.36,779837.81,779837.81
BASE,CPTY_A,2024-02-05,8.000000,2324782.00,23982038.00,18908453.70,0.00,2730095.88,2730095.88,840552.54,840552.54
BASE,CPTY_A,2024-05-06,8.248634,2482274.25,23972734.00,19877813.03,0.00,2929671.67,2929671.67,903523.67,903523.67
BASE,CPTY_A,2024-08-05,8.497268,2602828.75,23435652.00,19458416.21,0.00,3087367.41,3087367.41,967423.92,967423.92
BASE,CPTY_A,2024-11-05,8.748634,2697389.25,23670912.00,19816496.00,0.00,3215760.71,3215760.71,1032023.22,1032023.22
BASE,CPTY_A,2025-02-05,9.000262,2949276.75,23186512.00,22295247.12,0.00,3533890.19,3533890.19,1101970.09,1101970.09
BASE,CPTY_A,2025-05-05,9.244098,2972690.25,23117606.00,23766285.66,0.00,3579423.51,3579423.51,1167318.96,1167318.96
BASE,CPTY_A,2025-08-05,9.496152,3238603.75,22770062.00,22125812.70,0.00,3919392.91,3919392.91,1240366.80,1240366.80
BASE,CPTY_A,2025-11-05,9.748207,3322299.75,22932980.00,22263392.79,0.00,4041079.41,4041079.41,1312783.51,1312783.51
BASE,CPTY_A,2026-02-05,10.000262,954488.88,537103.56,3583790.72,0.00,1166882.23,4041079.41,1309106.09,1381549.71
BASE,CPTY_A,2026-05-05,10.244098,854307.88,556501.63,3426579.80,0.00,1049533.80,4041079.41,1302927.61,1444853.29
BASE,CPTY_A,2026-08-05,10.496152,837969.31,571000.44,3388050.78,0.00,1034683.87,4041079.41,1296486.00,1507199.11
BASE,CPTY_A,2026-11-05,10.748207,746247.19,595457.00,3096120.27,0.00,926104.06,4041079.41,1287800.22,1566620.81
BASE,CPTY_A,2027-02-05,11.000262,726790.38,610450.63,3087579.80,0.00,906533.29,4041079.41,1279064.05,1623319.38
BASE,CPTY_A,2027-05-05,11.244098,792675.38,528207.56,3098519.05,0.00,993563.98,4041079.41,1272872.80,1675750.09
BASE,CPTY_A,2027-08-05,11.496152,768404.63,535573.81,3007762.17,0.00,968028.04,4041079.41,1266189.03,1727610.27
BASE,CPTY_A,2027-11-05,11.748207,676789.50,557038.94,2830674.79,0.00,856937.41,4041079.41,1257408.64,1777245.17
BASE,CPTY_A,2028-02-07,12.005464,657322.50,565350.75,2786233.59,0.00,836602.75,4041079.41,1248391.47,1825755.40
