#Scenario,TradeId,Date,Time,EPE,ENE,AllocatedEPE,AllocatedENE,PFE,BaselEE,BaselEEE,TimeWeightedBaselEPE,TimeWeightedBaselEEPE
BASE,Swap_USD,2016-02-05,0.000000,47768,0,0,0,47768,47768,47768,47768.45,47768.45
BASE,Swap_USD,2016-05-05,0.245902,244248,196859,0,0,887354,245469,245469,245469.46,245469.46
BASE,Swap_USD,2016-08-05,0.497268,324784,294704,0,0,1169777,328069,328069,287222.88,287222.88
BASE,Swap_USD,2016-11-07,0.754098,378074,366849,0,0,1466911,383873,383873,320139.85,320139.85
BASE,Swap_USD,2017-02-06,1.003002,409530,413794,0,0,1636957,417881,417881,344395.20,344395.20
BASE,Swap_USD,2017-05-05,1.244098,535808,389350,0,0,1952874,549406,549406,384124.68,384124.68
BASE,Swap_USD,2017-08-07,1.501632,557596,427965,0,0,1960093,574719,574719,416812.25,416812.25
BASE,Swap_USD,2017-11-06,1.750947,570122,455903,0,0,2117069,590571,590571,441553.60,441553.60
BASE,Swap_USD,2018-02-05,2.000262,576045,488412,0,0,2153967,599678,599678,461262.46,461262.46
BASE,Swap_USD,2018-05-07,2.249577,675451,443937,0,0,2303249,706690,706690,488462.54,488462.54
BASE,Swap_USD,2018-08-06,2.498892,680956,473940,0,0,2324205,716024,716024,511166.39,511166.39
BASE,Swap_USD,2018-11-05,2.748207,675120,495751,0,0,2362009,713449,716024,529517.28,529750.89
BASE,Swap_USD,2019-02-05,3.000262,670686,522275,0,0,2404227,712359,716024,544877.99,545399.86
BASE,Swap_USD,2019-05-06,3.246837,755045,474148,0,0,2548826,805939,805939,564703.82,565186.06
BASE,Swap_USD,2019-08-05,3.496152,750665,494174,0,0,2584739,805284,805939,581859.92,582354.47
BASE,Swap_USD,2019-11-05,3.748207,730112,500948,0,0,2496982,787208,805939,595668.94,597389.81
BASE,Swap_USD,2020-02-05,4.000000,727936,530634,0,0,2404252,788845,805939,607829.00,610517.62
BASE,Swap_USD,2020-05-05,4.245902,808715,487997,0,0,2664100,880731,880731,623634.13,626167.04
BASE,Swap_USD,2020-08-05,4.497268,799663,508092,0,0,2570548,875290,880731,637699.98,640395.40
BASE,Swap_USD,2020-11-05,4.748634,790677,533540,0,0,2619557,869845,880731,649988.44,653117.42
BASE,Swap_USD,2021-02-05,5.000262,780147,552058,0,0,2586212,862615,880731,660688.44,664571.61
BASE,Swap_USD,2021-05-05,5.244098,849696,513117,0,0,2689901,944125,944125,673867.45,677570.07
BASE,Swap_USD,2021-08-05,5.496152,835111,535770,0,0,2707146,932626,944125,685734.20,689794.36
BASE,Swap_USD,2021-11-05,5.748207,813148,543704,0,0,2666493,912706,944125,695686.74,700946.59
BASE,Swap_USD,2022-02-07,6.005741,789141,550249,0,0,2638006,890351,944125,704034.22,711374.43
BASE,Swap_USD,2022-05-05,6.244098,847694,506851,0,0,2811650,961001,961001,713843.44,720903.45
