#Date,EPE,ENE
2016-02-05,1695614.9432,0.0000
2016-02-19,1695653.4602,38.5170
2016-03-04,1695614.9432,0.0000
2016-03-18,1695614.9432,0.0000
2016-04-01,1695750.5260,135.5828
2016-04-15,1696287.0579,672.1147
2016-04-29,1696810.9533,789.1529
2016-05-13,1698113.6304,2091.8300
2016-05-27,1699840.3529,3818.5525
2016-06-10,1701511.2137,5489.4132
2016-06-24,1707582.4965,11560.6960
2016-07-08,1711130.8613,15109.0609
2016-07-22,1715942.2618,19920.4614
2016-08-05,1716076.1203,20054.3198
2016-08-19,1721738.6017,25716.8013
2016-09-02,1724858.9295,28837.1291
2016-09-16,1728040.6215,32018.8210
2016-09-30,1733014.4673,36992.6669
2016-10-14,1738159.4184,42137.6180
2016-10-28,1562022.1238,67275.5000
2016-11-14,1570267.5498,75520.9260
2016-11-25,1575271.2701,80524.6463
2016-12-09,1580394.0090,85647.3852
2016-12-23,1587116.2035,92369.5797
2017-01-06,1592092.0100,97345.3862
2017-01-20,1597875.7893,103129.1655
2017-02-03,1602251.8257,107505.2019
2017-02-17,1606584.4630,111837.8392
2017-03-03,1610669.2431,115922.6193
2017-03-17,1617403.8274,122657.2036
2017-03-31,1619070.9665,124324.3427
2017-04-18,1620951.8218,126205.1980
2017-04-28,1615496.0955,124258.0699
2017-05-12,1620907.8485,129669.8229
2017-05-26,1626561.2822,135323.2567
2017-06-09,1629353.6113,138115.5857
2017-06-23,1635062.4454,143824.4198
2017-07-07,1637945.5852,146707.5597
2017-07-21,1643364.9942,152126.9687
2017-08-04,1650743.0282,159505.0026
2017-08-18,1652881.8603,161643.8348
2017-09-01,1657580.6203,166342.5948
2017-09-15,1662166.6574,170928.6319
2017-09-29,1667588.7380,176350.7124
2017-10-13,1673349.8091,182111.7836
2017-10-27,1678012.5112,186774.4856
2017-11-13,1516866.1157,231501.6793
2017-11-24,1521040.1865,235675.7501
2017-12-08,1525976.9092,240612.4727
2017-12-22,1531060.0550,245695.6186
2018-01-05,1536162.8049,250798.3685
2018-01-19,1542388.7071,257024.2707
2018-02-02,1546407.7839,261043.3475
2018-02-16,1551546.1479,266181.7115
2018-03-02,1554783.7206,269419.2842
2018-03-16,1558359.5319,272995.0955
2018-04-03,1563126.7485,277762.3121
2018-04-13,1566909.5475,281545.1111
2018-04-27,1573952.2370,288587.8006
2018-05-11,1562474.6416,278066.8977
2018-05-25,1566049.1582,281641.4142
