#TradeId,Factor,Up/Down,Base NPV,ShiftSize_1,ShiftSize_2,Scenario NPV,Difference
CVA,SwaptionVolatility/EUR/99/20Y/1Y/ATM,Up,296464.40,0.000001,#N/A,296464.40,0.00
CVA,SwaptionVolatility/EUR/100/20Y/2Y/ATM,Up,296464.40,0.000001,#N/A,296464.69,0.29
CVA,SwaptionVolatility/EUR/101/20Y/3Y/ATM,Up,296464.40,0.000001,#N/A,296464.57,0.16
CVA,SwaptionVolatility/EUR/102/20Y/4Y/ATM,Up,296464.40,0.000001,#N/A,296464.57,0.16
CVA,SurvivalProbability/BANK/0/2W,Up,296464.40,0.000001,#N/A,296464.40,0.00
CVA,SurvivalProbability/BANK/1/1M,Up,296464.40,0.000001,#N/A,296464.40,0.00
CVA,SurvivalProbability/BANK/2/3M,Up,296464.40,0.000001,#N/A,296464.40,0.00
CVA,SurvivalProbability/BANK/3/6M,Up,296464.40,0.000001,#N/A,296464.43,0.03
CVA,SurvivalProbability/BANK/4/1Y,Up,296464.40,0.000001,#N/A,296464.44,0.03
CVA,SurvivalProbability/BANK/5/2Y,Up,296464.40,0.000001,#N/A,296464.51,0.11
CVA,SurvivalProbability/BANK/6/3Y,Up,296464.40,0.000001,#N/A,296464.69,0.29
CVA,SurvivalProbability/BANK/7/5Y,Up,296464.40,0.000001,#N/A,296465.46,1.05
CVA,SurvivalProbability/BANK/8/10Y,Up,296464.40,0.000001,#N/A,296467.47,3.07
CVA,SurvivalProbability/BANK/9/15Y,Up,296464.40,0.000001,#N/A,296470.50,6.09
CVA,SurvivalProbability/BANK/10/20Y,Up,296464.40,0.000001,#N/A,296469.27,4.87
CVA,SurvivalProbability/BANK/11/30Y,Up,296464.40,0.000001,#N/A,296464.40,0.00
