#Sample,Regressor_0_USD,Regressor_1_EUR-EURIBOR-3M,Regressor_2_USD-LIBOR-3M,RegressionDIM,LocalDIM,ExpectedDIM,ZeroOrderDIM,DeltaNPV,SimpleDIM
0,0.606129,0.000592,0.017568,0.000000,1361405.381294,1590971.024326,1766524.700426,59030.491447,1052986.550330
1,0.618518,0.008738,0.024133,208736.948347,1366236.619911,1590971.024326,1766524.700426,-579177.689322,1052986.550330
2,0.650699,0.002474,-0.019488,0.000000,1380896.400498,1590971.024326,1766524.700426,972218.338827,1052986.550330
3,0.656742,0.001938,0.039093,911171.006959,1384017.088232,1590971.024326,1766524.700426,-636796.936516,1052986.550330
4,0.675980,0.001672,0.025430,783925.360832,1394796.504166,1590971.024326,1766524.700426,-171977.954454,1052986.550330
5,0.681373,-0.004742,0.020056,519753.150721,1398058.260550,1590971.024326,1766524.700426,-523413.742453,1052986.550330
6,0.683021,-0.007296,0.009207,0.000000,1399077.100610,1590971.024326,1766524.700426,-74634.428536,1052986.550330
7,0.713762,-0.004144,0.025154,953211.482516,1420035.466056,1590971.024326,1766524.700426,-433817.076378,1052986.550330
8,0.717537,0.013728,-0.001640,832197.448683,1422877.003547,1590971.024326,1766524.700426,699092.687018,1052986.550330
9,0.723375,-0.005186,0.005290,566330.711790,1427390.874028,1590971.024326,1766524.700426,369642.573068,1052986.550330
10,0.726163,-0.003072,0.014554,868008.793502,1429599.645275,1590971.024326,1766524.700426,-470948.897955,1052986.550330
11,0.742331,-0.002723,0.010691,924267.359796,1443087.759249,1590971.024326,1766524.700426,-378009.217304,1052986.550330
12,0.754573,-0.005844,0.020319,1112513.089070,1454099.638712,1590971.024326,1766524.700426,646685.691786,1052986.550330
13,0.758140,0.011767,0.036524,1575949.016792,1457441.072858,1590971.024326,1766524.700426,1138339.429324,1052986.550330
14,0.762021,0.000050,0.020717,1252064.075790,1461145.859555,1590971.024326,1766524.700426,399905.076233,1052986.550330
15,0.763840,-0.001981,0.034077,1405913.156909,1462908.007671,1590971.024326,1766524.700426,941764.244949,1052986.550330
16,0.772795,0.014273,0.023776,1528959.674145,1471815.144082,1590971.024326,1766524.700426,662760.778487,1052986.550330
17,0.781542,0.007100,-0.004153,1112713.596976,1480899.952340,1590971.024326,1766524.700426,282149.864791,1052986.550330
18,0.813004,0.017129,0.024335,1734795.357697,1516804.017369,1590971.024326,1766524.700426,123927.237946,1052986.550330
19,0.828822,0.001676,0.033845,1728692.041043,1536816.854707,1590971.024326,1766524.700426,886198.984228,1052986.550330
20,0.835434,0.021493,0.013419,1760750.835496,1545579.755206,1590971.024326,1766524.700426,389953.636423,1052986.550330
21,0.837198,0.016961,0.028563,1865060.011357,1547956.391162,1590971.024326,1766524.700426,305384.277060,1052986.550330
22,0.841775,0.011612,0.015466,1702040.937583,1554204.195061,1590971.024326,1766524.700426,-754450.081831,1052986.550330
