#fixingDate,fixingId,fixingValue
2023-08-03,EUR-ESTER,0.0365000000
2023-08-04,EUR-ESTER,0.0365000000
2023-02-17,FX-ECB-EUR-USD,1.0300000000
2023-03-20,FX-ECB-EUR-USD,1.0300000000
2023-04-20,FX-ECB-EUR-USD,1.0300000000
2023-05-19,FX-ECB-EUR-USD,1.0300000000
2023-06-20,FX-ECB-EUR-USD,1.0300000000
2023-07-20,FX-ECB-EUR-USD,1.0300000000
2023-05-15,USD-SOFR,0.0506000000
2023-05-16,USD-SOFR,0.0505000000
2023-05-17,USD-SOFR,0.0505000000
2023-05-18,USD-SOFR,0.0505000000
2023-05-19,USD-SOFR,0.0505000000
2023-05-22,USD-SOFR,0.0505000000
2023-05-23,USD-SOFR,0.0505000000
2023-05-24,USD-SOFR,0.0505000000
2023-05-25,USD-SOFR,0.0506000000
2023-05-26,USD-SOFR,0.0506000000
2023-05-30,USD-SOFR,0.0506000000
2023-05-31,USD-SOFR,0.0508000000
2023-06-01,USD-SOFR,0.0508000000
2023-06-02,USD-SOFR,0.0507000000
2023-06-05,USD-SOFR,0.0506000000
2023-06-06,USD-SOFR,0.0505000000
2023-06-07,USD-SOFR,0.0505000000
2023-06-08,USD-SOFR,0.0505000000
2023-06-09,USD-SOFR,0.0505000000
2023-06-12,USD-SOFR,0.0505000000
2023-06-13,USD-SOFR,0.0505000000
2023-06-14,USD-SOFR,0.0505000000
2023-06-15,USD-SOFR,0.0506000000
2023-06-16,USD-SOFR,0.0505000000
2023-06-20,USD-SOFR,0.0505000000
2023-06-21,USD-SOFR,0.0505000000
2023-06-22,USD-SOFR,0.0505000000
2023-06-23,USD-SOFR,0.0505000000
2023-06-26,USD-SOFR,0.0505000000
2023-06-27,USD-SOFR,0.0505000000
2023-06-28,USD-SOFR,0.0506000000
2023-06-29,USD-SOFR,0.0506000000
2023-06-30,USD-SOFR,0.0509000000
2023-07-03,USD-SOFR,0.0506000000
2023-07-05,USD-SOFR,0.0506000000
2023-07-06,USD-SOFR,0.0506000000
2023-07-07,USD-SOFR,0.0506000000
2023-07-10,USD-SOFR,0.0506000000
2023-07-11,USD-SOFR,0.0506000000
2023-07-12,USD-SOFR,0.0505000000
2023-07-13,USD-SOFR,0.0506000000
2023-07-14,USD-SOFR,0.0505000000
2023-07-17,USD-SOFR,0.0506000000
2023-07-18,USD-SOFR,0.0506000000
2023-07-19,USD-SOFR,0.0505000000
2023-07-20,USD-SOFR,0.0506000000
2023-07-21,USD-SOFR,0.0505000000
2023-07-24,USD-SOFR,0.0505000000
2023-07-25,USD-SOFR,0.0506000000
2023-07-26,USD-SOFR,0.0506000000
2023-07-27,USD-SOFR,0.0531000000
2023-07-28,USD-SOFR,0.0530000000
2023-07-31,USD-SOFR,0.0531000000
2023-08-01,USD-SOFR,0.0531000000
2023-08-02,USD-SOFR,0.0530000000
2023-08-03,USD-SOFR,0.0530000000
2023-08-04,USD-SOFR,0.0530000000
