#Sample,Regressor_0_NPV,RegressionDIM,LocalDIM,ExpectedDIM,ZeroOrderDIM,DeltaNPV,SimpleDIM
0,3551.427246,17043.003466,0.000000,20392.275708,20376.572816,-460.726426,21888.428709
1,21158.554688,17746.510664,0.000000,20392.275708,20376.572816,-6583.242518,21888.428709
2,21723.404297,17768.618581,0.000000,20392.275708,20376.572816,-7069.439145,21888.428709
3,23543.058594,17839.652602,0.000000,20392.275708,20376.572816,652.804749,21888.428709
4,35042.503906,18282.175322,0.000000,20392.275708,20376.572816,628.038376,21888.428709
5,38025.097656,18395.213227,0.000000,20392.275708,20376.572816,6327.111638,21888.428709
6,43183.843750,18589.103026,0.000000,20392.275708,20376.572816,-9479.227275,21888.428709
7,45090.988281,18660.272378,0.000000,20392.275708,20376.572816,4313.443653,21888.428709
8,51457.722656,18895.920278,0.000000,20392.275708,20376.572816,-5315.254391,21888.428709
9,57880.386719,19130.697472,0.000000,20392.275708,20376.572816,-7910.061360,21888.428709
10,66543.101563,19442.868525,0.000000,20392.275708,20376.572816,3476.220989,21888.428709
11,67303.281250,19470.023609,0.000000,20392.275708,20376.572816,4023.774572,21888.428709
12,78453.210938,19864.055653,0.000000,20392.275708,20376.572816,-226.889413,21888.428709
13,78595.867188,19869.046413,0.000000,20392.275708,20376.572816,-3234.484573,21888.428709
14,79149.539063,19888.404496,0.000000,20392.275708,20376.572816,7661.805362,21888.428709
15,81645.453125,19975.436480,0.000000,20392.275708,20376.572816,15164.295702,21888.428709
16,86879.562500,20156.728466,0.000000,20392.275708,20376.572816,1010.358999,21888.428709
17,89278.632813,20239.281475,0.000000,20392.275708,20376.572816,-8376.138236,21888.428709
18,89739.000000,20255.084424,0.000000,20392.275708,20376.572816,-3442.909460,21888.428709
19,98563.257813,20555.645150,0.000000,20392.275708,20376.572816,4988.173650,21888.428709
20,103161.015625,20710.519815,0.000000,20392.275708,20376.572816,-907.984173,21888.428709
21,118821.718750,21229.571123,0.000000,20392.275708,20376.572816,949.680783,21888.428709
22,118912.234375,21232.534252,0.000000,20392.275708,20376.572816,-7238.441308,21888.428709
23,122266.585938,21342.052512,0.000000,20392.275708,20376.572816,11942.553018,21888.428709
24,123345.679688,21377.165217,0.000000,20392.275708,20376.572816,7268.954707,21888.428709
25,124203.593750,21405.039841,0.000000,20392.275708,20376.572816,21584.646747,21888.428709
26,128458.210938,21542.744340,0.000000,20392.275708,20376.572816,260.449135,21888.428709
27,129938.179688,21590.438965,0.000000,20392.275708,20376.572816,-10217.768282,21888.428709
28,138434.093750,21862.221869,0.000000,20392.275708,20376.572816,-4837.351693,21888.428709
29,153130.687500,22324.552630,0.000000,20392.275708,20376.572816,-113.069553,21888.428709
30,156549.625000,22430.740560,0.000000,20392.275708,20376.572816,5304.358229,21888.428709
31,161065.609375,22570.235642,0.000000,20392.275708,20376.572816,-21318.397072,21888.428709
32,171283.000000,22882.704269,0.000000,20392.275708,20376.572816,23636.865370,21888.428709
33,176721.656250,23047.301873,0.000000,20392.275708,20376.572816,12817.928408,21888.428709
34,192101.765625,23506.534095,0.000000,20392.275708,20376.572816,-9075.443717,21888.428709
35,192486.187500,23517.897616,0.000000,20392.275708,20376.572816,2032.157562,21888.428709
36,199207.796875,23715.708674,0.000000,20392.275708,20376.572816,10514.313963,21888.428709
37,211237.343750,24065.669152,0.000000,20392.275708,20376.572816,6258.497077,21888.428709
38,231678.812500,24648.954605,0.000000,20392.275708,20376.572816,-29951.655854,21888.428709
39,249954.921875,25159.005360,0.000000,20392.275708,20376.572816,-139.997852,21888.428709
40,271073.062500,25735.786085,0.000000,20392.275708,20376.572816,5191.143988,21888.428709
41,271410.687500,25744.902386,0.000000,20392.275708,20376.572816,-6375.401670,21888.428709
42,280119.843750,25978.955044,0.000000,20392.275708,20376.572816,1370.923095,21888.428709
43,300237.093750,26511.694748,0.000000,20392.275708,20376.572816,6440.710908,21888.428709
44,303723.000000,26602.923144,0.000000,20392.275708,20376.572816,1460.974090,21888.428709
45,315241.968750,26902.181841,0.000000,20392.275708,20376.572816,17322.694117,21888.428709
46,326180.843750,27183.320258,0.000000,20392.275708,20376.572816,1014.259256,21888.428709
47,328208.312500,27235.109143,0.000000,20392.275708,20376.572816,4872.703435,21888.428709
48,355101.187500,27912.961809,0.000000,20392.275708,20376.572816,8122.334839,21888.428709
49,357572.218750,27974.421852,0.000000,20392.275708,20376.572816,10051.417190,21888.428709
