#TradeId,ResultId,ResultType,ResultValue
3:EquityOption:FD,FdBlackScholes.Volatility_EQ-RIC:.STOXX50E_2023-11-07,double,0.161791
3:EquityOption:FD,cashFlowResults[0],cashflows,
3:EquityOption:FD,instMultiplier,double,1.000000
4:EquityOption,isdaAssetClass,string,Equity
4:EquityOption,isdaBaseProduct,string,Other
4:EquityOption,isdaSubProduct,string,
4:EquityOption,isdaTransaction,string,
4:EquityOption,BlackScholes.CalibrationStrike_EQ-RIC:.STOXX50E,string,4350.000000
4:EquityOption,BlackScholes.Forward_EQ-RIC:.STOXX50E_2023-08-07,double,4337.500000
4:EquityOption,BlackScholes.Forward_EQ-RIC:.STOXX50E_2023-11-07,double,4378.773505
4:EquityOption,BlackScholes.Volatility_EQ-RIC:.STOXX50E_2023-11-07,double,0.161791
4:EquityOption,CurrentNotional,double,4350000.000000
4:EquityOption,cashFlowResults[0],cashflows,156134.994655 EUR @ 2023-11-07
4:EquityOption,instMultiplier,double,1.000000
4:EquityOption,notionalCurrency,string,EUR
5:EquityBarrierOption:AN,isdaAssetClass,string,Equity
5:EquityBarrierOption:AN,isdaBaseProduct,string,Option
5:EquityBarrierOption:AN,isdaSubProduct,string,Price Return Basic Performance
5:EquityBarrierOption:AN,isdaTransaction,string,
5:EquityBarrierOption:AN,quantity,double,1000.000000
5:EquityBarrierOption:AN,strike,double,4350.000000
5:EquityBarrierOption:AN,strikeCurrency,string,EUR
5:EquityBarrierOption:AN,dividendDiscount,double,1.000000
5:EquityBarrierOption:AN,instMultiplier,double,1000.000000
5:EquityBarrierOption:AN,riskFreeDiscount,double,0.990574
5:EquityBarrierOption:AN,spot,double,4337.500000
5:EquityBarrierOption:AN,strike,double,4350.000000
5:EquityBarrierOption:AN,volatility,double,0.161791
6:EquityBarrierOption,isdaAssetClass,string,Equity
6:EquityBarrierOption,isdaBaseProduct,string,Other
6:EquityBarrierOption,isdaSubProduct,string,
6:EquityBarrierOption,isdaTransaction,string,
6:EquityBarrierOption,Active,double,0.921600
6:EquityBarrierOption,BlackScholes.CalibrationStrike_EQ-RIC:.STOXX50E,string,4350.000000
6:EquityBarrierOption,BlackScholes.Forward_EQ-RIC:.STOXX50E_2023-08-07,double,4337.500000
6:EquityBarrierOption,BlackScholes.Forward_EQ-RIC:.STOXX50E_2023-08-08,double,4337.940136
6:EquityBarrierOption,BlackScholes.Forward_EQ-RIC:.STOXX50E_2023-08-09,double,4338.379869
6:EquityBarrierOption,BlackScholes.Forward_EQ-RIC:.STOXX50E_2023-08-10,double,4338.819647
