#NettingSet,AssetClass,HedgingSet,AddOn,NPV,IndependentAmountHeld,InitialMargin,VariationMargin,ThresholdAmount,MinimumTransferAmount,RC,Multiplier,PFE,EAD,RW,CC
All,All,All,,87995.163517,,,,,,,,,,,8734262.532258
CPTY_A,All,All,1150763.788096,87995.163517,0.000000,0.000000,0.000000,0.000000,0.000000,87995.163517,1.000000,1150763.788096,1734262.532258,1.000000,1734262.532258
CPTY_A,IR,All,1150763.788096,,,,,,,,,,,,
CPTY_A,IR,EUR,605326.833240,,,,,,,,,,,,
CPTY_A,IR,USD,545436.954856,,,,,,,,,,,,
CPTY_B,All,All,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5000000.000000,5000000.000000,1.000000,0.000000,7000000.000000,1.000000,7000000.000000
