#Counterparty,NettingSet,Analytic,Value
All,All,BA_CVA_CAPITAL,169244.416683
CPTY_A,All,sCVA,520752.051334
CPTY_A,All,RiskWeight,0.050000
CPTY_A,CPTY_A,EAD,1734262.532258
CPTY_A,CPTY_A,EffMaturity,10.907723
CPTY_A,CPTY_A,DiscountFactor,0.770797
