#TimeStep,Date,DaysInPeriod,ZeroOrderDIM,AverageDIM,AverageFLOW,SimpleDIM,NettingSet
76,2019-01-18,14,77736.275779,77808.582212,0.000000,89996.945720,CPTY_A
77,2019-02-01,14,87263.777323,87623.821250,0.000000,126598.108297,CPTY_A
78,2019-02-15,14,112450.769114,112595.165030,0.000000,219647.191714,CPTY_A
79,2019-03-01,14,79835.313102,80001.964909,0.000000,101167.163719,CPTY_A
80,2019-03-15,14,94083.635164,94238.430165,0.000000,124716.070741,CPTY_A
81,2019-03-29,14,93499.645767,94389.908800,0.000000,192911.282065,CPTY_A
82,2019-04-12,14,108160.157251,108386.377655,0.000000,144275.122527,CPTY_A
83,2019-04-26,14,102875.864364,102995.058559,0.000000,181468.057760,CPTY_A
84,2019-05-10,14,75958.773008,76737.683542,0.000000,69306.010790,CPTY_A
85,2019-05-24,14,108420.731248,108839.782183,0.000000,101113.622506,CPTY_A
86,2019-06-07,14,102256.080682,102575.708042,0.000000,82326.472687,CPTY_A
87,2019-06-21,14,87272.839316,87474.352879,0.000000,78295.389686,CPTY_A
88,2019-07-05,14,115987.639085,116522.709140,0.000000,162541.878416,CPTY_A
89,2019-07-19,14,99124.438847,99158.514509,0.000000,114911.607555,CPTY_A
90,2019-08-02,14,86198.053600,86507.019634,0.000000,99193.136525,CPTY_A
91,2019-08-16,14,110061.940646,110414.693307,0.000000,242178.368767,CPTY_A
92,2019-08-30,14,98560.721007,98571.102107,0.000000,115172.734740,CPTY_A
93,2019-09-13,14,97547.135454,97559.425738,0.000000,128510.315249,CPTY_A
94,2019-09-27,14,85455.737085,85516.734201,0.000000,103739.365860,CPTY_A
95,2019-10-11,14,101983.493764,105643.717364,0.000000,159015.209676,CPTY_A
96,2019-10-25,14,78714.832344,78859.038556,0.000000,92861.244218,CPTY_A
97,2019-11-08,14,96636.162810,96752.218530,0.000000,159809.914124,CPTY_A
98,2019-11-22,14,100852.380828,101462.682924,0.000000,89340.304671,CPTY_A
99,2019-12-06,14,78778.865420,78890.050765,0.000000,83878.648746,CPTY_A
100,2019-12-20,14,87656.182783,87667.159587,0.000000,106021.200021,CPTY_A
101,2020-01-03,14,106467.607233,106626.019665,0.000000,122312.430235,CPTY_A
102,2020-01-17,14,107526.932392,107766.842177,0.000000,144333.443986,CPTY_A
103,2020-01-31,14,95433.519004,95830.767232,0.000000,158593.807666,CPTY_A
104,2020-02-14,14,103460.413845,104345.203030,0.000000,146300.181755,CPTY_A
105,2020-02-28,14,92329.343470,92359.783089,0.000000,124671.911081,CPTY_A
106,2020-03-13,14,113546.937556,113685.631255,0.000000,137076.471926,CPTY_A
107,2020-03-27,18,100732.188044,101089.372007,0.000000,100980.667514,CPTY_A
108,2020-04-14,10,107037.795784,107671.664620,0.000000,120062.283349,CPTY_A
109,2020-04-24,17,102204.495195,102607.512914,0.000000,83429.773856,CPTY_A
110,2020-05-11,11,105292.024121,105446.967162,0.000000,143952.269200,CPTY_A
111,2020-05-22,14,85039.637220,85352.306248,0.000000,118733.732703,CPTY_A
112,2020-06-05,14,100950.475000,101064.481938,0.000000,149145.720650,CPTY_A
113,2020-06-19,17,80897.839076,81181.509238,0.000000,113557.743847,CPTY_A
114,2020-07-06,11,107510.537928,108175.675927,0.000000,100965.293114,CPTY_A
115,2020-07-17,14,98191.459021,98192.226791,0.000000,132592.063690,CPTY_A
116,2020-07-31,14,72066.707204,72213.718563,0.000000,73354.959237,CPTY_A
117,2020-08-14,14,80546.488734,80582.298338,0.000000,100600.154843,CPTY_A
118,2020-08-28,14,77841.821847,77882.882297,0.000000,70050.454086,CPTY_A
119,2020-09-11,14,107886.966697,108197.285215,0.000000,204653.870594,CPTY_A
120,2020-09-25,14,98084.409433,98191.609065,0.000000,156354.251488,CPTY_A
121,2020-10-09,14,89259.166590,89321.339958,0.000000,169970.925352,CPTY_A
