#Sample,Regressor_0_USD,Regressor_1_EUR-EURIBOR-3M,Regressor_2_USD-LIBOR-3M,RegressionDIM,LocalDIM,ExpectedDIM,ZeroOrderDIM,DeltaNPV,SimpleDIM
0,0.606076,0.000592,0.017584,1541867.430323,1361541.936061,1556115.844654,1766790.624711,59030.948866,1053096.990658
1,0.618571,0.008740,0.024091,862961.977990,1366416.029404,1556115.844654,1766790.624711,-579302.029595,1053096.990658
2,0.650522,0.002475,-0.019395,2428126.038584,1380968.123134,1556115.844654,1766790.624711,972085.444034,1053096.990658
3,0.656892,0.001938,0.039014,0.000000,1384258.369222,1556115.844654,1766790.624711,-637020.820845,1053096.990658
4,0.675998,0.001672,0.025413,1024883.062709,1394971.397470,1556115.844654,1766790.624711,-172004.954832,1053096.990658
5,0.681394,-0.004744,0.020033,848072.026582,1398236.394361,1556115.844654,1766790.624711,-523498.629335,1053096.990658
6,0.682944,-0.007298,0.009225,1491530.527419,1399194.891980,1556115.844654,1766790.624711,-74636.141903,1053096.990658
7,0.713866,-0.004145,0.025105,0.000000,1420282.826681,1556115.844654,1766790.624711,-433936.611854,1053096.990658
8,0.717594,0.013730,-0.001655,0.000000,1423089.895395,1556115.844654,1766790.624711,699246.023434,1053096.990658
9,0.723280,-0.005187,0.005320,1750301.510043,1427487.260297,1556115.844654,1766790.624711,369643.424232,1053096.990658
10,0.726199,-0.003073,0.014530,1421685.894962,1429798.526106,1556115.844654,1766790.624711,-471033.687356,1053096.990658
11,0.742207,-0.002724,0.010742,1602103.128322,1443152.554607,1556115.844654,1766790.624711,-378000.064077,1053096.990658
12,0.754624,-0.005846,0.020286,581877.395929,1454321.451212,1556115.844654,1766790.624711,646817.009830,1053096.990658
13,0.758117,0.011769,0.036511,950254.129432,1457594.005572,1556115.844654,1766790.624711,1138459.184953,1053096.990658
14,0.762086,0.000049,0.020689,1348459.966476,1461384.290318,1556115.844654,1766790.624711,399994.436605,1053096.990658
15,0.763914,-0.001981,0.034030,0.000000,1463155.014078,1556115.844654,1766790.624711,941983.221699,1053096.990658
16,0.772737,0.014275,0.023788,506616.532202,1471933.508273,1556115.844654,1766790.624711,662798.591752,1053096.990658
17,0.781288,0.007101,-0.004065,1351008.921286,1480809.097234,1556115.844654,1766790.624711,282088.272864,1053096.990658
18,0.813069,0.017132,0.024299,0.000000,1517066.006421,1556115.844654,1766790.624711,123955.329127,1053096.990658
19,0.828966,0.001676,0.033780,1309512.022260,1537191.096693,1556115.844654,1766790.624711,886474.959725,1053096.990658
20,0.835546,0.021497,0.013395,0.000000,1545916.269506,1556115.844654,1766790.624711,390063.114944,1053096.990658
21,0.837365,0.016964,0.028498,819363.484839,1548369.675516,1556115.844654,1766790.624711,305492.623933,1053096.990658
22,0.841827,0.011614,0.015436,1209316.887326,1554461.584929,1556115.844654,1766790.624711,-754595.697655,1053096.990658
23,0.849585,0.002074,0.007686,1744037.123725,1565313.116320,1556115.844654,1766790.624711,21146.473543,1053096.990658
24,0.855074,-0.006946,-0.007759,1794808.918938,1573187.582965,1556115.844654,1766790.624711,245743.051662,1053096.990658
25,0.869025,0.011590,0.006037,899918.463209,1593935.658523,1556115.844654,1766790.624711,1035067.541457,1053096.990658
26,0.879081,0.017072,0.047019,1913322.306051,1609545.684522,1556115.844654,1766790.624711,141191.406724,1053096.990658
27,0.885195,0.002849,0.016254,1818778.829311,1619304.546077,1556115.844654,1766790.624711,-11883.809552,1053096.990658
