#TimeStep,Date,DaysInPeriod,ZeroOrderDIM,AverageDIM,AverageFLOW,SimpleDIM,NettingSet
0,2016-02-19,14,83884.086214,83981.540549,0.000000,72444.271289,CPTY_A
1,2016-03-04,14,84628.871575,84437.973240,0.000000,99254.038432,CPTY_A
2,2016-03-18,14,80227.522939,76797.187964,0.000000,90406.022717,CPTY_A
3,2016-04-01,14,93983.106570,93401.521959,0.000000,108975.156244,CPTY_A
4,2016-04-15,14,72591.078603,71843.157379,0.000000,72890.312273,CPTY_A
5,2016-04-29,14,79939.739751,78863.773379,0.000000,97807.334240,CPTY_A
6,2016-05-13,14,74993.994752,74965.870638,0.000000,66644.502708,CPTY_A
7,2016-05-27,14,85795.751610,85395.897851,0.000000,85870.730647,CPTY_A
8,2016-06-10,14,96599.945793,93174.800646,0.000000,146375.837703,CPTY_A
9,2016-06-24,14,79984.262045,79454.597550,0.000000,83512.743466,CPTY_A
10,2016-07-08,14,93596.373975,87715.623892,0.000000,120122.689749,CPTY_A
11,2016-07-22,14,71528.369916,69837.908808,0.000000,63314.658578,CPTY_A
12,2016-08-05,14,80088.128136,74901.834619,0.000000,73212.826074,CPTY_A
13,2016-08-19,14,85771.106547,82331.554439,0.000000,112077.211829,CPTY_A
14,2016-09-02,14,78839.534992,74501.300882,0.000000,91071.193813,CPTY_A
15,2016-09-16,14,74137.041728,72212.871751,0.000000,80052.907174,CPTY_A
16,2016-09-30,14,78836.982577,76295.581182,0.000000,72624.615541,CPTY_A
17,2016-10-14,14,87275.908335,82784.017880,0.000000,92298.034700,CPTY_A
18,2016-10-28,17,81105.653420,79295.509839,0.000000,55901.218696,CPTY_A
19,2016-11-14,11,74807.404080,72247.512378,0.000000,106051.295179,CPTY_A
20,2016-11-25,14,91281.548655,82927.246705,0.000000,127713.433625,CPTY_A
21,2016-12-09,14,78368.458708,71334.236653,0.000000,84134.649175,CPTY_A
22,2016-12-23,14,93972.065482,86186.593839,0.000000,128417.934339,CPTY_A
23,2017-01-06,14,93488.225415,83558.443159,0.000000,143121.195417,CPTY_A
24,2017-01-20,14,76253.519110,74834.277074,0.000000,71894.418558,CPTY_A
25,2017-02-03,14,93724.842532,90040.408789,0.000000,107330.858912,CPTY_A
26,2017-02-17,14,75467.107973,69346.417277,0.000000,72966.249898,CPTY_A
27,2017-03-03,14,88906.836603,81214.537575,0.000000,90454.139115,CPTY_A
28,2017-03-17,14,86560.708198,79146.137352,0.000000,118764.273644,CPTY_A
29,2017-03-31,18,89381.480947,83643.703722,0.000000,82352.057170,CPTY_A
30,2017-04-18,10,78726.612441,77905.106905,0.000000,93446.798705,CPTY_A
31,2017-04-28,14,78122.777552,73253.421241,0.000000,92677.705642,CPTY_A
32,2017-05-12,14,78258.884074,74348.625170,0.000000,77375.965848,CPTY_A
33,2017-05-26,14,79655.398924,74512.490708,0.000000,69903.602575,CPTY_A
34,2017-06-09,14,84392.051202,77891.824606,0.000000,87339.940540,CPTY_A
35,2017-06-23,14,86828.898456,78544.391226,0.000000,108157.167435,CPTY_A
36,2017-07-07,14,78789.318267,73628.439529,0.000000,78468.790010,CPTY_A
37,2017-07-21,14,83590.080545,75531.766958,0.000000,91542.780795,CPTY_A
38,2017-08-04,14,109851.417495,97845.647465,0.000000,132548.455264,CPTY_A
39,2017-08-18,14,87813.502458,79719.594299,0.000000,102559.700236,CPTY_A
40,2017-09-01,14,99896.279843,85221.641568,0.000000,97097.061045,CPTY_A
41,2017-09-15,14,90615.357529,84185.295910,0.000000,84873.698941,CPTY_A
42,2017-09-29,14,70661.700025,65527.679906,0.000000,68902.478484,CPTY_A
43,2017-10-13,14,85353.225920,74763.093974,0.000000,128295.118513,CPTY_A
44,2017-10-27,17,86199.737232,76637.748306,0.000000,69962.125779,CPTY_A
45,2017-11-13,11,86599.522874,78266.903505,0.000000,84040.242156,CPTY_A
46,2017-11-24,14,88143.898915,80022.639374,0.000000,101143.633049,CPTY_A
47,2017-12-08,14,87017.390892,78540.300998,0.000000,124389.327235,CPTY_A
48,2017-12-22,14,95262.405725,86409.884719,0.000000,138389.953661,CPTY_A
49,2018-01-05,14,94355.477804,86036.553589,0.000000,76475.644430,CPTY_A
50,2018-01-19,14,103508.235574,93277.276894,0.000000,128342.330678,CPTY_A
51,2018-02-02,14,95047.400697,85783.716101,0.000000,154943.214077,CPTY_A
52,2018-02-16,14,83557.802939,75596.885732,0.000000,130464.535611,CPTY_A
53,2018-03-02,14,122834.087341,110619.027173,0.000000,186068.297238,CPTY_A
54,2018-03-16,18,79237.822395,70381.688530,0.000000,106566.051646,CPTY_A
