#TradeId,Factor,Up/Down,Base NPV,ShiftSize_1,ShiftSize_2,Scenario NPV,Difference,Base Currency
CVA,SwaptionVolatility/EUR/92/15Y/5Y/ATM,Up,110660.54,0.000001,#N/A,110661.57,1.03,EUR
CVA,SwaptionVolatility/EUR/93/15Y/7Y/ATM,Up,110660.54,0.000001,#N/A,110661.17,0.63,EUR
CVA,SwaptionVolatility/EUR/99/20Y/1Y/ATM,Up,110660.54,0.000001,#N/A,110660.65,0.11,EUR
CVA,SwaptionVolatility/EUR/100/20Y/2Y/ATM,Up,110660.54,0.000001,#N/A,110660.70,0.15,EUR
CVA,SwaptionVolatility/EUR/101/20Y/3Y/ATM,Up,110660.54,0.000001,#N/A,110660.68,0.13,EUR
CVA,SwaptionVolatility/EUR/102/20Y/4Y/ATM,Up,110660.54,0.000001,#N/A,110660.67,0.13,EUR
CVA,SurvivalProbability/BANK/0/2W,Up,110660.54,0.000001,#N/A,110660.54,0.00,EUR
CVA,SurvivalProbability/BANK/1/1M,Up,110660.54,0.000001,#N/A,110660.54,0.00,EUR
CVA,SurvivalProbability/BANK/2/3M,Up,110660.54,0.000001,#N/A,110660.53,-0.02,EUR
CVA,SurvivalProbability/BANK/3/6M,Up,110660.54,0.000001,#N/A,110660.52,-0.02,EUR
CVA,SurvivalProbability/BANK/4/1Y,Up,110660.54,0.000001,#N/A,110660.45,-0.09,EUR
CVA,SurvivalProbability/BANK/5/2Y,Up,110660.54,0.000001,#N/A,110660.40,-0.15,EUR
CVA,SurvivalProbability/BANK/6/3Y,Up,110660.54,0.000001,#N/A,110660.38,-0.17,EUR
CVA,SurvivalProbability/BANK/7/5Y,Up,110660.54,0.000001,#N/A,110660.50,-0.04,EUR
CVA,SurvivalProbability/BANK/8/10Y,Up,110660.54,0.000001,#N/A,110661.65,1.11,EUR
CVA,SurvivalProbability/BANK/9/15Y,Up,110660.54,0.000001,#N/A,110663.28,2.74,EUR
CVA,SurvivalProbability/BANK/10/20Y,Up,110660.54,0.000001,#N/A,110662.87,2.33,EUR
