#TradeId,TradeType,Maturity,MaturityTime,NPV,NpvCurrency,NPV(Base),BaseCurrency,Notional,NotionalCurrency,Notional(Base),NettingSet,CounterParty
FXFWD_EUR_USD_3M,FxForward,2016-05-09,0.256831,0.000000,USD,0.000000,EUR,1135348.74,USD,1002764.65,CPTY_A,CPTY_A
FXFWD_EUR_USD_6M,FxForward,2016-08-09,0.508197,0.000000,USD,0.000000,EUR,1000000.00,EUR,1000000.00,CPTY_A,CPTY_A
FXFWD_EUR_USD_9M,FxForward,2016-11-09,0.759563,0.000000,USD,0.000000,EUR,1143023.27,USD,1009542.97,CPTY_A,CPTY_A
FXFWD_EUR_USD_12M,FxForward,2017-02-09,1.011221,0.000000,USD,0.000000,EUR,1000000.00,EUR,1000000.00,CPTY_A,CPTY_A
FXFWD_EUR_GBP_3M,FxForward,2016-05-09,0.256831,0.000000,GBP,0.000000,EUR,813857.98,GBP,1002456.45,CPTY_A,CPTY_A
FXFWD_EUR_GBP_6M,FxForward,2016-08-09,0.508197,0.000000,GBP,0.000000,EUR,1000000.00,EUR,1000000.00,CPTY_A,CPTY_A
FXFWD_EUR_GBP_9M,FxForward,2016-11-09,0.759563,0.000000,GBP,0.000000,EUR,1000000.00,EUR,1000000.00,CPTY_A,CPTY_A
FXFWD_EUR_GBP_12M,FxForward,2017-02-09,1.011221,0.000000,GBP,0.000000,EUR,820223.82,GBP,1010297.46,CPTY_A,CPTY_A
xccyBasisSwap_EUR_3M_GBP_3M_2Y,Swap,2018-02-09,2.011221,0.314653,EUR,0.314653,EUR,1000000.00,EUR,1000000.00,CPTY_A,CPTY_A
xccyBasisSwap_EUR_3M_GBP_3M_3Y,Swap,2019-02-11,3.016700,0.462969,EUR,0.462969,EUR,1000000.00,EUR,1000000.00,CPTY_A,CPTY_A
xccyBasisSwap_EUR_3M_GBP_3M_4Y,Swap,2020-02-10,4.013661,0.640895,EUR,0.640895,EUR,1000000.00,EUR,1000000.00,CPTY_A,CPTY_A
xccyBasisSwap_EUR_3M_GBP_3M_5Y,Swap,2021-02-09,5.011221,0.864444,EUR,0.864444,EUR,1000000.00,EUR,1000000.00,CPTY_A,CPTY_A
xccyBasisSwap_EUR_3M_GBP_3M_7Y,Swap,2023-02-09,7.011221,1.107988,EUR,1.107988,EUR,1000000.00,EUR,1000000.00,CPTY_A,CPTY_A
xccyBasisSwap_EUR_3M_GBP_3M_10Y,Swap,2026-02-09,10.011221,1.597158,EUR,1.597158,EUR,1000000.00,EUR,1000000.00,CPTY_A,CPTY_A
xccyBasisSwap_EUR_3M_GBP_3M_15Y,Swap,2031-02-10,15.013961,2.323014,EUR,2.323014,EUR,1000000.00,EUR,1000000.00,CPTY_A,CPTY_A
xccyBasisSwap_EUR_3M_GBP_3M_20Y,Swap,2036-02-11,20.016393,2.368548,EUR,2.368548,EUR,1000000.00,EUR,1000000.00,CPTY_A,CPTY_A
xccyBasisSwap_EUR_3M_GBP_3M_30Y,Swap,2046-02-09,30.011221,2.601353,EUR,2.601353,EUR,1000000.00,EUR,1000000.00,CPTY_A,CPTY_A
xccyBasisSwap_EUR_3M_GBP_3M_40Y,Swap,2056-02-09,40.010929,1.985464,EUR,1.985464,EUR,1000000.00,EUR,1000000.00,CPTY_A,CPTY_A
xccyBasisSwap_EUR_3M_GBP_3M_50Y,Swap,2066-02-09,50.011221,-0.394442,EUR,-0.394442,EUR,1000000.00,EUR,1000000.00,CPTY_A,CPTY_A
FXFWD_EUR_CHF_3M,FxForward,2016-05-09,0.256831,0.000000,CHF,0.000000,EUR,1123248.10,CHF,998317.55,CPTY_A,CPTY_A
FXFWD_EUR_CHF_6M,FxForward,2016-08-09,0.508197,0.000000,CHF,0.000000,EUR,1000000.00,EUR,1000000.00,CPTY_A,CPTY_A
xccyBasisSwap_EUR_3M_CHF_3M_2Y,Swap,2018-02-09,2.011221,-0.290531,EUR,-0.290531,EUR,1000000.00,EUR,1000000.00,CPTY_A,CPTY_A
xccyBasisSwap_EUR_3M_CHF_3M_3Y,Swap,2019-02-11,3.016700,-0.427477,EUR,-0.427477,EUR,1000000.00,EUR,1000000.00,CPTY_A,CPTY_A
xccyBasisSwap_EUR_3M_CHF_3M_4Y,Swap,2020-02-10,4.013661,-0.591763,EUR,-0.591763,EUR,1000000.00,EUR,1000000.00,CPTY_A,CPTY_A
xccyBasisSwap_EUR_3M_CHF_3M_5Y,Swap,2021-02-09,5.011221,-0.798175,EUR,-0.798175,EUR,1000000.00,EUR,1000000.00,CPTY_A,CPTY_A
xccyBasisSwap_EUR_3M_CHF_3M_7Y,Swap,2023-02-09,7.011221,-1.023048,EUR,-1.023048,EUR,1000000.00,EUR,1000000.00,CPTY_A,CPTY_A
xccyBasisSwap_EUR_3M_CHF_3M_10Y,Swap,2026-02-09,10.011221,-1.474718,EUR,-1.474718,EUR,1000000.00,EUR,1000000.00,CPTY_A,CPTY_A
xccyBasisSwap_EUR_3M_CHF_3M_15Y,Swap,2031-02-10,15.013961,-2.144929,EUR,-2.144929,EUR,1000000.00,EUR,1000000.00,CPTY_A,CPTY_A
xccyBasisSwap_EUR_3M_CHF_3M_20Y,Swap,2036-02-11,20.016393,-2.186972,EUR,-2.186972,EUR,1000000.00,EUR,1000000.00,CPTY_A,CPTY_A
