#datumDate,datumId, datumValue 
2024-03-05,CC_BASIS_SWAP/BASIS_SPREAD/USD/1D/EUR/1D/10Y,0.0082
2024-03-05,CC_BASIS_SWAP/BASIS_SPREAD/USD/1D/EUR/1D/12Y,0.0082
2024-03-05,CC_BASIS_SWAP/BASIS_SPREAD/USD/1D/EUR/1D/15Y,0.0081
2024-03-05,CC_BASIS_SWAP/BASIS_SPREAD/USD/1D/EUR/1D/20Y,0.0082
2024-03-05,CC_BASIS_SWAP/BASIS_SPREAD/USD/1D/EUR/1D/25Y,0.0086
2024-03-05,CC_BASIS_SWAP/BASIS_SPREAD/USD/1D/EUR/1D/2Y,0.0088
2024-03-05,CC_BASIS_SWAP/BASIS_SPREAD/USD/1D/EUR/1D/30Y,0.0089
2024-03-05,CC_BASIS_SWAP/BASIS_SPREAD/USD/1D/EUR/1D/3Y,0.0087
2024-03-05,CC_BASIS_SWAP/BASIS_SPREAD/USD/1D/EUR/1D/40Y,0.0094
2024-03-05,CC_BASIS_SWAP/BASIS_SPREAD/USD/1D/EUR/1D/4Y,0.0086
2024-03-05,CC_BASIS_SWAP/BASIS_SPREAD/USD/1D/EUR/1D/50Y,0.0099
2024-03-05,CC_BASIS_SWAP/BASIS_SPREAD/USD/1D/EUR/1D/5Y,0.0085
2024-03-05,CC_BASIS_SWAP/BASIS_SPREAD/USD/1D/EUR/1D/6Y,0.0085
2024-03-05,CC_BASIS_SWAP/BASIS_SPREAD/USD/1D/EUR/1D/7Y,0.0084
2024-03-05,CC_BASIS_SWAP/BASIS_SPREAD/USD/1D/EUR/1D/8Y,0.0083
2024-03-05,CC_BASIS_SWAP/BASIS_SPREAD/USD/1D/EUR/1D/9Y,0.0083
2024-03-05,FX/RATE/EUR/USD,1.08
2024-03-05,FXFWD/RATE/EUR/USD/10M,28.7739464
2024-03-05,FXFWD/RATE/EUR/USD/11M,43.57782032
2024-03-05,FXFWD/RATE/EUR/USD/15M,102.4660417
2024-03-05,FXFWD/RATE/EUR/USD/18M,144.4437109
2024-03-05,FXFWD/RATE/EUR/USD/1M,-101.6425721
2024-03-05,FXFWD/RATE/EUR/USD/1W,-112.5162457
2024-03-05,FXFWD/RATE/EUR/USD/1Y,57.03105573
2024-03-05,FXFWD/RATE/EUR/USD/21M,186.496069
2024-03-05,FXFWD/RATE/EUR/USD/2M,-88.95855286
2024-03-05,FXFWD/RATE/EUR/USD/2W,-109.6289734
2024-03-05,FXFWD/RATE/EUR/USD/3M,-75.52128538
2024-03-05,FXFWD/RATE/EUR/USD/3W,-106.7221433
2024-03-05,FXFWD/RATE/EUR/USD/4M,-61.38954939
