#TradeId,Factor,Up/Down,Base NPV,ShiftSize_1,ShiftSize_2,Scenario NPV,Difference,Base Currency
CPI_Cap,DiscountCurve/EUR/1/1Y,Up,73305.95,0.000100,#N/A,73305.66,-0.30,EUR
CPI_Cap,DiscountCurve/EUR/2/2Y,Up,73305.95,0.000100,#N/A,73305.45,-0.50,EUR
CPI_Cap,DiscountCurve/EUR/3/3Y,Up,73305.95,0.000100,#N/A,73285.58,-20.37,EUR
CPI_Cap,DiscountCurve/EUR/1/1Y,Down,73305.95,0.000100,#N/A,73306.25,0.30,EUR
CPI_Cap,DiscountCurve/EUR/2/2Y,Down,73305.95,0.000100,#N/A,73306.46,0.50,EUR
CPI_Cap,DiscountCurve/EUR/3/3Y,Down,73305.95,0.000100,#N/A,73326.33,20.38,EUR
CPI_Cap,ZeroInflationCurve/EUHICPXT/1/1Y,Up,73305.95,0.000100,#N/A,73337.92,31.97,EUR
CPI_Cap,ZeroInflationCurve/EUHICPXT/2/2Y,Up,73305.95,0.000100,#N/A,73351.89,45.94,EUR
CPI_Cap,ZeroInflationCurve/EUHICPXT/3/3Y,Up,73305.95,0.000100,#N/A,74706.83,1400.88,EUR
CPI_Cap,ZeroInflationCurve/EUHICPXT/1/1Y,Down,73305.95,0.000100,#N/A,73274.18,-31.78,EUR
CPI_Cap,ZeroInflationCurve/EUHICPXT/2/2Y,Down,73305.95,0.000100,#N/A,73260.57,-45.38,EUR
CPI_Cap,ZeroInflationCurve/EUHICPXT/3/3Y,Down,73305.95,0.000100,#N/A,71924.34,-1381.61,EUR
CPI_Cap,ZeroInflationCapFloorVolatility/EUHICPXT/0/1Y/0.01,Up,73305.95,0.000000,#N/A,73499.09,193.14,EUR
CPI_Cap,ZeroInflationCapFloorVolatility/EUHICPXT/5/2Y/0.01,Up,73305.95,0.000000,#N/A,73592.37,286.42,EUR
CPI_Cap,ZeroInflationCapFloorVolatility/EUHICPXT/10/3Y/0.01,Up,73305.95,0.000000,#N/A,80717.30,7411.35,EUR
CPI_Cap,ZeroInflationCapFloorVolatility/EUHICPXT/0/1Y/0.01,Down,73305.95,0.000000,#N/A,73114.98,-190.98,EUR
CPI_Cap,ZeroInflationCapFloorVolatility/EUHICPXT/5/2Y/0.01,Down,73305.95,0.000000,#N/A,73020.03,-285.92,EUR
CPI_Cap,ZeroInflationCapFloorVolatility/EUHICPXT/10/3Y/0.01,Down,73305.95,0.000000,#N/A,65917.22,-7388.73,EUR
CPI_Floor,DiscountCurve/EUR/1/1Y,Up,-6301.27,0.000100,#N/A,-6301.27,0.00,EUR
CPI_Floor,DiscountCurve/EUR/2/2Y,Up,-6301.27,0.000100,#N/A,-6300.76,0.51,EUR
CPI_Floor,DiscountCurve/EUR/3/3Y,Up,-6301.27,0.000100,#N/A,-6300.15,1.13,EUR
CPI_Floor,DiscountCurve/EUR/1/1Y,Down,-6301.27,0.000100,#N/A,-6301.27,0.00,EUR
CPI_Floor,DiscountCurve/EUR/2/2Y,Down,-6301.27,0.000100,#N/A,-6301.78,-0.51,EUR
CPI_Floor,DiscountCurve/EUR/3/3Y,Down,-6301.27,0.000100,#N/A,-6302.40,-1.13,EUR
