#NettingSetId,TradeId,IsPar,Factor_1,ShiftSize_1,Factor_2,ShiftSize_2,Currency,Base XVA,Delta,Gamma
CPTY_A,Swap_EUR,false,DiscountCurve/EUR/0/1Y,0.000100,,0.000000,EUR,38715.30,8.50,#N/A
CPTY_A,Swap_EUR,false,DiscountCurve/EUR/1/5Y,0.000100,,0.000000,EUR,38715.30,-61.71,#N/A
CPTY_A,Swap_EUR,false,IndexCurve/EUR-EURIBOR-6M/0/1Y,0.000100,,0.000000,EUR,38715.30,-105.02,#N/A
CPTY_A,Swap_EUR,false,IndexCurve/EUR-EURIBOR-6M/1/5Y,0.000100,,0.000000,EUR,38715.30,537.88,#N/A
CPTY_A,Swap_EUR,false,SwaptionVolatility/EUR/3/5Y/5Y/ATM,0.000050,,0.000000,EUR,38715.30,407.25,#N/A
CPTY_A,Swap_EUR,false,SurvivalProbability/CPTY_A/0/1Y,0.000100,,0.000000,EUR,38715.30,-13.28,#N/A
CPTY_A,Swap_EUR,false,SurvivalProbability/CPTY_A/1/5Y,0.000100,,0.000000,EUR,38715.30,368.60,#N/A
CPTY_A,Swap_USD,false,DiscountCurve/USD/0/1Y,0.000100,,0.000000,EUR,50490.44,11.36,#N/A
CPTY_A,Swap_USD,false,DiscountCurve/USD/1/5Y,0.000100,,0.000000,EUR,50490.44,-81.86,#N/A
CPTY_A,Swap_USD,false,IndexCurve/EUR-EURIBOR-6M/0/1Y,0.000100,,0.000000,EUR,50490.44,0.00,#N/A
CPTY_A,Swap_USD,false,IndexCurve/EUR-EURIBOR-6M/1/5Y,0.000100,,0.000000,EUR,50490.44,0.00,#N/A
CPTY_A,Swap_USD,false,IndexCurve/USD-LIBOR-3M/0/1Y,0.000100,,0.000000,EUR,50490.44,-118.44,#N/A
CPTY_A,Swap_USD,false,IndexCurve/USD-LIBOR-3M/1/5Y,0.000100,,0.000000,EUR,50490.44,596.70,#N/A
CPTY_A,Swap_USD,false,SwaptionVolatility/EUR/3/5Y/5Y/ATM,0.000050,,0.000000,EUR,50490.44,-0.37,#N/A
CPTY_A,Swap_USD,false,SwaptionVolatility/USD/3/5Y/5Y/ATM,0.004669,,0.000000,EUR,50490.44,495.84,#N/A
CPTY_A,Swap_USD,false,FXSpot/USDEUR/0/spot,0.008831,,0.000000,EUR,50490.44,504.90,#N/A
CPTY_A,Swap_USD,false,FXVolatility/EURUSD/0/1Y/ATM,0.001208,,0.000000,EUR,50490.44,-0.47,#N/A
CPTY_A,Swap_USD,false,FXVolatility/EURUSD/1/10Y/ATM,0.001363,,0.000000,EUR,50490.44,0.71,#N/A
CPTY_A,Swap_USD,false,SurvivalProbability/CPTY_A/0/1Y,0.000100,,0.000000,EUR,50490.44,-17.49,#N/A
CPTY_A,Swap_USD,false,SurvivalProbability/CPTY_A/1/5Y,0.000100,,0.000000,EUR,50490.44,482.95,#N/A
CPTY_A,,false,DiscountCurve/EUR/0/1Y,0.000100,,0.000000,EUR,66235.67,6.08,#N/A
CPTY_A,,false,DiscountCurve/EUR/1/5Y,0.000100,,0.000000,EUR,66235.67,-44.01,#N/A
CPTY_A,,false,DiscountCurve/USD/0/1Y,0.000100,,0.000000,EUR,66235.67,8.74,#N/A
CPTY_A,,false,DiscountCurve/USD/1/5Y,0.000100,,0.000000,EUR,66235.67,-62.93,#N/A
CPTY_A,,false,IndexCurve/EUR-EURIBOR-6M/0/1Y,0.000100,,0.000000,EUR,66235.67,-117.86,#N/A
CPTY_A,,false,IndexCurve/EUR-EURIBOR-6M/1/5Y,0.000100,,0.000000,EUR,66235.67,601.59,#N/A
CPTY_A,,false,IndexCurve/USD-LIBOR-3M/0/1Y,0.000100,,0.000000,EUR,66235.67,-102.45,#N/A
CPTY_A,,false,IndexCurve/USD-LIBOR-3M/1/5Y,0.000100,,0.000000,EUR,66235.67,516.54,#N/A
CPTY_A,,false,SwaptionVolatility/EUR/3/5Y/5Y/ATM,0.000050,,0.000000,EUR,66235.67,307.25,#N/A
CPTY_A,,false,SwaptionVolatility/USD/3/5Y/5Y/ATM,0.004669,,0.000000,EUR,66235.67,364.23,#N/A
CPTY_A,,false,FXSpot/USDEUR/0/spot,0.008831,,0.000000,EUR,66235.67,387.09,#N/A
CPTY_A,,false,FXVolatility/EURUSD/0/1Y/ATM,0.001208,,0.000000,EUR,66235.67,0.52,#N/A
CPTY_A,,false,FXVolatility/EURUSD/1/10Y/ATM,0.001363,,0.000000,EUR,66235.67,17.35,#N/A
CPTY_A,,false,SurvivalProbability/CPTY_A/0/1Y,0.000100,,0.000000,EUR,66235.67,-23.14,#N/A
CPTY_A,,false,SurvivalProbability/CPTY_A/1/5Y,0.000100,,0.000000,EUR,66235.67,632.23,#N/A
