#TimeStep,Date,DaysInPeriod,AverageDIM,AverageFLOW,NettingSet,Time
0,2016-02-19,14,585194.440368,0.000000,CPTY_A,0.038251
1,2016-03-04,14,551812.432047,-24380.551250,CPTY_A,0.076503
2,2016-03-18,14,551675.317273,0.000000,CPTY_A,0.114754
3,2016-04-01,14,551566.642166,0.000000,CPTY_A,0.153005
4,2016-04-15,14,551507.021115,0.000000,CPTY_A,0.191257
5,2016-04-29,14,551223.291877,0.000000,CPTY_A,0.229508
6,2016-05-13,14,551061.083466,0.000000,CPTY_A,0.267760
7,2016-05-27,14,550745.141462,0.000000,CPTY_A,0.306011
8,2016-06-10,14,550561.547104,0.000000,CPTY_A,0.344262
9,2016-06-24,14,550556.027285,0.000000,CPTY_A,0.382514
10,2016-07-08,14,550687.365407,0.000000,CPTY_A,0.420765
11,2016-07-22,14,550748.533860,0.000000,CPTY_A,0.459016
12,2016-08-05,14,550394.663136,0.000000,CPTY_A,0.497268
13,2016-08-19,14,550521.940736,0.000000,CPTY_A,0.535519
14,2016-09-02,14,517490.313753,287345.794375,CPTY_A,0.573770
15,2016-09-16,14,517368.114782,0.000000,CPTY_A,0.612022
16,2016-09-30,14,517482.524284,0.000000,CPTY_A,0.650273
17,2016-10-14,14,517149.550808,0.000000,CPTY_A,0.688525
18,2016-10-28,17,517367.110720,0.000000,CPTY_A,0.726776
19,2016-11-14,11,517435.135032,0.000000,CPTY_A,0.773224
20,2016-11-25,14,517495.067259,0.000000,CPTY_A,0.803279
21,2016-12-09,14,517257.328599,0.000000,CPTY_A,0.841530
22,2016-12-23,14,517030.105691,0.000000,CPTY_A,0.879781
23,2017-01-06,14,516955.882161,0.000000,CPTY_A,0.918070
24,2017-01-20,14,516791.703842,0.000000,CPTY_A,0.956426
25,2017-02-03,14,517512.560596,0.000000,CPTY_A,0.994783
26,2017-02-17,14,517644.654011,0.000000,CPTY_A,1.033139
27,2017-03-03,14,484575.350318,-290943.756250,CPTY_A,1.071495
28,2017-03-17,14,484588.455522,0.000000,CPTY_A,1.109851
29,2017-03-31,18,484619.592621,0.000000,CPTY_A,1.148207
30,2017-04-18,10,484509.931131,0.000000,CPTY_A,1.197522
31,2017-04-28,14,484650.138746,0.000000,CPTY_A,1.224920
32,2017-05-12,14,484774.664530,0.000000,CPTY_A,1.263276
33,2017-05-26,14,484508.824374,0.000000,CPTY_A,1.301632
34,2017-06-09,14,484682.554427,0.000000,CPTY_A,1.339988
35,2017-06-23,14,484698.015069,0.000000,CPTY_A,1.378344
36,2017-07-07,14,484895.860586,0.000000,CPTY_A,1.416700
37,2017-07-21,14,485250.417253,0.000000,CPTY_A,1.455057
38,2017-08-04,14,485251.454619,0.000000,CPTY_A,1.493413
39,2017-08-18,14,485335.704123,0.000000,CPTY_A,1.531769
40,2017-09-01,14,485552.018100,285132.887188,CPTY_A,1.570125
41,2017-09-15,14,453373.052663,0.000000,CPTY_A,1.608481
42,2017-09-29,14,453036.156419,0.000000,CPTY_A,1.646837
43,2017-10-13,14,453183.150818,0.000000,CPTY_A,1.685194
44,2017-10-27,17,453112.095463,0.000000,CPTY_A,1.723550
45,2017-11-13,11,453343.511971,0.000000,CPTY_A,1.770125
46,2017-11-24,14,453478.506937,0.000000,CPTY_A,1.800262
47,2017-12-08,14,453486.604164,0.000000,CPTY_A,1.838618
