#Sample,Regressor_0_USD,Regressor_1_EUR-EURIBOR-3M,Regressor_2_USD-LIBOR-3M,RegressionDIM,LocalDIM,ExpectedDIM,ZeroOrderDIM,DeltaNPV,SimpleDIM
0,0.606129,0.000592,0.017568,1540973.211132,1361405.381294,1555888.287289,1766524.700426,59030.491447,1052986.550330
1,0.618518,0.008738,0.024133,861869.626970,1366236.619911,1555888.287289,1766524.700426,-579177.689322,1052986.550330
2,0.650699,0.002474,-0.019488,2429066.565357,1380896.400498,1555888.287289,1766524.700426,972218.338827,1052986.550330
3,0.656742,0.001938,0.039093,0.000000,1384017.088232,1555888.287289,1766524.700426,-636796.936516,1052986.550330
4,0.675980,0.001672,0.025430,1026435.375914,1394796.504166,1555888.287289,1766524.700426,-171977.954454,1052986.550330
5,0.681373,-0.004742,0.020056,843865.419730,1398058.260550,1555888.287289,1766524.700426,-523413.742453,1052986.550330
6,0.683021,-0.007296,0.009207,1488666.249797,1399077.100610,1555888.287289,1766524.700426,-74634.428536,1052986.550330
7,0.713762,-0.004144,0.025154,0.000000,1420035.466056,1555888.287289,1766524.700426,-433817.076378,1052986.550330
8,0.717537,0.013728,-0.001640,0.000000,1422877.003547,1555888.287289,1766524.700426,699092.687018,1052986.550330
9,0.723375,-0.005186,0.005290,1748629.649290,1427390.874028,1555888.287289,1766524.700426,369642.573068,1052986.550330
10,0.726163,-0.003072,0.014554,1418136.767379,1429599.645275,1555888.287289,1766524.700426,-470948.897955,1052986.550330
11,0.742331,-0.002723,0.010691,1601633.290790,1443087.759249,1555888.287289,1766524.700426,-378009.217304,1052986.550330
12,0.754573,-0.005844,0.020319,574016.424473,1454099.638712,1555888.287289,1766524.700426,646685.691786,1052986.550330
13,0.758140,0.011767,0.036524,960294.614979,1457441.072858,1555888.287289,1766524.700426,1138339.429324,1052986.550330
14,0.762021,0.000050,0.020717,1346771.734107,1461145.859555,1555888.287289,1766524.700426,399905.076233,1052986.550330
15,0.763840,-0.001981,0.034077,0.000000,1462908.007671,1555888.287289,1766524.700426,941764.244949,1052986.550330
16,0.772795,0.014273,0.023776,503860.266385,1471815.144082,1555888.287289,1766524.700426,662760.778487,1052986.550330
17,0.781542,0.007100,-0.004153,1349221.516795,1480899.952340,1555888.287289,1766524.700426,282149.864791,1052986.550330
18,0.813004,0.017129,0.024335,0.000000,1516804.017369,1555888.287289,1766524.700426,123927.237946,1052986.550330
19,0.828822,0.001676,0.033845,1311257.517758,1536816.854707,1555888.287289,1766524.700426,886198.984228,1052986.550330
20,0.835434,0.021493,0.013419,0.000000,1545579.755206,1555888.287289,1766524.700426,389953.636423,1052986.550330
21,0.837198,0.016961,0.028563,820616.268255,1547956.391162,1555888.287289,1766524.700426,305384.277060,1052986.550330
22,0.841775,0.011612,0.015466,1207212.517731,1554204.195061,1555888.287289,1766524.700426,-754450.081831,1052986.550330
23,0.849614,0.002074,0.007672,1743017.759322,1565165.560590,1555888.287289,1766524.700426,21145.640472,1052986.550330
24,0.855344,-0.006944,-0.007836,1798049.021649,1573389.970628,1555888.287289,1766524.700426,245794.338699,1052986.550330
25,0.869062,0.011588,0.006025,896865.982056,1593800.908986,1555888.287289,1766524.700426,1034970.841848,1052986.550330
26,0.878907,0.017069,0.047076,1920104.237367,1609077.969297,1555888.287289,1766524.700426,141138.932329,1052986.550330
27,0.885194,0.002848,0.016257,1817509.251156,1619108.432139,1555888.287289,1766524.700426,-11880.890475,1052986.550330
28,0.940475,-0.003249,0.012991,1757532.871622,1716294.704525,1555888.287289,1766524.700426,-299172.452856,1052986.550330
29,0.944605,0.011287,0.043422,2456469.355428,1724183.355350,1555888.287289,1766524.700426,-295807.476052,1052986.550330
30,0.946514,-0.011103,-0.009890,1370469.945864,1727857.019921,1555888.287289,1766524.700426,1124267.976235,1052986.550330
31,0.951727,0.001917,-0.004413,1725074.299994,1737981.384702,1555888.287289,1766524.700426,-207546.182480,1052986.550330
32,1.001948,0.001023,0.042676,2363303.988237,1841881.295624,1555888.287289,1766524.700426,-863079.372276,1052986.550330
33,1.004668,0.002856,-0.006652,1680635.623692,1847815.096817,1555888.287289,1766524.700426,-390327.405637,1052986.550330
34,1.014582,-0.004009,0.017950,1968347.654344,1869682.882584,1555888.287289,1766524.700426,663908.903612,1052986.550330
35,1.023227,-0.002633,0.020490,2131674.295847,1889050.787244,1555888.287289,1766524.700426,-501234.786206,1052986.550330
36,1.035586,0.010393,0.011769,2097520.269822,1917190.356599,1555888.287289,1766524.700426,-356690.926592,1052986.550330
37,1.039807,-0.000319,0.008407,2188850.665058,1926917.077208,1555888.287289,1766524.700426,-366877.901921,1052986.550330
38,1.091315,0.006828,0.013847,2574098.957858,2049558.075360,1555888.287289,1766524.700426,19113.052349,1052986.550330
39,1.099039,-0.006227,0.041749,2178078.449637,2068455.933326,1555888.287289,1766524.700426,-442803.414940,1052986.550330
40,1.106915,0.002865,0.021954,2841999.032596,2087823.965185,1555888.287289,1766524.700426,490909.740483,1052986.550330
41,1.147913,0.024306,0.051496,3846783.213363,2189749.506567,1555888.287289,1766524.700426,957385.806561,1052986.550330
42,1.149985,0.010454,0.012463,2705948.873945,2194927.257892,1555888.287289,1766524.700426,879165.546576,1052986.550330
43,1.152329,0.000471,0.003918,2511712.753459,2200788.300701,1555888.287289,1766524.700426,-52279.111410,1052986.550330
44,1.158911,-0.002018,0.020744,2854252.458633,2217244.259646,1555888.287289,1766524.700426,-767057.419542,1052986.550330
45,1.242961,-0.008760,-0.001645,2252104.350204,2424170.598441,1555888.287289,1766524.700426,-2719315.743762,1052986.550330
46,1.249325,0.012304,0.036084,4155810.367094,2439316.549567,1555888.287289,1766524.700426,-3032476.749235,1052986.550330
47,1.252500,0.012356,0.016381,3377179.110077,2446830.774768,1555888.287289,1766524.700426,-834604.588469,1052986.550330
48,1.326640,-0.001874,-0.006400,2782451.466417,2611796.583632,1555888.287289,1766524.700426,937589.531206,1052986.550330
49,1.676543,-0.020823,-0.005646,2957326.546017,2698851.058089,1555888.287289,1766524.700426,-533880.564613,1052986.550330
