#TradeId,NettingSetId,CVA,DVA,FBA,FCA,FBAexOwnSP,FCAexOwnSP,FBAexAllSP,FCAexAllSP,COLVA,MVA,OurKVACCR,TheirKVACCR,OurKVACVA,TheirKVACVA,CollateralFloor,AllocatedCVA,AllocatedDVA,AllocationMethod,BaselEPE,BaselEEPE
,CPTY_A,170720.11,203129.42,100762.77,-18337.24,110512.89,-20146.23,116833.12,-21318.40,0.00,-8680.63,0.00,0.00,0.00,0.00,0.00,170720.11,203129.42,Marginal,999527.58,1022749.25
Swap_2,CPTY_A,170720.11,203129.42,100762.77,-18337.24,110512.89,-20146.23,116833.12,-21318.40,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,170720.11,203129.42,Marginal,999527.58,1022749.25
