#TradeId,TradeType,Maturity,MaturityTime,StartDate,EndDate,NPV(t0),NPV(asof=t0;mkt=t1),NPV(asof=t1;mkt=t0),NPV(t1;portfolio=t0),NPV(t1),PeriodCashFlow,New,Matured,Terminated,Amendments,Theta,HypotheticalCleanPnL,CleanPnL,DirtyPnL,Currency
SwapLeg,Swap,2024-02-01,1.002508,2023-01-31,2023-02-14,47640.849246,47618.335691,47725.150117,47703.429343,23851.714671,0.000000,0.000000,0.000000,0.000000,-23851.714671,84.300871,-22.513555,-23789.134575,-23789.134575,USD
SwapLegFlow,Swap,2024-02-05,1.013437,2023-01-31,2023-02-14,97311.809777,97288.780575,47568.552161,47546.661549,0.000000,49861.111111,0.000000,0.000000,97311.809777,0.000000,117.853495,-23.029202,-47450.698666,-97311.809777,USD
SwapLegFlow2,Swap,2024-02-05,0.975080,2023-01-31,2023-02-14,0.000000,0.000000,0.000000,0.000000,47546.661549,0.000000,47546.661549,0.000000,0.000000,0.000000,0.000000,0.000000,47546.661549,47546.661549,USD
