#Scenario,TradeId,Factor,Up/Down,Base NPV,ShiftSize_1,ShiftSize_2,Scenario NPV,Difference
parallel_rates,CAP_EUR,IndexCurve/EUR-EURIBOR-6M/6/2Y,Up,-20167.55,0.000100,#N/A,-20161.49,6.05
parallel_rates,CAP_EUR,IndexCurve/EUR-EURIBOR-6M/7/3Y,Up,-20167.55,0.000100,#N/A,-20154.87,12.68
parallel_rates,CAP_EUR,IndexCurve/EUR-EURIBOR-6M/8/4Y,Up,-20167.55,0.000100,#N/A,-20152.86,14.68
parallel_rates,CAP_EUR,IndexCurve/EUR-EURIBOR-6M/9/5Y,Up,-20167.55,0.000100,#N/A,-20140.25,27.29
parallel_rates,CAP_EUR,IndexCurve/EUR-EURIBOR-6M/10/7Y,Up,-20167.55,0.000100,#N/A,-20125.22,42.33
parallel_rates,CAP_EUR,IndexCurve/EUR-EURIBOR-6M/11/10Y,Up,-20167.55,0.000100,#N/A,-20419.85,-252.31
parallel_rates,CAP_EUR,IndexCurve/EUR-EURIBOR-6M/12/15Y,Up,-20167.55,0.000100,#N/A,-20168.35,-0.81
parallel_rates,CAP_EUR,IndexCurve/EUR-EURIBOR-6M/3/6M,Down,-20167.55,0.000100,#N/A,-20167.57,-0.02
parallel_rates,CAP_EUR,IndexCurve/EUR-EURIBOR-6M/4/9M,Down,-20167.55,0.000100,#N/A,-20167.55,0.00
parallel_rates,CAP_EUR,IndexCurve/EUR-EURIBOR-6M/5/1Y,Down,-20167.55,0.000100,#N/A,-20168.91,-1.37
parallel_rates,CAP_EUR,IndexCurve/EUR-EURIBOR-6M/6/2Y,Down,-20167.55,0.000100,#N/A,-20173.90,-6.35
parallel_rates,CAP_EUR,IndexCurve/EUR-EURIBOR-6M/7/3Y,Down,-20167.55,0.000100,#N/A,-20181.37,-13.82
parallel_rates,CAP_EUR,IndexCurve/EUR-EURIBOR-6M/8/4Y,Down,-20167.55,0.000100,#N/A,-20184.87,-17.32
parallel_rates,CAP_EUR,IndexCurve/EUR-EURIBOR-6M/9/5Y,Down,-20167.55,0.000100,#N/A,-20198.40,-30.85
parallel_rates,CAP_EUR,IndexCurve/EUR-EURIBOR-6M/10/7Y,Down,-20167.55,0.000100,#N/A,-20214.35,-46.80
parallel_rates,CAP_EUR,IndexCurve/EUR-EURIBOR-6M/11/10Y,Down,-20167.55,0.000100,#N/A,-19919.08,248.46
parallel_rates,CAP_EUR,IndexCurve/EUR-EURIBOR-6M/12/15Y,Down,-20167.55,0.000100,#N/A,-20166.74,0.81
parallel_rates,CAP_EUR,OptionletVolatility/EUR/3/1Y/0.04,Up,-20167.55,0.000000,#N/A,-20170.25,-2.71
parallel_rates,CAP_EUR,OptionletVolatility/EUR/8/2Y/0.04,Up,-20167.55,0.000100,#N/A,-20179.31,-11.77
parallel_rates,CAP_EUR,OptionletVolatility/EUR/13/3Y/0.04,Up,-20167.55,0.000000,#N/A,-20213.34,-45.79
parallel_rates,CAP_EUR,OptionletVolatility/EUR/18/5Y/0.04,Up,-20167.55,0.000100,#N/A,-20276.66,-109.12
parallel_rates,CAP_EUR,OptionletVolatility/EUR/23/7Y/0.04,Up,-20167.55,0.000100,#N/A,-20367.20,-199.65
parallel_rates,CAP_EUR,OptionletVolatility/EUR/28/10Y/0.04,Up,-20167.55,0.000000,#N/A,-20279.44,-111.90
parallel_rates,CAP_EUR,OptionletVolatility/EUR/3/1Y/0.04,Down,-20167.55,0.000000,#N/A,-20164.92,2.63
parallel_rates,CAP_EUR,OptionletVolatility/EUR/8/2Y/0.04,Down,-20167.55,0.000100,#N/A,-20156.01,11.54
parallel_rates,CAP_EUR,OptionletVolatility/EUR/13/3Y/0.04,Down,-20167.55,0.000000,#N/A,-20122.23,45.31
parallel_rates,CAP_EUR,OptionletVolatility/EUR/18/5Y/0.04,Down,-20167.55,0.000100,#N/A,-20059.05,108.49
parallel_rates,CAP_EUR,OptionletVolatility/EUR/23/7Y/0.04,Down,-20167.55,0.000100,#N/A,-19968.49,199.06
parallel_rates,CAP_EUR,OptionletVolatility/EUR/28/10Y/0.04,Down,-20167.55,0.000000,#N/A,-20055.92,111.63
parallel_rates,CAP_EUR,DiscountCurve/EUR/0/2W:DiscountCurve/EUR/5/1Y,Cross,-20167.55,0.000100,0.000100,-20167.54,0.00
parallel_rates,CAP_EUR,DiscountCurve/EUR/0/2W:DiscountCurve/EUR/6/2Y,Cross,-20167.55,0.000100,0.000100,-20167.52,0.03
parallel_rates,CAP_EUR,DiscountCurve/EUR/0/2W:DiscountCurve/EUR/7/3Y,Cross,-20167.55,0.000100,0.000100,-20167.41,0.14
parallel_rates,CAP_EUR,DiscountCurve/EUR/0/2W:DiscountCurve/EUR/8/4Y,Cross,-20167.55,0.000100,0.000100,-20167.14,0.40
parallel_rates,CAP_EUR,DiscountCurve/EUR/0/2W:DiscountCurve/EUR/9/5Y,Cross,-20167.55,0.000100,0.000100,-20166.05,1.50
parallel_rates,CAP_EUR,DiscountCurve/EUR/0/2W:DiscountCurve/EUR/10/7Y,Cross,-20167.55,0.000100,0.000100,-20161.65,5.89
parallel_rates,CAP_EUR,DiscountCurve/EUR/0/2W:DiscountCurve/EUR/11/10Y,Cross,-20167.55,0.000100,0.000100,-20160.38,7.16
parallel_rates,CAP_EUR,DiscountCurve/EUR/0/2W:DiscountCurve/EUR/12/15Y,Cross,-20167.55,0.000100,0.000100,-20167.54,0.01
parallel_rates,CAP_EUR,DiscountCurve/EUR/0/2W:IndexCurve/EUR-EURIBOR-6M/3/6M,Cross,-20167.55,0.000100,0.000100,-20167.53,0.02
parallel_rates,CAP_EUR,DiscountCurve/EUR/0/2W:IndexCurve/EUR-EURIBOR-6M/4/9M,Cross,-20167.55,0.000100,0.000100,-20167.54,0.00
parallel_rates,CAP_EUR,DiscountCurve/EUR/0/2W:IndexCurve/EUR-EURIBOR-6M/5/1Y,Cross,-20167.55,0.000100,0.000100,-20166.20,1.34
parallel_rates,CAP_EUR,DiscountCurve/EUR/0/2W:IndexCurve/EUR-EURIBOR-6M/6/2Y,Cross,-20167.55,0.000100,0.000100,-20161.49,6.05
parallel_rates,CAP_EUR,DiscountCurve/EUR/0/2W:IndexCurve/EUR-EURIBOR-6M/7/3Y,Cross,-20167.55,0.000100,0.000100,-20154.87,12.68
parallel_rates,CAP_EUR,DiscountCurve/EUR/0/2W:IndexCurve/EUR-EURIBOR-6M/8/4Y,Cross,-20167.55,0.000100,0.000100,-20152.86,14.68
parallel_rates,CAP_EUR,DiscountCurve/EUR/0/2W:IndexCurve/EUR-EURIBOR-6M/9/5Y,Cross,-20167.55,0.000100,0.000100,-20140.25,27.29
parallel_rates,CAP_EUR,DiscountCurve/EUR/0/2W:IndexCurve/EUR-EURIBOR-6M/10/7Y,Cross,-20167.55,0.000100,0.000100,-20125.22,42.33
parallel_rates,CAP_EUR,DiscountCurve/EUR/0/2W:IndexCurve/EUR-EURIBOR-6M/11/10Y,Cross,-20167.55,0.000100,0.000100,-20419.85,-252.31
parallel_rates,CAP_EUR,DiscountCurve/EUR/0/2W:IndexCurve/EUR-EURIBOR-6M/12/15Y,Cross,-20167.55,0.000100,0.000100,-20168.35,-0.81
parallel_rates,CAP_EUR,DiscountCurve/EUR/1/1M:DiscountCurve/EUR/5/1Y,Cross,-20167.55,0.000100,0.000100,-20167.54,0.00
parallel_rates,CAP_EUR,DiscountCurve/EUR/1/1M:DiscountCurve/EUR/6/2Y,Cross,-20167.55,0.000100,0.000100,-20167.52,0.03
parallel_rates,CAP_EUR,DiscountCurve/EUR/1/1M:DiscountCurve/EUR/7/3Y,Cross,-20167.55,0.000100,0.000100,-20167.41,0.14
parallel_rates,CAP_EUR,DiscountCurve/EUR/1/1M:DiscountCurve/EUR/8/4Y,Cross,-20167.55,0.000100,0.000100,-20167.14,0.40
parallel_rates,CAP_EUR,DiscountCurve/EUR/1/1M:DiscountCurve/EUR/9/5Y,Cross,-20167.55,0.000100,0.000100,-20166.05,1.50
parallel_rates,CAP_EUR,DiscountCurve/EUR/1/1M:DiscountCurve/EUR/10/7Y,Cross,-20167.55,0.000100,0.000100,-20161.65,5.89
parallel_rates,CAP_EUR,DiscountCurve/EUR/1/1M:DiscountCurve/EUR/11/10Y,Cross,-20167.55,0.000100,0.000100,-20160.38,7.16
parallel_rates,CAP_EUR,DiscountCurve/EUR/1/1M:DiscountCurve/EUR/12/15Y,Cross,-20167.55,0.000100,0.000100,-20167.54,0.01
parallel_rates,CAP_EUR,DiscountCurve/EUR/1/1M:IndexCurve/EUR-EURIBOR-6M/3/6M,Cross,-20167.55,0.000100,0.000100,-20167.53,0.02
parallel_rates,CAP_EUR,DiscountCurve/EUR/1/1M:IndexCurve/EUR-EURIBOR-6M/4/9M,Cross,-20167.55,0.000100,0.000100,-20167.54,0.00
parallel_rates,CAP_EUR,DiscountCurve/EUR/1/1M:IndexCurve/EUR-EURIBOR-6M/5/1Y,Cross,-20167.55,0.000100,0.000100,-20166.20,1.34
parallel_rates,CAP_EUR,DiscountCurve/EUR/1/1M:IndexCurve/EUR-EURIBOR-6M/6/2Y,Cross,-20167.55,0.000100,0.000100,-20161.49,6.05
parallel_rates,CAP_EUR,DiscountCurve/EUR/1/1M:IndexCurve/EUR-EURIBOR-6M/7/3Y,Cross,-20167.55,0.000100,0.000100,-20154.87,12.68
parallel_rates,CAP_EUR,DiscountCurve/EUR/1/1M:IndexCurve/EUR-EURIBOR-6M/8/4Y,Cross,-20167.55,0.000100,0.000100,-20152.86,14.68
parallel_rates,CAP_EUR,DiscountCurve/EUR/1/1M:IndexCurve/EUR-EURIBOR-6M/9/5Y,Cross,-20167.55,0.000100,0.000100,-20140.25,27.29
parallel_rates,CAP_EUR,DiscountCurve/EUR/1/1M:IndexCurve/EUR-EURIBOR-6M/10/7Y,Cross,-20167.55,0.000100,0.000100,-20125.22,42.33
parallel_rates,CAP_EUR,DiscountCurve/EUR/1/1M:IndexCurve/EUR-EURIBOR-6M/11/10Y,Cross,-20167.55,0.000100,0.000100,-20419.85,-252.31
parallel_rates,CAP_EUR,DiscountCurve/EUR/1/1M:IndexCurve/EUR-EURIBOR-6M/12/15Y,Cross,-20167.55,0.000100,0.000100,-20168.35,-0.81
parallel_rates,CAP_EUR,DiscountCurve/EUR/2/3M:DiscountCurve/EUR/5/1Y,Cross,-20167.55,0.000100,0.000100,-20167.54,0.00
parallel_rates,CAP_EUR,DiscountCurve/EUR/2/3M:DiscountCurve/EUR/6/2Y,Cross,-20167.55,0.000100,0.000100,-20167.52,0.03
parallel_rates,CAP_EUR,DiscountCurve/EUR/2/3M:DiscountCurve/EUR/7/3Y,Cross,-20167.55,0.000100,0.000100,-20167.41,0.14
parallel_rates,CAP_EUR,DiscountCurve/EUR/2/3M:DiscountCurve/EUR/8/4Y,Cross,-20167.55,0.000100,0.000100,-20167.14,0.40
parallel_rates,CAP_EUR,DiscountCurve/EUR/2/3M:DiscountCurve/EUR/9/5Y,Cross,-20167.55,0.000100,0.000100,-20166.05,1.50
parallel_rates,CAP_EUR,DiscountCurve/EUR/2/3M:DiscountCurve/EUR/10/7Y,Cross,-20167.55,0.000100,0.000100,-20161.65,5.89
parallel_rates,CAP_EUR,DiscountCurve/EUR/2/3M:DiscountCurve/EUR/11/10Y,Cross,-20167.55,0.000100,0.000100,-20160.38,7.16
parallel_rates,CAP_EUR,DiscountCurve/EUR/2/3M:DiscountCurve/EUR/12/15Y,Cross,-20167.55,0.000100,0.000100,-20167.54,0.01
parallel_rates,CAP_EUR,DiscountCurve/EUR/2/3M:IndexCurve/EUR-EURIBOR-6M/3/6M,Cross,-20167.55,0.000100,0.000100,-20167.53,0.02
parallel_rates,CAP_EUR,DiscountCurve/EUR/2/3M:IndexCurve/EUR-EURIBOR-6M/4/9M,Cross,-20167.55,0.000100,0.000100,-20167.54,0.00
parallel_rates,CAP_EUR,DiscountCurve/EUR/2/3M:IndexCurve/EUR-EURIBOR-6M/5/1Y,Cross,-20167.55,0.000100,0.000100,-20166.20,1.34
parallel_rates,CAP_EUR,DiscountCurve/EUR/2/3M:IndexCurve/EUR-EURIBOR-6M/6/2Y,Cross,-20167.55,0.000100,0.000100,-20161.49,6.05
parallel_rates,CAP_EUR,DiscountCurve/EUR/2/3M:IndexCurve/EUR-EURIBOR-6M/7/3Y,Cross,-20167.55,0.000100,0.000100,-20154.87,12.68
parallel_rates,CAP_EUR,DiscountCurve/EUR/2/3M:IndexCurve/EUR-EURIBOR-6M/8/4Y,Cross,-20167.55,0.000100,0.000100,-20152.86,14.68
parallel_rates,CAP_EUR,DiscountCurve/EUR/2/3M:IndexCurve/EUR-EURIBOR-6M/9/5Y,Cross,-20167.55,0.000100,0.000100,-20140.25,27.29
parallel_rates,CAP_EUR,DiscountCurve/EUR/2/3M:IndexCurve/EUR-EURIBOR-6M/10/7Y,Cross,-20167.55,0.000100,0.000100,-20125.22,42.33
parallel_rates,CAP_EUR,DiscountCurve/EUR/2/3M:IndexCurve/EUR-EURIBOR-6M/11/10Y,Cross,-20167.55,0.000100,0.000100,-20419.85,-252.31
parallel_rates,CAP_EUR,DiscountCurve/EUR/2/3M:IndexCurve/EUR-EURIBOR-6M/12/15Y,Cross,-20167.55,0.000100,0.000100,-20168.35,-0.81
parallel_rates,CAP_EUR,DiscountCurve/EUR/3/6M:DiscountCurve/EUR/5/1Y,Cross,-20167.55,0.000100,0.000100,-20167.54,0.00
parallel_rates,CAP_EUR,DiscountCurve/EUR/3/6M:DiscountCurve/EUR/6/2Y,Cross,-20167.55,0.000100,0.000100,-20167.52,0.03
parallel_rates,CAP_EUR,DiscountCurve/EUR/3/6M:DiscountCurve/EUR/7/3Y,Cross,-20167.55,0.000100,0.000100,-20167.41,0.14
parallel_rates,CAP_EUR,DiscountCurve/EUR/3/6M:DiscountCurve/EUR/8/4Y,Cross,-20167.55,0.000100,0.000100,-20167.14,0.40
parallel_rates,CAP_EUR,DiscountCurve/EUR/3/6M:DiscountCurve/EUR/9/5Y,Cross,-20167.55,0.000100,0.000100,-20166.05,1.50
parallel_rates,CAP_EUR,DiscountCurve/EUR/3/6M:DiscountCurve/EUR/10/7Y,Cross,-20167.55,0.000100,0.000100,-20161.65,5.89
parallel_rates,CAP_EUR,DiscountCurve/EUR/3/6M:DiscountCurve/EUR/11/10Y,Cross,-20167.55,0.000100,0.000100,-20160.38,7.16
parallel_rates,CAP_EUR,DiscountCurve/EUR/3/6M:DiscountCurve/EUR/12/15Y,Cross,-20167.55,0.000100,0.000100,-20167.54,0.01
parallel_rates,CAP_EUR,DiscountCurve/EUR/3/6M:IndexCurve/EUR-EURIBOR-6M/3/6M,Cross,-20167.55,0.000100,0.000100,-20167.53,0.02
parallel_rates,CAP_EUR,DiscountCurve/EUR/3/6M:IndexCurve/EUR-EURIBOR-6M/4/9M,Cross,-20167.55,0.000100,0.000100,-20167.54,0.00
parallel_rates,CAP_EUR,DiscountCurve/EUR/3/6M:IndexCurve/EUR-EURIBOR-6M/5/1Y,Cross,-20167.55,0.000100,0.000100,-20166.20,1.34
parallel_rates,CAP_EUR,DiscountCurve/EUR/3/6M:IndexCurve/EUR-EURIBOR-6M/6/2Y,Cross,-20167.55,0.000100,0.000100,-20161.49,6.05
parallel_rates,CAP_EUR,DiscountCurve/EUR/3/6M:IndexCurve/EUR-EURIBOR-6M/7/3Y,Cross,-20167.55,0.000100,0.000100,-20154.87,12.68
parallel_rates,CAP_EUR,DiscountCurve/EUR/3/6M:IndexCurve/EUR-EURIBOR-6M/8/4Y,Cross,-20167.55,0.000100,0.000100,-20152.86,14.68
parallel_rates,CAP_EUR,DiscountCurve/EUR/3/6M:IndexCurve/EUR-EURIBOR-6M/9/5Y,Cross,-20167.55,0.000100,0.000100,-20140.25,27.29
parallel_rates,CAP_EUR,DiscountCurve/EUR/3/6M:IndexCurve/EUR-EURIBOR-6M/10/7Y,Cross,-20167.55,0.000100,0.000100,-20125.22,42.33
parallel_rates,CAP_EUR,DiscountCurve/EUR/3/6M:IndexCurve/EUR-EURIBOR-6M/11/10Y,Cross,-20167.55,0.000100,0.000100,-20419.85,-252.31
parallel_rates,CAP_EUR,DiscountCurve/EUR/3/6M:IndexCurve/EUR-EURIBOR-6M/12/15Y,Cross,-20167.55,0.000100,0.000100,-20168.35,-0.81
parallel_rates,CAP_EUR,DiscountCurve/EUR/4/9M:DiscountCurve/EUR/5/1Y,Cross,-20167.55,0.000100,0.000100,-20167.54,0.00
parallel_rates,CAP_EUR,DiscountCurve/EUR/4/9M:DiscountCurve/EUR/6/2Y,Cross,-20167.55,0.000100,0.000100,-20167.52,0.03
parallel_rates,CAP_EUR,DiscountCurve/EUR/4/9M:DiscountCurve/EUR/7/3Y,Cross,-20167.55,0.000100,0.000100,-20167.41,0.14
parallel_rates,CAP_EUR,DiscountCurve/EUR/4/9M:DiscountCurve/EUR/8/4Y,Cross,-20167.55,0.000100,0.000100,-20167.14,0.40
parallel_rates,CAP_EUR,DiscountCurve/EUR/4/9M:DiscountCurve/EUR/9/5Y,Cross,-20167.55,0.000100,0.000100,-20166.05,1.50
parallel_rates,CAP_EUR,DiscountCurve/EUR/4/9M:DiscountCurve/EUR/10/7Y,Cross,-20167.55,0.000100,0.000100,-20161.65,5.89
parallel_rates,CAP_EUR,DiscountCurve/EUR/4/9M:DiscountCurve/EUR/11/10Y,Cross,-20167.55,0.000100,0.000100,-20160.38,7.16
parallel_rates,CAP_EUR,DiscountCurve/EUR/4/9M:DiscountCurve/EUR/12/15Y,Cross,-20167.55,0.000100,0.000100,-20167.54,0.01
parallel_rates,CAP_EUR,DiscountCurve/EUR/4/9M:IndexCurve/EUR-EURIBOR-6M/3/6M,Cross,-20167.55,0.000100,0.000100,-20167.53,0.02
parallel_rates,CAP_EUR,DiscountCurve/EUR/4/9M:IndexCurve/EUR-EURIBOR-6M/4/9M,Cross,-20167.55,0.000100,0.000100,-20167.54,0.00
parallel_rates,CAP_EUR,DiscountCurve/EUR/4/9M:IndexCurve/EUR-EURIBOR-6M/5/1Y,Cross,-20167.55,0.000100,0.000100,-20166.20,1.34
parallel_rates,CAP_EUR,DiscountCurve/EUR/4/9M:IndexCurve/EUR-EURIBOR-6M/6/2Y,Cross,-20167.55,0.000100,0.000100,-20161.49,6.05
parallel_rates,CAP_EUR,DiscountCurve/EUR/4/9M:IndexCurve/EUR-EURIBOR-6M/7/3Y,Cross,-20167.55,0.000100,0.000100,-20154.87,12.68
parallel_rates,CAP_EUR,DiscountCurve/EUR/4/9M:IndexCurve/EUR-EURIBOR-6M/8/4Y,Cross,-20167.55,0.000100,0.000100,-20152.86,14.68
parallel_rates,CAP_EUR,DiscountCurve/EUR/4/9M:IndexCurve/EUR-EURIBOR-6M/9/5Y,Cross,-20167.55,0.000100,0.000100,-20140.25,27.29
parallel_rates,CAP_EUR,DiscountCurve/EUR/4/9M:IndexCurve/EUR-EURIBOR-6M/10/7Y,Cross,-20167.55,0.000100,0.000100,-20125.22,42.33
parallel_rates,CAP_EUR,DiscountCurve/EUR/4/9M:IndexCurve/EUR-EURIBOR-6M/11/10Y,Cross,-20167.55,0.000100,0.000100,-20419.85,-252.31
parallel_rates,CAP_EUR,DiscountCurve/EUR/4/9M:IndexCurve/EUR-EURIBOR-6M/12/15Y,Cross,-20167.55,0.000100,0.000100,-20168.35,-0.81
parallel_rates,CAP_EUR,DiscountCurve/EUR/5/1Y:DiscountCurve/EUR/6/2Y,Cross,-20167.55,0.000100,0.000100,-20167.52,0.03
parallel_rates,CAP_EUR,DiscountCurve/EUR/5/1Y:DiscountCurve/EUR/7/3Y,Cross,-20167.55,0.000100,0.000100,-20167.41,0.14
parallel_rates,CAP_EUR,DiscountCurve/EUR/5/1Y:DiscountCurve/EUR/8/4Y,Cross,-20167.55,0.000100,0.000100,-20167.14,0.40
parallel_rates,CAP_EUR,DiscountCurve/EUR/5/1Y:DiscountCurve/EUR/9/5Y,Cross,-20167.55,0.000100,0.000100,-20166.05,1.50
parallel_rates,CAP_EUR,DiscountCurve/EUR/5/1Y:DiscountCurve/EUR/10/7Y,Cross,-20167.55,0.000100,0.000100,-20161.65,5.89
parallel_rates,CAP_EUR,DiscountCurve/EUR/5/1Y:DiscountCurve/EUR/11/10Y,Cross,-20167.55,0.000100,0.000100,-20160.38,7.16
parallel_rates,CAP_EUR,DiscountCurve/EUR/5/1Y:DiscountCurve/EUR/12/15Y,Cross,-20167.55,0.000100,0.000100,-20167.54,0.01
parallel_rates,CAP_EUR,DiscountCurve/EUR/5/1Y:DiscountCurve/EUR/13/20Y,Cross,-20167.55,0.000100,0.000100,-20167.54,0.00
parallel_rates,CAP_EUR,DiscountCurve/EUR/5/1Y:DiscountCurve/EUR/14/25Y,Cross,-20167.55,0.000100,0.000100,-20167.54,0.00
parallel_rates,CAP_EUR,DiscountCurve/EUR/5/1Y:DiscountCurve/EUR/15/30Y,Cross,-20167.55,0.000100,0.000100,-20167.54,0.00
parallel_rates,CAP_EUR,DiscountCurve/EUR/5/1Y:IndexCurve/EUR-EONIA/0/2W,Cross,-20167.55,0.000100,0.000100,-20167.54,0.00
parallel_rates,CAP_EUR,DiscountCurve/EUR/5/1Y:IndexCurve/EUR-EONIA/1/1M,Cross,-20167.55,0.000100,0.000100,-20167.54,0.00
parallel_rates,CAP_EUR,DiscountCurve/EUR/5/1Y:IndexCurve/EUR-EONIA/2/3M,Cross,-20167.55,0.000100,0.000100,-20167.54,0.00
parallel_rates,CAP_EUR,DiscountCurve/EUR/5/1Y:IndexCurve/EUR-EONIA/3/6M,Cross,-20167.55,0.000100,0.000100,-20167.54,0.00
parallel_rates,CAP_EUR,DiscountCurve/EUR/5/1Y:IndexCurve/EUR-EONIA/4/9M,Cross,-20167.55,0.000100,0.000100,-20167.54,0.00
parallel_rates,CAP_EUR,DiscountCurve/EUR/5/1Y:IndexCurve/EUR-EONIA/5/1Y,Cross,-20167.55,0.000100,0.000100,-20167.54,0.00
parallel_rates,CAP_EUR,DiscountCurve/EUR/5/1Y:IndexCurve/EUR-EONIA/6/2Y,Cross,-20167.55,0.000100,0.000100,-20167.54,0.00
parallel_rates,CAP_EUR,DiscountCurve/EUR/5/1Y:IndexCurve/EUR-EONIA/7/3Y,Cross,-20167.55,0.000100,0.000100,-20167.54,0.00
parallel_rates,CAP_EUR,DiscountCurve/EUR/5/1Y:IndexCurve/EUR-EONIA/8/4Y,Cross,-20167.55,0.000100,0.000100,-20167.54,0.00
parallel_rates,CAP_EUR,DiscountCurve/EUR/5/1Y:IndexCurve/EUR-EONIA/9/5Y,Cross,-20167.55,0.000100,0.000100,-20167.54,0.00
parallel_rates,CAP_EUR,DiscountCurve/EUR/5/1Y:IndexCurve/EUR-EONIA/10/7Y,Cross,-20167.55,0.000100,0.000100,-20167.54,0.00
parallel_rates,CAP_EUR,DiscountCurve/EUR/5/1Y:IndexCurve/EUR-EONIA/11/10Y,Cross,-20167.55,0.000100,0.000100,-20167.54,0.00
parallel_rates,CAP_EUR,DiscountCurve/EUR/5/1Y:IndexCurve/EUR-EONIA/12/15Y,Cross,-20167.55,0.000100,0.000100,-20167.54,0.00
parallel_rates,CAP_EUR,DiscountCurve/EUR/5/1Y:IndexCurve/EUR-EONIA/13/20Y,Cross,-20167.55,0.000100,0.000100,-20167.54,0.00
parallel_rates,CAP_EUR,DiscountCurve/EUR/5/1Y:IndexCurve/EUR-EONIA/14/25Y,Cross,-20167.55,0.000100,0.000100,-20167.54,0.00
parallel_rates,CAP_EUR,DiscountCurve/EUR/5/1Y:IndexCurve/EUR-EONIA/15/30Y,Cross,-20167.55,0.000100,0.000100,-20167.54,0.00
parallel_rates,CAP_EUR,DiscountCurve/EUR/5/1Y:IndexCurve/EUR-EURIBOR-1M/0/2W,Cross,-20167.55,0.000100,0.000100,-20167.54,0.00
parallel_rates,CAP_EUR,DiscountCurve/EUR/5/1Y:IndexCurve/EUR-EURIBOR-1M/1/1M,Cross,-20167.55,0.000100,0.000100,-20167.54,0.00
parallel_rates,CAP_EUR,DiscountCurve/EUR/5/1Y:IndexCurve/EUR-EURIBOR-1M/2/3M,Cross,-20167.55,0.000100,0.000100,-20167.54,0.00
parallel_rates,CAP_EUR,DiscountCurve/EUR/5/1Y:IndexCurve/EUR-EURIBOR-1M/3/6M,Cross,-20167.55,0.000100,0.000100,-20167.54,0.00
parallel_rates,CAP_EUR,DiscountCurve/EUR/5/1Y:IndexCurve/EUR-EURIBOR-1M/4/9M,Cross,-20167.55,0.000100,0.000100,-20167.54,0.00
parallel_rates,CAP_EUR,DiscountCurve/EUR/5/1Y:IndexCurve/EUR-EURIBOR-1M/5/1Y,Cross,-20167.55,0.000100,0.000100,-20167.54,0.00
parallel_rates,CAP_EUR,DiscountCurve/EUR/5/1Y:IndexCurve/EUR-EURIBOR-1M/6/2Y,Cross,-20167.55,0.000100,0.000100,-20167.54,0.00
parallel_rates,CAP_EUR,DiscountCurve/EUR/5/1Y:IndexCurve/EUR-EURIBOR-1M/7/3Y,Cross,-20167.55,0.000100,0.000100,-20167.54,0.00
parallel_rates,CAP_EUR,DiscountCurve/EUR/5/1Y:IndexCurve/EUR-EURIBOR-1M/8/4Y,Cross,-20167.55,0.000100,0.000100,-20167.54,0.00
