#Scenario,TradeId,Factor,Up/Down,Base NPV,ShiftSize_1,ShiftSize_2,Scenario NPV,Difference
parallel_rates,CAP_EUR,DiscountCurve/EUR/5/1Y,Up,-20167.55,0.000100,#N/A,-20167.54,0.00
parallel_rates,CAP_EUR,DiscountCurve/EUR/6/2Y,Up,-20167.55,0.000100,#N/A,-20167.52,0.03
parallel_rates,CAP_EUR,DiscountCurve/EUR/7/3Y,Up,-20167.55,0.000100,#N/A,-20167.41,0.14
parallel_rates,CAP_EUR,DiscountCurve/EUR/8/4Y,Up,-20167.55,0.000100,#N/A,-20167.14,0.40
parallel_rates,CAP_EUR,DiscountCurve/EUR/9/5Y,Up,-20167.55,0.000100,#N/A,-20166.05,1.50
parallel_rates,CAP_EUR,DiscountCurve/EUR/10/7Y,Up,-20167.55,0.000100,#N/A,-20161.65,5.89
parallel_rates,CAP_EUR,DiscountCurve/EUR/11/10Y,Up,-20167.55,0.000100,#N/A,-20160.38,7.16
parallel_rates,CAP_EUR,DiscountCurve/EUR/12/15Y,Up,-20167.55,0.000100,#N/A,-20167.54,0.01
parallel_rates,CAP_EUR,DiscountCurve/EUR/5/1Y,Down,-20167.55,0.000100,#N/A,-20167.55,0.00
parallel_rates,CAP_EUR,DiscountCurve/EUR/6/2Y,Down,-20167.55,0.000100,#N/A,-20167.57,-0.03
parallel_rates,CAP_EUR,DiscountCurve/EUR/7/3Y,Down,-20167.55,0.000100,#N/A,-20167.68,-0.14
parallel_rates,CAP_EUR,DiscountCurve/EUR/8/4Y,Down,-20167.55,0.000100,#N/A,-20167.95,-0.40
parallel_rates,CAP_EUR,DiscountCurve/EUR/9/5Y,Down,-20167.55,0.000100,#N/A,-20169.04,-1.50
parallel_rates,CAP_EUR,DiscountCurve/EUR/10/7Y,Down,-20167.55,0.000100,#N/A,-20173.44,-5.89
parallel_rates,CAP_EUR,DiscountCurve/EUR/11/10Y,Down,-20167.55,0.000100,#N/A,-20174.71,-7.17
parallel_rates,CAP_EUR,DiscountCurve/EUR/12/15Y,Down,-20167.55,0.000100,#N/A,-20167.55,-0.01
parallel_rates,CAP_EUR,IndexCurve/EUR-EURIBOR-6M/3/6M,Up,-20167.55,0.000100,#N/A,-20167.53,0.02
parallel_rates,CAP_EUR,IndexCurve/EUR-EURIBOR-6M/4/9M,Up,-20167.55,0.000100,#N/A,-20167.54,0.00
parallel_rates,CAP_EUR,IndexCurve/EUR-EURIBOR-6M/5/1Y,Up,-20167.55,0.000100,#N/A,-20166.20,1.34
