#ParKey,BaseParRate,ScenarioParRate
DiscountCurve/USD/0,0.028022000000,0.028122000000
DiscountCurve/USD/1,0.029191171917,0.029291171917
DiscountCurve/USD/2,0.028416168189,0.028516168189
DiscountCurve/USD/3,0.028117752710,0.028217752710
DiscountCurve/USD/4,0.027797000000,0.027897000000
DiscountCurve/USD/5,0.027422000000,0.027522000000
DiscountCurve/USD/6,0.026822000000,0.026922000000
DiscountCurve/USD/7,0.025972000000,0.026072000000
DiscountCurve/USD/8,0.025222000000,0.025322000000
DiscountCurve/USD/9,0.023272000000,0.023372000000
DiscountCurve/USD/10,0.022472000000,0.022572000000
DiscountCurve/USD/11,0.022422000000,0.022522000000
DiscountCurve/USD/12,0.024333994761,0.024433994761
DiscountCurve/USD/13,0.024533391871,0.024633391871
DiscountCurve/USD/14,0.025102434832,0.025202434832
DiscountCurve/USD/15,0.025769044377,0.025869044377
DiscountCurve/USD/16,0.026502629197,0.026602629197
DiscountCurve/USD/17,0.027157999182,0.027257999182
DiscountCurve/USD/18,0.027777917919,0.027877917919
DiscountCurve/USD/19,0.028354278321,0.028454278321
DiscountCurve/USD/20,0.028966942590,0.029066942590
DiscountCurve/USD/21,0.030019401672,0.030119401672
DiscountCurve/USD/22,0.031309405290,0.031409405290
DiscountCurve/USD/23,0.032439515044,0.032539515044
DiscountCurve/USD/24,0.032630292339,0.032730292339
DiscountCurve/USD/25,0.032449904760,0.032549904760
DiscountCurve/USD/26,0.031399839331,0.031499839331
DiscountCurve/USD/27,0.030339821807,0.030439821807
IndexCurve/USD-SOFR/0,0.028022000000,0.028122000000
IndexCurve/USD-SOFR/1,0.029191171917,0.029291171917
IndexCurve/USD-SOFR/2,0.028416168189,0.028516168189
IndexCurve/USD-SOFR/3,0.028117752710,0.028217752710
IndexCurve/USD-SOFR/4,0.027797000000,0.027897000000
IndexCurve/USD-SOFR/5,0.027422000000,0.027522000000
IndexCurve/USD-SOFR/6,0.026822000000,0.026922000000
IndexCurve/USD-SOFR/7,0.025972000000,0.026072000000
IndexCurve/USD-SOFR/8,0.025222000000,0.025322000000
IndexCurve/USD-SOFR/9,0.023272000000,0.023372000000
IndexCurve/USD-SOFR/10,0.022472000000,0.022572000000
IndexCurve/USD-SOFR/11,0.022422000000,0.022522000000
IndexCurve/USD-SOFR/12,0.024333994761,0.024433994761
IndexCurve/USD-SOFR/13,0.024533391871,0.024633391871
IndexCurve/USD-SOFR/14,0.025102434832,0.025202434832
IndexCurve/USD-SOFR/15,0.025769044377,0.025869044377
IndexCurve/USD-SOFR/16,0.026502629197,0.026602629197
IndexCurve/USD-SOFR/17,0.027157999182,0.027257999182
IndexCurve/USD-SOFR/18,0.027777917919,0.027877917919
IndexCurve/USD-SOFR/19,0.028354278321,0.028454278321
IndexCurve/USD-SOFR/20,0.028966942590,0.029066942590
IndexCurve/USD-SOFR/21,0.030019401672,0.030119401672
IndexCurve/USD-SOFR/22,0.031309405290,0.031409405290
IndexCurve/USD-SOFR/23,0.032439515044,0.032539515044
IndexCurve/USD-SOFR/24,0.032630292339,0.032730292339
IndexCurve/USD-SOFR/25,0.032449904760,0.032549904760
IndexCurve/USD-SOFR/26,0.031399839331,0.031499839331
IndexCurve/USD-SOFR/27,0.030339821807,0.030439821807
