#Sample,Regressor_0_USD,Regressor_1_USD-LIBOR-3M,RegressionDIM,LocalDIM,ExpectedDIM,ZeroOrderDIM,DeltaNPV,SimpleDIM
0,0.606129,0.017568,347375.919891,508152.857408,566120.927011,583224.813631,77797.481584,518679.175907
1,0.618518,0.024133,323535.885105,511893.499432,566120.927011,583224.813631,-137227.004863,518679.175907
2,0.650699,-0.019488,558570.930757,522008.561569,566120.927011,583224.813631,-74668.049827,518679.175907
3,0.656742,0.039093,277562.510703,523971.897792,566120.927011,583224.813631,80627.698819,518679.175907
4,0.675980,0.025430,387378.387686,530356.757438,566120.927011,583224.813631,68101.819139,518679.175907
5,0.681373,0.020056,420553.116594,532182.659765,566120.927011,583224.813631,-204793.295047,518679.175907
6,0.683021,0.009207,472039.420060,532743.965189,566120.927011,583224.813631,405512.855836,518679.175907
7,0.713762,0.025154,429574.477762,543477.577607,566120.927011,583224.813631,-66406.942017,518679.175907
8,0.717537,-0.001640,545684.171951,544829.971183,566120.927011,583224.813631,-153133.304746,518679.175907
9,0.723375,0.005290,523923.634595,546935.273416,566120.927011,583224.813631,280460.552411,518679.175907
10,0.726163,0.014554,488832.129894,547947.138080,566120.927011,583224.813631,72103.853579,518679.175907
11,0.742331,0.010691,518718.565536,553889.005853,566120.927011,583224.813631,81631.164515,518679.175907
12,0.754573,0.020319,490284.137848,558471.731125,566120.927011,583224.813631,122541.280845,518679.175907
13,0.758140,0.036524,420780.024471,559819.962691,566120.927011,583224.813631,161902.420591,518679.175907
14,0.762021,0.020717,495298.131700,561293.355361,566120.927011,583224.813631,13931.761115,518679.175907
15,0.763840,0.034077,438320.521100,561986.507687,566120.927011,583224.813631,252402.198021,518679.175907
16,0.772795,0.023776,492219.644034,565418.563742,566120.927011,583224.813631,-196873.010557,518679.175907
17,0.781542,-0.004153,603786.618368,568804.144443,566120.927011,583224.813631,47775.610999,518679.175907
18,0.813004,0.024335,524851.269961,581226.534414,566120.927011,583224.813631,7663.063652,518679.175907
19,0.828822,0.033845,500418.213546,587600.003935,566120.927011,583224.813631,-502552.673033,518679.175907
20,0.835434,0.013419,583128.677692,590286.131621,566120.927011,583224.813631,-29463.701019,518679.175907
21,0.837198,0.028563,528652.486509,591004.459640,566120.927011,583224.813631,2729.211599,518679.175907
22,0.841775,0.015466,580721.422687,592872.887818,566120.927011,583224.813631,-425110.393712,518679.175907
23,0.849614,0.007672,613287.743198,596084.013983,566120.927011,583224.813631,87191.359502,518679.175907
24,0.855344,-0.007836,666928.201776,598440.308842,566120.927011,583224.813631,-191937.400797,518679.175907
25,0.869062,0.006025,632488.162134,604106.535426,566120.927011,583224.813631,102233.520050,518679.175907
26,0.878907,0.047076,490249.044481,608191.720139,566120.927011,583224.813631,-101606.121821,518679.175907
27,0.885194,0.016257,610167.583127,610807.108032,566120.927011,583224.813631,-2512.989848,518679.175907
28,0.940475,0.012991,659153.598631,633873.156410,566120.927011,583224.813631,-348351.748145,518679.175907
29,0.944605,0.043422,559739.136368,635591.614196,566120.927011,583224.813631,-221602.299303,518679.175907
30,0.946514,-0.009890,730527.012249,636385.053735,566120.927011,583224.813631,422687.618791,518679.175907
31,0.951727,-0.004413,718195.054452,638549.819859,566120.927011,583224.813631,-134172.537024,518679.175907
32,1.001948,0.042676,605777.549201,659124.052610,566120.927011,583224.813631,206794.176383,518679.175907
33,1.004668,-0.006652,756112.492287,660218.979631,566120.927011,583224.813631,392778.224213,518679.175907
34,1.014582,0.017950,692487.228380,664188.102801,566120.927011,583224.813631,-697629.870950,518679.175907
35,1.023227,0.020490,690471.448936,667620.187905,566120.927011,583224.813631,-57292.548565,518679.175907
36,1.035586,0.011769,723484.141311,672474.971901,566120.927011,583224.813631,-40343.134777,518679.175907
37,1.039807,0.008407,735489.310105,674118.419762,566120.927011,583224.813631,319076.791600,518679.175907
38,1.091315,0.013847,751054.052927,693483.638295,566120.927011,583224.813631,560722.220924,518679.175907
39,1.099039,0.041749,675609.764428,696267.137457,566120.927011,583224.813631,99860.880340,518679.175907
40,1.106915,0.021954,737965.679582,699070.341610,566120.927011,583224.813631,190853.496279,518679.175907
41,1.147913,0.051496,677934.834976,713071.183251,566120.927011,583224.813631,234835.954006,518679.175907
42,1.149985,0.012463,788372.449218,713751.589278,566120.927011,583224.813631,421028.231751,518679.175907
43,1.152329,0.003918,811573.392114,714518.475668,566120.927011,583224.813631,351490.062377,518679.175907
44,1.158911,0.020744,771646.876187,716653.240727,566120.927011,583224.813631,409601.236495,518679.175907
45,1.242961,-0.001645,872608.004039,741575.592331,566120.927011,583224.813631,-570875.050121,518679.175907
46,1.249325,0.036084,782496.991922,743290.654049,566120.927011,583224.813631,85171.399548,518679.175907
47,1.252500,0.016381,834219.411842,744137.600937,566120.927011,583224.813631,-388218.284746,518679.175907
48,1.326640,-0.006400,924548.386788,762346.251899,566120.927011,583224.813631,154887.609499,518679.175907
49,1.676543,-0.005646,1077249.656938,768982.866976,566120.927011,583224.813631,-352378.910400,518679.175907
