#Tenor,Date,EUR,GBP,EUR-EONIA,EUR-EURIBOR-3M,EUR-EURIBOR-6M,GBP-LIBOR-3M,GBP-LIBOR-6M,GBP-SONIA,EUHICPXT,UKRPI,CPTY
1M,2020-11-05,1.000412598671252,0.999948167358340,1.000412598671252,1.000438687067164,1.000420829967936,0.999958599291064,0.999934082671421,0.999953289853173,105.151648730252234,294.307580883082892,0.999637053977371
2M,2020-12-07,1.000872850209319,0.999893883667066,1.000872850209319,1.000891727189387,1.000855420856224,0.999915864873234,0.999866043535002,0.999908528915670,105.182518420475802,294.754020781320150,0.999262538190365
3M,2021-01-05,1.001230321123706,0.999740438350262,1.001230321123706,1.001302472004587,1.001249431917392,0.999877138384585,0.999804387066563,0.999871468577245,105.201792049417037,295.276501727340303,0.998923254457905
4M,2021-02-05,1.001642465683264,0.999621166603280,1.001642465683264,1.001807061359992,1.001670787683721,0.999840152474097,0.999738482632266,0.999834903973528,105.208213026488679,295.861357729335282,0.998560699235788
5M,2021-03-05,1.002115254715335,0.999625552055493,1.002115254715335,1.002149155431950,1.002051519493077,0.999782460730693,0.999678959780428,0.999822141228411,105.202951906164969,296.443437747111091,0.998233343106904
6M,2021-04-06,1.002606753964036,0.999557449309272,1.002606753964036,1.002643471419513,1.002486818766064,0.999764972971864,0.999610938003495,0.999809515743220,105.184870485011530,297.147741251581181,0.997859353222654
7M,2021-05-05,1.003033367938008,0.999478127043939,1.003033367938008,1.003144213011530,1.002881472066669,0.999749955854792,0.999651523636644,0.999808365497945,105.155102472075868,297.889515704241489,0.997520545919376
8M,2021-06-07,1.003535446099732,0.999394985168271,1.003535446099732,1.003566901859797,1.003340919277924,0.999715520874994,0.999522153145983,0.999832219935696,105.111660781924627,298.718570383441090,0.997135146503691
9M,2021-07-05,1.003962753286967,0.999346512717930,1.003962753286967,1.004015288033859,1.003717496297784,0.999725244718585,0.999536730299387,0.999850433332439,105.057350000000014,299.581796759970871,0.996808878957117
10M,2021-08-05,1.004319058238278,0.999164230622773,1.004319058238278,1.004528930264758,1.004229040478895,0.999744916044804,0.999480753512956,0.999883410854888,105.087763437958827,300.537177499999984,0.996448466257974
11M,2021-09-06,1.004961363642194,0.999249206691405,1.004961363642194,1.004941377198834,1.004683571974485,0.999755508770937,0.999451002805131,0.999944770173790,105.120851615338537,301.291033603898995,0.996076564028633
1Y,2021-10-05,1.005256980169164,0.999049137753552,1.005256980169164,1.005403021245446,1.005088461969658,0.999823528741081,0.999440915452078,1.000000000000000,105.155420950288544,302.041902663326709,0.995739647529561
1Y1M,2021-11-05,1.005800000240082,0.999069467761315,1.005800000240082,1.005880996397024,1.005494416240711,0.999824219271581,0.999448523793584,1.000067506655994,105.193778132282588,302.839989459469336,0.995379621428684
1Y2M,2021-12-06,1.006370488123642,0.999106774678627,1.006370488123642,1.006357840918178,1.005898651346221,0.999824909802557,0.999456745245554,1.000135017869136,105.233450670227711,303.633949583260005,0.995019725501186
1Y3M,2022-01-05,1.006922881261307,0.999142879473413,1.006922881261307,1.006819518587844,1.006290001343071,0.999825578058794,0.999465233340864,1.000200355640512,105.277085858244348,304.476870001385691,0.994425164472311
1Y4M,2022-02-07,1.007482590076444,0.999089990113639,1.007482590076444,1.007336287654113,1.006797595220162,0.999826313141171,0.999474590500392,1.000275281943734,105.323407260186727,305.342817914977672,0.993534612558490
1Y5M,2022-03-07,1.007950421034165,0.999040047615348,1.007950421034165,1.007775441681151,1.007232695077272,0.999826936847855,0.999482529977176,1.000338860178365,105.367557238525492,306.144898817520811,0.992779618207747
1Y6M,2022-04-05,1.008435189258345,0.998988324088263,1.008435189258345,1.008230481611788,1.007683532442875,0.999827582830187,0.999490753073190,1.000404713324379,105.418999382616349,307.055148750772219,0.991998264594615
1Y7M,2022-05-05,1.008936208794346,0.998913661069419,1.008936208794346,1.008701432212550,1.008080054880722,0.999828251088211,0.999347583307089,1.000490326477731,105.471348344713718,307.958444142778660,0.991190614874814
1Y8M,2022-06-06,1.009470819787879,0.998832414719034,1.009470819787879,1.009204022254657,1.008497843163599,0.999828963897262,0.999194891494246,1.000581655250248,105.528097486420165,308.915185230351540,0.990329846604146
1Y9M,2022-07-05,1.009955555683179,0.998758790921929,1.009955555683179,1.009659710780178,1.008876613352991,0.999829609880904,0.999056534690704,1.000664429151444,105.585589045765616,309.863824447848913,0.989550421050231
1Y10M,2022-08-05,1.010496189689240,0.998680095622664,1.010496189689240,1.010068996081341,1.009281662938386,0.999830300415603,0.998908657224030,1.000743936598521,105.632987252790031,310.867795135667620,0.988717920351524
1Y11M,2022-09-05,1.011039494114501,0.998601406524046,1.011039494114501,1.010473062054898,1.009686875145418,0.999830990950779,0.998760801645752,1.000823450362834,105.681887554988478,311.759282681698153,0.987886120028866
2Y,2022-10-05,1.011565550720025,0.998525261686828,1.011565550720025,1.010864247546017,1.010079170889889,0.999831659211081,0.998617736439874,1.000900405182332,105.730642395541622,312.633962395044080,0.987081818270977
2Y1M,2022-11-07,1.012054554360096,0.998325232112032,1.012054554360096,1.011342115043900,1.010509892630390,0.999784780747021,0.998431950227468,1.000957423233778,105.782503990713380,313.550235239925939,0.986197842649921
2Y2M,2022-12-05,1.012456014479407,0.998149177833341,1.012456014479407,1.011750350724480,1.010875443888061,0.999745006804202,0.998274340546955,1.001005804733716,105.834128302376939,314.449073351604227,0.985448423565267
2Y3M,2023-01-05,1.012900673943995,0.997954296811014,1.012900673943995,1.012202518161895,1.011280315603361,0.999700973213196,0.998099873135967,1.001059372693585,105.888958967595443,315.390491059101294,0.984389120767393
2Y4M,2023-02-06,1.013359882103857,0.997753169213926,1.013359882103857,1.012669483610814,1.011698417785579,0.999655521218075,0.997919809726674,1.001114671659004,105.945301641556838,316.344828702679763,0.983074314180801
2Y5M,2023-03-06,1.013761860018408,0.997577215818312,1.013761860018408,1.013078255093476,1.012064398991407,0.999615752417524,0.997762280891231,1.001163060759580,105.997493230488658,317.217996932873177,0.981925299074037
