#TimeStep,Date,DaysInPeriod,ZeroOrderDIM,AverageDIM,AverageFLOW,SimpleDIM,NettingSet
0,2016-02-19,14,1394149.923621,1379747.048865,0.000000,1285842.648366,CPTY_A
1,2016-03-04,14,1443092.229259,1441531.290855,0.000000,1294486.080575,CPTY_A
2,2016-03-18,14,1453415.139660,1451922.363154,0.000000,1348009.991567,CPTY_A
3,2016-04-01,14,1232845.451505,1229832.230338,0.000000,1068439.378808,CPTY_A
4,2016-04-15,14,1411283.810135,1407170.899492,153898.023125,1385274.407907,CPTY_A
5,2016-04-29,14,1280073.005066,1239737.066790,0.000000,1664169.700024,CPTY_A
6,2016-05-13,14,1381318.365546,1372373.719097,0.000000,1124688.712617,CPTY_A
7,2016-05-27,14,1260100.531381,1257321.927653,0.000000,1291774.372341,CPTY_A
8,2016-06-10,14,1521531.479599,1478580.859534,0.000000,1269155.834217,CPTY_A
9,2016-06-24,14,1528860.539214,1489285.494203,0.000000,1377818.839970,CPTY_A
10,2016-07-08,14,1326488.121165,1319623.261972,135779.598125,1084335.684743,CPTY_A
11,2016-07-22,14,1047728.927347,1002466.926715,0.000000,1000385.002489,CPTY_A
12,2016-08-05,14,1262945.604279,1244435.642168,0.000000,1538874.840762,CPTY_A
13,2016-08-19,14,1472763.388837,1411775.401376,0.000000,1369066.505318,CPTY_A
14,2016-09-02,14,1370257.752008,1354147.561699,0.000000,916889.204721,CPTY_A
15,2016-09-16,14,1241801.668552,1239661.728300,0.000000,948845.620363,CPTY_A
16,2016-09-30,14,1404191.391395,1392556.881885,0.000000,1747712.617671,CPTY_A
17,2016-10-14,14,1319939.817419,1319055.117370,130277.977783,1445317.498906,CPTY_A
18,2016-10-28,17,1209926.933671,1210045.366946,0.000000,1371465.950044,CPTY_A
19,2016-11-14,11,1151508.041727,1153753.220952,0.000000,911788.936197,CPTY_A
20,2016-11-25,14,1452329.479581,1427927.414381,0.000000,1239324.658452,CPTY_A
21,2016-12-09,14,1119237.893620,1079154.381636,0.000000,1084320.285293,CPTY_A
22,2016-12-23,14,1320314.709189,1291509.601644,0.000000,1203083.723533,CPTY_A
23,2017-01-06,14,1297593.200572,1189889.428287,0.000000,1005171.864927,CPTY_A
24,2017-01-20,14,1321435.811911,1293811.597959,118257.354707,1775278.025831,CPTY_A
25,2017-02-03,14,1297065.417254,1259608.109900,0.000000,2101486.369924,CPTY_A
26,2017-02-17,14,1201785.659056,1159857.096343,0.000000,1225216.157336,CPTY_A
27,2017-03-03,14,1106680.798626,1085270.943106,0.000000,1478293.904125,CPTY_A
28,2017-03-17,14,1177947.802182,1168261.411380,0.000000,1087504.780781,CPTY_A
29,2017-03-31,18,961024.910244,962244.920861,0.000000,1017141.453545,CPTY_A
30,2017-04-18,10,989105.062136,959227.330236,113798.850586,1211231.619137,CPTY_A
31,2017-04-28,14,1302780.813959,1292957.513945,0.000000,1359219.631583,CPTY_A
32,2017-05-12,14,1146677.097986,1095737.210253,0.000000,1523869.224640,CPTY_A
33,2017-05-26,14,1274535.871380,1188673.500412,0.000000,1247695.080983,CPTY_A
34,2017-06-09,14,1103495.001880,1067962.279441,0.000000,1119712.156705,CPTY_A
35,2017-06-23,14,1156673.189557,1146168.773750,0.000000,1086664.150083,CPTY_A
36,2017-07-07,14,1190406.817557,1168545.749261,0.000000,1086494.169576,CPTY_A
37,2017-07-21,14,986527.499970,977564.826072,113657.608477,1089133.969658,CPTY_A
38,2017-08-04,14,1260941.430529,1232046.057546,0.000000,1434681.683702,CPTY_A
39,2017-08-18,14,1186805.171741,1171885.258836,0.000000,1369641.548872,CPTY_A
40,2017-09-01,14,1076931.113881,1032814.645059,0.000000,1339980.198342,CPTY_A
41,2017-09-15,14,1220212.357085,1144219.797836,0.000000,1352702.779301,CPTY_A
42,2017-09-29,14,1174345.242686,1103831.749555,0.000000,1430794.664225,CPTY_A
43,2017-10-13,14,1025369.221254,971068.458934,112861.734180,1352974.548356,CPTY_A
44,2017-10-27,17,1107868.895199,1086938.618079,0.000000,948407.381500,CPTY_A
45,2017-11-13,11,1049808.128131,1045582.684672,0.000000,847735.862557,CPTY_A
46,2017-11-24,14,1016407.127282,1007412.218792,0.000000,840390.254078,CPTY_A
47,2017-12-08,14,907272.964473,863410.457063,0.000000,677583.771935,CPTY_A
48,2017-12-22,14,1166252.186083,1156078.117559,0.000000,1284733.512507,CPTY_A
49,2018-01-05,14,1090420.383386,1002071.216138,0.000000,856937.089652,CPTY_A
50,2018-01-19,14,1015830.035094,1005506.435217,111180.628857,901590.777392,CPTY_A
51,2018-02-02,14,1015492.037168,946281.664128,0.000000,1113268.182872,CPTY_A
52,2018-02-16,14,893823.219195,824688.857434,0.000000,1447879.620880,CPTY_A
53,2018-03-02,14,844546.949275,823235.614046,0.000000,777645.424411,CPTY_A
54,2018-03-16,18,848778.807416,807429.979395,0.000000,731270.665706,CPTY_A
55,2018-04-03,10,956872.752884,934052.143523,0.000000,717279.860817,CPTY_A
56,2018-04-13,14,1013288.915795,982351.957931,95882.270107,1237416.603589,CPTY_A
57,2018-04-27,14,889844.166766,868714.324536,0.000000,891117.657695,CPTY_A
58,2018-05-11,14,957409.034697,886941.442442,0.000000,934248.665596,CPTY_A
59,2018-05-25,14,848185.174024,828557.657413,0.000000,1039882.452051,CPTY_A
60,2018-06-08,14,819248.167851,807846.468706,0.000000,771230.734756,CPTY_A
61,2018-06-22,14,920375.535088,877328.418211,0.000000,722380.569978,CPTY_A
62,2018-07-06,14,999122.233156,998256.731145,0.000000,890781.574947,CPTY_A
63,2018-07-20,14,823779.236188,823123.173580,89438.879902,698286.425787,CPTY_A
64,2018-08-03,14,825168.002469,818445.309882,0.000000,676689.820178,CPTY_A
65,2018-08-17,14,709605.898262,657636.382546,0.000000,617822.617707,CPTY_A
66,2018-08-31,14,975231.646455,862069.986598,0.000000,1406877.511276,CPTY_A
67,2018-09-14,14,853549.475667,794377.512376,0.000000,1007020.319925,CPTY_A
68,2018-09-28,14,927998.326305,821277.034021,0.000000,1054796.811669,CPTY_A
69,2018-10-12,14,848864.283093,824860.817684,87642.444331,790709.846925,CPTY_A
70,2018-10-26,14,1012810.146516,922209.435216,0.000000,1388113.106626,CPTY_A
71,2018-11-09,14,864874.361871,862126.998616,0.000000,748120.107292,CPTY_A
72,2018-11-23,14,765813.041376,719400.407153,0.000000,635762.730203,CPTY_A
73,2018-12-07,14,933585.869941,902682.404629,0.000000,800735.361635,CPTY_A
74,2018-12-21,14,805740.697200,748347.869377,0.000000,1007719.200951,CPTY_A
75,2019-01-04,14,756329.017768,755049.093279,0.000000,652040.843504,CPTY_A
76,2019-01-18,14,778390.279008,775833.331162,84239.185176,700278.823078,CPTY_A
77,2019-02-01,14,785232.999968,774678.852094,0.000000,702336.399305,CPTY_A
78,2019-02-15,14,763039.405966,733621.471313,0.000000,898458.687973,CPTY_A
79,2019-03-01,14,712829.433761,700479.865389,0.000000,878259.838151,CPTY_A
80,2019-03-15,14,711926.360523,665616.715728,0.000000,1031166.129311,CPTY_A
81,2019-03-29,14,760792.983889,695447.622371,0.000000,1218255.735763,CPTY_A
82,2019-04-12,14,660232.434812,660216.578225,65060.833760,767157.783522,CPTY_A
83,2019-04-26,14,621082.333073,620673.657167,0.000000,594914.132172,CPTY_A
84,2019-05-10,14,702316.043413,667864.522560,0.000000,744103.770143,CPTY_A
85,2019-05-24,14,833446.552746,802847.045232,0.000000,997577.420385,CPTY_A
86,2019-06-07,14,773540.455488,763386.401535,0.000000,840677.833965,CPTY_A
87,2019-06-21,14,709984.682621,686327.044157,0.000000,750337.800735,CPTY_A
88,2019-07-05,14,677675.059948,645921.155753,0.000000,937801.974604,CPTY_A
89,2019-07-19,14,565565.026996,560236.936434,56101.381177,698263.209005,CPTY_A
90,2019-08-02,14,726601.404320,715355.584897,0.000000,424596.048251,CPTY_A
91,2019-08-16,14,704368.043391,625828.640422,0.000000,766885.130415,CPTY_A
