#Sample,Regressor_0_USD,Regressor_1_USD-LIBOR-3M,RegressionDIM,LocalDIM,ExpectedDIM,ZeroOrderDIM,DeltaNPV,SimpleDIM
0,0.436324,0.009921,0.000000,568924.460149,653182.958470,686717.490665,-232904.511245,705967.607295
1,0.447154,0.006315,0.000000,0.000000,653182.958470,686717.490665,14964.485721,705967.607295
2,0.452281,0.004199,109740.263991,0.000000,653182.958470,686717.490665,213581.443712,705967.607295
3,0.457696,0.036542,0.000000,0.000000,653182.958470,686717.490665,-167458.706650,705967.607295
4,0.459985,0.013658,0.000000,574004.617483,653182.958470,686717.490665,-5449.623393,705967.607295
5,0.461522,0.037421,0.000000,0.000000,653182.958470,686717.490665,-32594.624802,705967.607295
6,0.475069,0.011123,98571.034552,0.000000,653182.958470,686717.490665,-75549.423181,705967.607295
7,0.478657,0.022809,0.000000,0.000000,653182.958470,686717.490665,-71499.252503,705967.607295
8,0.482118,0.046401,0.000000,0.000000,653182.958470,686717.490665,-50387.198446,705967.607295
9,0.482655,0.021015,0.000000,0.000000,653182.958470,686717.490665,4222.409188,705967.607295
10,0.494709,0.012529,168896.883005,0.000000,653182.958470,686717.490665,51273.679332,705967.607295
11,0.494870,0.009280,208714.261140,0.000000,653182.958470,686717.490665,-39912.996812,705967.607295
12,0.499521,0.046769,0.000000,0.000000,653182.958470,686717.490665,-14731.917316,705967.607295
13,0.508324,0.017041,159443.086248,0.000000,653182.958470,686717.490665,91197.558120,705967.607295
14,0.517967,0.011680,249557.249435,0.000000,653182.958470,686717.490665,119118.500551,705967.607295
15,0.518760,0.037432,0.000000,0.000000,653182.958470,686717.490665,-383436.743271,705967.607295
16,0.518791,-0.005350,375593.796373,0.000000,653182.958470,686717.490665,281051.087273,705967.607295
17,0.521047,0.028901,0.000000,0.000000,653182.958470,686717.490665,-36355.219022,705967.607295
18,0.522705,0.011121,266308.281083,0.000000,653182.958470,686717.490665,74049.159796,705967.607295
19,0.524086,0.018993,191733.615861,0.000000,653182.958470,686717.490665,-97702.801066,705967.607295
20,0.533361,0.022541,180233.287398,0.000000,653182.958470,686717.490665,198834.829872,705967.607295
21,0.534184,0.075303,0.000000,0.000000,653182.958470,686717.490665,-16483.962153,705967.607295
22,0.534214,0.019158,221403.378632,0.000000,653182.958470,686717.490665,115530.720372,705967.607295
23,0.536182,0.039082,0.000000,0.000000,653182.958470,686717.490665,-267791.367720,705967.607295
24,0.539143,0.022364,201790.977105,592331.709068,653182.958470,686717.490665,-251676.264193,705967.607295
25,0.540001,0.003984,354559.824359,592542.289879,653182.958470,686717.490665,-17236.445774,705967.607295
26,0.541240,0.022387,208099.091836,0.000000,653182.958470,686717.490665,135595.926339,705967.607295
27,0.542772,0.037208,0.000000,0.000000,653182.958470,686717.490665,-282891.538817,705967.607295
28,0.546993,0.047872,0.000000,0.000000,653182.958470,686717.490665,237581.678755,705967.607295
29,0.548789,-0.019777,495431.290241,0.000000,653182.958470,686717.490665,519436.068623,705967.607295
30,0.550212,0.023417,223906.627026,0.000000,653182.958470,686717.490665,-82656.990762,705967.607295
31,0.550424,0.028748,161460.267839,0.000000,653182.958470,686717.490665,60344.635976,705967.607295
32,0.552612,-0.003975,422186.490262,0.000000,653182.958470,686717.490665,235533.144050,705967.607295
33,0.554163,0.038625,0.000000,0.000000,653182.958470,686717.490665,-86995.544371,705967.607295
34,0.556140,0.004445,379923.318357,0.000000,653182.958470,686717.490665,-266069.128686,705967.607295
35,0.558480,0.043948,0.000000,0.000000,653182.958470,686717.490665,-455969.045665,705967.607295
36,0.559490,0.005038,382016.135317,0.000000,653182.958470,686717.490665,-93783.653868,705967.607295
37,0.560164,0.014831,319536.596831,0.000000,653182.958470,686717.490665,297998.732938,705967.607295
38,0.560814,0.019800,283298.801087,0.000000,653182.958470,686717.490665,-19404.864989,705967.607295
39,0.563327,0.024583,248309.066197,0.000000,653182.958470,686717.490665,169008.781480,705967.607295
40,0.564056,0.007606,374274.300976,0.000000,653182.958470,686717.490665,302975.617219,705967.607295
41,0.567739,0.033149,168011.892303,0.000000,653182.958470,686717.490665,-128500.157518,705967.607295
42,0.568506,0.025074,257035.805219,0.000000,653182.958470,686717.490665,-271401.656419,705967.607295
43,0.570676,0.012374,356124.507018,0.000000,653182.958470,686717.490665,240580.970709,705967.607295
44,0.571149,0.009633,374085.704438,0.000000,653182.958470,686717.490665,74870.023364,705967.607295
45,0.571569,0.008326,382684.388024,600477.797806,653182.958470,686717.490665,-273957.585742,705967.607295
46,0.572063,0.017461,324631.762842,0.000000,653182.958470,686717.490665,301220.824710,705967.607295
47,0.574648,0.037441,132341.727486,0.000000,653182.958470,686717.490665,-150202.688646,705967.607295
48,0.575853,0.041800,0.000000,0.000000,653182.958470,686717.490665,-280621.042623,705967.607295
49,0.579546,0.026373,272618.595158,0.000000,653182.958470,686717.490665,-165260.111393,705967.607295
50,0.580843,0.033655,206763.565057,0.000000,653182.958470,686717.490665,-158466.790821,705967.607295
51,0.580873,0.032629,217877.848518,0.000000,653182.958470,686717.490665,-336069.758123,705967.607295
52,0.580959,0.048348,0.000000,0.000000,653182.958470,686717.490665,114142.377910,705967.607295
53,0.581502,0.032406,222031.742533,0.000000,653182.958470,686717.490665,-184963.106482,705967.607295
54,0.583826,0.041242,109333.494257,0.000000,653182.958470,686717.490665,-86604.284740,705967.607295
