#TradeId,Factor,Up/Down,Base NPV,ShiftSize_1,ShiftSize_2,Scenario NPV,Difference,Base Currency
CVA,DiscountCurve/EUR/3/6M,Up,111116.13,0.000001,#N/A,111116.13,0.00,EUR
CVA,DiscountCurve/EUR/4/1Y,Up,111116.13,0.000001,#N/A,111116.13,0.00,EUR
CVA,DiscountCurve/EUR/5/2Y,Up,111116.13,0.000001,#N/A,111116.12,0.00,EUR
CVA,DiscountCurve/EUR/6/3Y,Up,111116.13,0.000001,#N/A,111116.12,-0.01,EUR
CVA,DiscountCurve/EUR/7/5Y,Up,111116.13,0.000001,#N/A,111116.08,-0.05,EUR
CVA,DiscountCurve/EUR/8/10Y,Up,111116.13,0.000001,#N/A,111115.86,-0.26,EUR
CVA,DiscountCurve/EUR/9/15Y,Up,111116.13,0.000001,#N/A,111115.50,-0.62,EUR
CVA,DiscountCurve/EUR/10/20Y,Up,111116.13,0.000001,#N/A,111115.51,-0.62,EUR
CVA,IndexCurve/EUR-EONIA/4/1Y,Up,111116.13,0.000001,#N/A,111116.13,0.00,EUR
CVA,IndexCurve/EUR-EONIA/5/2Y,Up,111116.13,0.000001,#N/A,111116.13,0.00,EUR
CVA,IndexCurve/EUR-EONIA/6/3Y,Up,111116.13,0.000001,#N/A,111116.13,0.00,EUR
CVA,IndexCurve/EUR-EONIA/7/5Y,Up,111116.13,0.000001,#N/A,111116.13,0.01,EUR
CVA,IndexCurve/EUR-EONIA/8/10Y,Up,111116.13,0.000001,#N/A,111116.15,0.02,EUR
CVA,IndexCurve/EUR-EONIA/9/15Y,Up,111116.13,0.000001,#N/A,111116.16,0.04,EUR
CVA,IndexCurve/EUR-EONIA/10/20Y,Up,111116.13,0.000001,#N/A,111115.98,-0.15,EUR
CVA,IndexCurve/EUR-EONIA/11/30Y,Up,111116.13,0.000001,#N/A,111116.13,0.00,EUR
CVA,IndexCurve/EUR-EURIBOR-3M/9/15Y,Up,111116.13,0.000001,#N/A,111116.13,0.00,EUR
CVA,IndexCurve/EUR-EURIBOR-3M/10/20Y,Up,111116.13,0.000001,#N/A,111116.12,0.00,EUR
CVA,IndexCurve/EUR-EURIBOR-6M/1/1M,Up,111116.13,0.000001,#N/A,111116.13,0.00,EUR
CVA,IndexCurve/EUR-EURIBOR-6M/2/3M,Up,111116.13,0.000001,#N/A,111116.14,0.02,EUR
CVA,IndexCurve/EUR-EURIBOR-6M/3/6M,Up,111116.13,0.000001,#N/A,111116.14,0.01,EUR
CVA,IndexCurve/EUR-EURIBOR-6M/4/1Y,Up,111116.13,0.000001,#N/A,111116.19,0.06,EUR
CVA,IndexCurve/EUR-EURIBOR-6M/5/2Y,Up,111116.13,0.000001,#N/A,111116.28,0.15,EUR
CVA,IndexCurve/EUR-EURIBOR-6M/6/3Y,Up,111116.13,0.000001,#N/A,111116.44,0.31,EUR
CVA,IndexCurve/EUR-EURIBOR-6M/7/5Y,Up,111116.13,0.000001,#N/A,111117.16,1.04,EUR
CVA,IndexCurve/EUR-EURIBOR-6M/8/10Y,Up,111116.13,0.000001,#N/A,111118.45,2.33,EUR
CVA,IndexCurve/EUR-EURIBOR-6M/9/15Y,Up,111116.13,0.000001,#N/A,111117.84,1.71,EUR
CVA,IndexCurve/EUR-EURIBOR-6M/10/20Y,Up,111116.13,0.000001,#N/A,111098.25,-17.88,EUR
CVA,IndexCurve/EUR-EURIBOR-6M/11/30Y,Up,111116.13,0.000001,#N/A,111116.13,0.00,EUR
CVA,SwaptionVolatility/EUR/8/1Y/15Y/ATM,Up,111116.13,0.000001,#N/A,111116.40,0.27,EUR
CVA,SwaptionVolatility/EUR/9/1Y/20Y/ATM,Up,111116.13,0.000001,#N/A,111117.20,1.08,EUR
CVA,SwaptionVolatility/EUR/19/2Y/15Y/ATM,Up,111116.13,0.000001,#N/A,111116.74,0.62,EUR
CVA,SwaptionVolatility/EUR/20/2Y/20Y/ATM,Up,111116.13,0.000001,#N/A,111117.05,0.93,EUR
CVA,SwaptionVolatility/EUR/30/3Y/15Y/ATM,Up,111116.13,0.000001,#N/A,111116.29,0.16,EUR
CVA,SwaptionVolatility/EUR/31/3Y/20Y/ATM,Up,111116.13,0.000001,#N/A,111116.23,0.11,EUR
CVA,SwaptionVolatility/EUR/41/4Y/15Y/ATM,Up,111116.13,0.000001,#N/A,111118.82,2.69,EUR
CVA,SwaptionVolatility/EUR/42/4Y/20Y/ATM,Up,111116.13,0.000001,#N/A,111116.80,0.67,EUR
CVA,SwaptionVolatility/EUR/51/5Y/12Y/ATM,Up,111116.13,0.000001,#N/A,111116.51,0.39,EUR
CVA,SwaptionVolatility/EUR/52/5Y/15Y/ATM,Up,111116.13,0.000001,#N/A,111116.94,0.81,EUR
CVA,SwaptionVolatility/EUR/61/7Y/10Y/ATM,Up,111116.13,0.000001,#N/A,111116.34,0.22,EUR
CVA,SwaptionVolatility/EUR/62/7Y/12Y/ATM,Up,111116.13,0.000001,#N/A,111118.25,2.13,EUR
CVA,SwaptionVolatility/EUR/63/7Y/15Y/ATM,Up,111116.13,0.000001,#N/A,111117.91,1.79,EUR
CVA,SwaptionVolatility/EUR/71/10Y/7Y/ATM,Up,111116.13,0.000001,#N/A,111116.07,-0.05,EUR
CVA,SwaptionVolatility/EUR/72/10Y/10Y/ATM,Up,111116.13,0.000001,#N/A,111120.26,4.13,EUR
CVA,SwaptionVolatility/EUR/73/10Y/12Y/ATM,Up,111116.13,0.000001,#N/A,111116.32,0.19,EUR
CVA,SwaptionVolatility/EUR/81/12Y/5Y/ATM,Up,111116.13,0.000001,#N/A,111116.42,0.29,EUR
CVA,SwaptionVolatility/EUR/82/12Y/7Y/ATM,Up,111116.13,0.000001,#N/A,111116.22,0.09,EUR
CVA,SwaptionVolatility/EUR/83/12Y/10Y/ATM,Up,111116.13,0.000001,#N/A,111116.24,0.11,EUR
CVA,SwaptionVolatility/EUR/88/15Y/1Y/ATM,Up,111116.13,0.000001,#N/A,111116.15,0.03,EUR
CVA,SwaptionVolatility/EUR/89/15Y/2Y/ATM,Up,111116.13,0.000001,#N/A,111116.29,0.16,EUR
CVA,SwaptionVolatility/EUR/90/15Y/3Y/ATM,Up,111116.13,0.000001,#N/A,111116.46,0.34,EUR
CVA,SwaptionVolatility/EUR/91/15Y/4Y/ATM,Up,111116.13,0.000001,#N/A,111116.88,0.75,EUR
CVA,SwaptionVolatility/EUR/92/15Y/5Y/ATM,Up,111116.13,0.000001,#N/A,111117.98,1.86,EUR
CVA,SwaptionVolatility/EUR/93/15Y/7Y/ATM,Up,111116.13,0.000001,#N/A,111116.41,0.29,EUR
CVA,SwaptionVolatility/EUR/99/20Y/1Y/ATM,Up,111116.13,0.000001,#N/A,111116.24,0.12,EUR
CVA,SwaptionVolatility/EUR/100/20Y/2Y/ATM,Up,111116.13,0.000001,#N/A,111116.37,0.25,EUR
