#Sample,Regressor_0_EUR-EURIBOR-3M,RegressionDIM,LocalDIM,ExpectedDIM,ZeroOrderDIM,DeltaNPV,SimpleDIM
0,-0.020828,398574.853681,304092.291285,279743.932507,281164.244108,-13140.011309,356066.240563
1,-0.011106,363241.507431,304034.677907,279743.932507,281164.244108,-38434.247987,356066.240563
2,-0.008763,354198.715492,304020.791108,279743.932507,281164.244108,-247612.452145,356066.240563
3,-0.007298,348428.243925,304012.112345,279743.932507,281164.244108,-156205.446168,356066.240563
4,-0.006946,347023.883352,304010.021744,279743.932507,281164.244108,302765.890388,356066.240563
5,-0.006228,344150.848109,304005.771083,279743.932507,281164.244108,270624.393111,356066.240563
6,-0.005846,342609.314506,304003.504937,279743.932507,281164.244108,222083.474842,356066.240563
7,-0.005187,339937.023539,303999.600596,279743.932507,281164.244108,-37536.737903,356066.240563
8,-0.004744,338125.727022,303996.971577,279743.932507,281164.244108,-104206.753696,356066.240563
9,-0.004145,335667.352653,303993.425805,279743.932507,281164.244108,-34160.543089,356066.240563
10,-0.004011,335111.337121,303992.627436,279743.932507,281164.244108,-147198.239168,356066.240563
11,-0.003250,331954.616522,303988.119846,279743.932507,281164.244108,-36138.118606,356066.240563
12,-0.003073,331214.061445,303987.068556,279743.932507,281164.244108,46360.821685,356066.240563
13,-0.002724,329752.026101,303984.999942,279743.932507,281164.244108,-48351.408554,356066.240563
14,-0.002634,329376.374585,303984.469914,279743.932507,281164.244108,-114110.764955,356066.240563
15,-0.002019,326778.239272,303980.820589,279743.932507,281164.244108,10195.740721,356066.240563
16,-0.001981,326620.950733,303980.600589,279743.932507,281164.244108,-200237.610762,356066.240563
17,-0.001875,326167.677658,303979.967188,279743.932507,281164.244108,-52029.310395,356066.240563
18,-0.000319,319497.996207,303970.748646,279743.932507,281164.244108,384928.345268,356066.240563
19,0.000049,317897.090389,303968.564268,279743.932507,281164.244108,37.107187,356066.240563
20,0.000471,316055.723114,303966.065349,279743.932507,281164.244108,170538.618503,356066.240563
21,0.000592,315526.346366,303965.349617,279743.932507,281164.244108,83361.395567,356066.240563
22,0.001023,313628.264513,303962.793215,279743.932507,281164.244108,155004.926880,356066.240563
23,0.001672,310751.789443,303958.948460,279743.932507,281164.244108,-103162.970771,356066.240563
24,0.001676,310733.694280,303958.924386,279743.932507,281164.244108,-5684.119598,356066.240563
25,0.001917,309657.467128,303957.495064,279743.932507,281164.244108,-82079.805838,356066.240563
26,0.001938,309564.766374,303957.372181,279743.932507,281164.244108,-45427.985914,356066.240563
27,0.002074,308954.461341,303956.564087,279743.932507,281164.244108,-61139.500751,356066.240563
28,0.002475,307155.072593,303954.190827,279743.932507,281164.244108,-18146.345723,356066.240563
29,0.002849,305464.405325,303951.973585,279743.932507,281164.244108,-1300.252022,356066.240563
30,0.002856,305431.021851,303951.929927,279743.932507,281164.244108,173453.218099,356066.240563
31,0.002865,305391.117516,303951.877748,279743.932507,281164.244108,125186.562061,356066.240563
32,0.006830,286856.629693,303928.378375,279743.932507,281164.244108,-1344.531061,356066.240563
33,0.007101,285542.558283,303926.768107,279743.932507,281164.244108,29724.418813,356066.240563
34,0.008740,277484.834525,303917.055729,279743.932507,281164.244108,22034.634813,356066.240563
35,0.010395,269102.230516,303907.246655,279743.932507,281164.244108,12953.414883,356066.240563
36,0.010455,268789.152610,303906.886126,279743.932507,281164.244108,92491.081009,356066.240563
37,0.011289,264461.147275,303901.945144,279743.932507,281164.244108,-69519.547269,356066.240563
38,0.011590,262879.673458,303900.159685,279743.932507,281164.244108,-83788.128724,356066.240563
39,0.011614,262753.761729,303900.017992,279743.932507,281164.244108,-64443.512916,356066.240563
40,0.011769,261936.054002,303899.099452,279743.932507,281164.244108,91937.776141,356066.240563
41,0.012306,259083.038508,303895.917041,279743.932507,281164.244108,-222106.824940,356066.240563
42,0.012358,258803.396330,303895.606987,279743.932507,281164.244108,-6700.968461,356066.240563
43,0.013730,251358.841532,303887.475888,279743.932507,281164.244108,-116603.703680,356066.240563
44,0.014275,248337.256200,303884.243330,279743.932507,281164.244108,78758.464740,356066.240563
45,0.016964,232867.097698,303868.305267,279743.932507,281164.244108,52201.526391,356066.240563
46,0.017072,232225.153653,303867.666045,279743.932507,281164.244108,-13377.611872,356066.240563
47,0.017132,231865.177758,303867.308366,279743.932507,281164.244108,93457.452092,356066.240563
48,0.021497,204147.620527,303841.433504,279743.932507,281164.244108,-185745.061839,356066.240563
49,0.024311,184082.157700,303824.754357,279743.932507,281164.244108,-166821.440589,356066.240563
