#Portfolio,RiskClass,RiskType,Quantile_0.010000,Quantile_0.050000,Quantile_0.950000,Quantile_0.990000,ExpectedShortfall_0.010000,ExpectedShortfall_0.050000,ExpectedShortfall_0.950000,ExpectedShortfall_0.990000
All,All,All,-848758.095763,-604153.865816,578623.559002,872493.070515,-924100.736182,-752063.451167,-20914.986901,6444.025534
All,All,DeltaGamma,-848758.095763,-604153.865816,578623.559002,872493.070515,-924100.736182,-752063.451167,-20914.986901,6444.025534
All,InterestRate,All,-37529.593831,-21277.223076,101449.409482,128807.699928,-42750.928238,-30913.780827,28585.840508,31967.162629
All,InterestRate,DeltaGamma,-37529.593831,-21277.223076,101449.409482,128807.699928,-42750.928238,-30913.780827,28585.840508,31967.162629
All,FX,All,-858498.844432,-611153.547222,560725.657982,831754.245007,-929565.942353,-751205.042069,-27664.708650,-772.907783
All,FX,DeltaGamma,-858498.844432,-611153.547222,560725.657982,831754.245007,-929565.942353,-751205.042069,-27664.708650,-772.907783
