2022-01-31,FRA/RATE/EUR/5M/6M,-0.0033200000
2022-01-31,FRA/RATE/EUR/6M/3M,-0.0038900000
2022-01-31,FRA/RATE/EUR/6M/6M,-0.0028700000
2022-01-31,FRA/RATE/EUR/7M/3M,-0.0035000000
2022-01-31,FRA/RATE/EUR/8M/3M,-0.0031000000
2022-01-31,FRA/RATE/EUR/9M/3M,-0.0026000000
2022-01-31,FRA/RATE/EUR/9M/6M,-0.0014000000
2022-01-31,FRA/RATE/USD/1M/3M,0.0046290000
2022-01-31,FRA/RATE/USD/2M/3M,0.0061400000
2022-01-31,FRA/RATE/USD/3M/3M,0.0073700000
2022-01-31,FRA/RATE/USD/4M/3M,0.0088100000
2022-01-31,FRA/RATE/USD/5M/3M,0.0097530000
2022-01-31,FRA/RATE/USD/6M/3M,0.0106090000
2022-01-31,FRA/RATE/USD/7M/3M,0.0116730000
2022-01-31,FRA/RATE/USD/8M/3M,0.0126400000
2022-01-31,FRA/RATE/USD/9M/3M,0.0134400000
2022-01-31,FX/RATE/EUR/USD,1.1235000000
2022-01-31,FX/RATE/GBP/USD,1.3448500000
2022-01-31,FXFWD/RATE/EUR/USD/10M,125.0800000000
2022-01-31,FXFWD/RATE/EUR/USD/11M,145.9450000000
2022-01-31,FXFWD/RATE/EUR/USD/15M,213.1100000000
2022-01-31,FXFWD/RATE/EUR/USD/18M,260.2150000000
2022-01-31,FXFWD/RATE/EUR/USD/1M,6.2700000000
2022-01-31,FXFWD/RATE/EUR/USD/1W,1.5600000000
2022-01-31,FXFWD/RATE/EUR/USD/1Y,163.1500000000
2022-01-31,FXFWD/RATE/EUR/USD/21M,315.3300000000
2022-01-31,FXFWD/RATE/EUR/USD/2M,16.0400000000
2022-01-31,FXFWD/RATE/EUR/USD/2W,3.1000000000
2022-01-31,FXFWD/RATE/EUR/USD/3M,25.1400000000
2022-01-31,FXFWD/RATE/EUR/USD/3W,4.6700000000
2022-01-31,FXFWD/RATE/EUR/USD/4M,37.0100000000
2022-01-31,FXFWD/RATE/EUR/USD/5M,50.9800000000
2022-01-31,FXFWD/RATE/EUR/USD/6M,63.5750000000
2022-01-31,FXFWD/RATE/EUR/USD/7M,78.4750000000
2022-01-31,FXFWD/RATE/EUR/USD/8M,93.2450000000
2022-01-31,FXFWD/RATE/EUR/USD/9M,109.5200000000
2022-01-31,FXFWD/RATE/EUR/USD/ON,0.2300000000
2022-01-31,FXFWD/RATE/EUR/USD/SN,0.2200000000
2022-01-31,FXFWD/RATE/EUR/USD/TN,0.2200000000
2022-01-31,FXFWD/RATE/GBP/USD/10M,-19.2150000000
2022-01-31,FXFWD/RATE/GBP/USD/11M,-17.2350000000
2022-01-31,FXFWD/RATE/GBP/USD/15M,-20.7400000000
2022-01-31,FXFWD/RATE/GBP/USD/18M,-19.6350000000
2022-01-31,FXFWD/RATE/GBP/USD/1M,-2.5100000000
2022-01-31,FXFWD/RATE/GBP/USD/1W,-0.5950000000
2022-01-31,FXFWD/RATE/GBP/USD/1Y,-18.2750000000
2022-01-31,FXFWD/RATE/GBP/USD/21M,-8.5000000000
2022-01-31,FXFWD/RATE/GBP/USD/2M,-4.6800000000
2022-01-31,FXFWD/RATE/GBP/USD/2W,-1.2350000000
2022-01-31,FXFWD/RATE/GBP/USD/3M,-6.3850000000
2022-01-31,FXFWD/RATE/GBP/USD/3W,-1.8800000000
2022-01-31,FXFWD/RATE/GBP/USD/4M,-8.6750000000
2022-01-31,FXFWD/RATE/GBP/USD/5M,-10.2550000000
2022-01-31,FXFWD/RATE/GBP/USD/6M,-11.8500000000
2022-01-31,FXFWD/RATE/GBP/USD/7M,-14.4950000000
2022-01-31,FXFWD/RATE/GBP/USD/8M,-16.3650000000
2022-01-31,FXFWD/RATE/GBP/USD/9M,-17.8400000000
2022-01-31,FXFWD/RATE/GBP/USD/ON,0.0950000000
2022-01-31,FXFWD/RATE/GBP/USD/SN,-0.0150000000
2022-01-31,FXFWD/RATE/GBP/USD/TN,-0.0070000000
2022-01-31,FX_OPTION/RATE_LNVOL/EUR/USD/10Y/10BF,0.0152500000
2022-01-31,FX_OPTION/RATE_LNVOL/EUR/USD/10Y/10RR,-0.0027100000
2022-01-31,FX_OPTION/RATE_LNVOL/EUR/USD/10Y/25BF,0.0040500000
2022-01-31,FX_OPTION/RATE_LNVOL/EUR/USD/10Y/25RR,-0.0018100000
2022-01-31,FX_OPTION/RATE_LNVOL/EUR/USD/10Y/ATM,0.0774800000
2022-01-31,FX_OPTION/RATE_LNVOL/EUR/USD/1D/10BF,0.0042500000
2022-01-31,FX_OPTION/RATE_LNVOL/EUR/USD/1D/10RR,-0.0074800000
2022-01-31,FX_OPTION/RATE_LNVOL/EUR/USD/1D/25BF,0.0011600000
2022-01-31,FX_OPTION/RATE_LNVOL/EUR/USD/1D/25RR,-0.0038600000
2022-01-31,FX_OPTION/RATE_LNVOL/EUR/USD/1D/ATM,0.0754000000
2022-01-31,FX_OPTION/RATE_LNVOL/EUR/USD/1M/10BF,0.0047100000
2022-01-31,FX_OPTION/RATE_LNVOL/EUR/USD/1M/10RR,-0.0064700000
2022-01-31,FX_OPTION/RATE_LNVOL/EUR/USD/1M/25BF,0.0012800000
2022-01-31,FX_OPTION/RATE_LNVOL/EUR/USD/1M/25RR,-0.0033200000
2022-01-31,FX_OPTION/RATE_LNVOL/EUR/USD/1M/ATM,0.0602000000
2022-01-31,FX_OPTION/RATE_LNVOL/EUR/USD/1W/10BF,0.0042800000
2022-01-31,FX_OPTION/RATE_LNVOL/EUR/USD/1W/10RR,-0.0072500000
2022-01-31,FX_OPTION/RATE_LNVOL/EUR/USD/1W/25BF,0.0011700000
2022-01-31,FX_OPTION/RATE_LNVOL/EUR/USD/1W/25RR,-0.0037300000
2022-01-31,FX_OPTION/RATE_LNVOL/EUR/USD/1W/ATM,0.0659000000
2022-01-31,FX_OPTION/RATE_LNVOL/EUR/USD/1Y/10BF,0.0112000000
2022-01-31,FX_OPTION/RATE_LNVOL/EUR/USD/1Y/10RR,-0.0094700000
2022-01-31,FX_OPTION/RATE_LNVOL/EUR/USD/1Y/25BF,0.0030100000
2022-01-31,FX_OPTION/RATE_LNVOL/EUR/USD/1Y/25RR,-0.0047800000
2022-01-31,FX_OPTION/RATE_LNVOL/EUR/USD/1Y/ATM,0.0614000000
2022-01-31,FX_OPTION/RATE_LNVOL/EUR/USD/2M/10BF,0.0053500000
2022-01-31,FX_OPTION/RATE_LNVOL/EUR/USD/2M/10RR,-0.0069000000
2022-01-31,FX_OPTION/RATE_LNVOL/EUR/USD/2M/25BF,0.0014600000
2022-01-31,FX_OPTION/RATE_LNVOL/EUR/USD/2M/25RR,-0.0035300000
2022-01-31,FX_OPTION/RATE_LNVOL/EUR/USD/2M/ATM,0.0604000000
2022-01-31,FX_OPTION/RATE_LNVOL/EUR/USD/2Y/10BF,0.0118800000
2022-01-31,FX_OPTION/RATE_LNVOL/EUR/USD/2Y/10RR,-0.0073800000
2022-01-31,FX_OPTION/RATE_LNVOL/EUR/USD/2Y/25BF,0.0031700000
2022-01-31,FX_OPTION/RATE_LNVOL/EUR/USD/2Y/25RR,-0.0037800000
2022-01-31,FX_OPTION/RATE_LNVOL/EUR/USD/2Y/ATM,0.0651300000
2022-01-31,FX_OPTION/RATE_LNVOL/EUR/USD/3M/10BF,0.0065100000
2022-01-31,FX_OPTION/RATE_LNVOL/EUR/USD/3M/10RR,-0.0090700000
2022-01-31,FX_OPTION/RATE_LNVOL/EUR/USD/3M/25BF,0.0017700000
2022-01-31,FX_OPTION/RATE_LNVOL/EUR/USD/3M/25RR,-0.0046200000
2022-01-31,FX_OPTION/RATE_LNVOL/EUR/USD/3M/ATM,0.0609000000
2022-01-31,FX_OPTION/RATE_LNVOL/EUR/USD/3Y/10BF,0.0126800000
2022-01-31,FX_OPTION/RATE_LNVOL/EUR/USD/3Y/10RR,-0.0052800000
2022-01-31,FX_OPTION/RATE_LNVOL/EUR/USD/3Y/25BF,0.0033800000
2022-01-31,FX_OPTION/RATE_LNVOL/EUR/USD/3Y/25RR,-0.0027900000
2022-01-31,FX_OPTION/RATE_LNVOL/EUR/USD/3Y/ATM,0.0676400000
2022-01-31,FX_OPTION/RATE_LNVOL/EUR/USD/5Y/10BF,0.0142200000
2022-01-31,FX_OPTION/RATE_LNVOL/EUR/USD/5Y/10RR,-0.0032700000
2022-01-31,FX_OPTION/RATE_LNVOL/EUR/USD/5Y/25BF,0.0037900000
2022-01-31,FX_OPTION/RATE_LNVOL/EUR/USD/5Y/25RR,-0.0019000000
2022-01-31,FX_OPTION/RATE_LNVOL/EUR/USD/5Y/ATM,0.0738600000
2022-01-31,FX_OPTION/RATE_LNVOL/EUR/USD/6M/10BF,0.0089600000
2022-01-31,FX_OPTION/RATE_LNVOL/EUR/USD/6M/10RR,-0.0094300000
2022-01-31,FX_OPTION/RATE_LNVOL/EUR/USD/6M/25BF,0.0024200000
2022-01-31,FX_OPTION/RATE_LNVOL/EUR/USD/6M/25RR,-0.0047700000
2022-01-31,FX_OPTION/RATE_LNVOL/EUR/USD/6M/ATM,0.0613000000
2022-01-31,FX_OPTION/RATE_LNVOL/EUR/USD/7Y/10BF,0.0170000000
2022-01-31,FX_OPTION/RATE_LNVOL/EUR/USD/7Y/10RR,-0.0030000000
2022-01-31,FX_OPTION/RATE_LNVOL/EUR/USD/7Y/25BF,0.0047500000
2022-01-31,FX_OPTION/RATE_LNVOL/EUR/USD/7Y/25RR,-0.0017500000
2022-01-31,FX_OPTION/RATE_LNVOL/EUR/USD/7Y/ATM,0.0755000000
2022-01-31,FX_OPTION/RATE_LNVOL/EUR/USD/9M/10BF,0.0104000000
2022-01-31,FX_OPTION/RATE_LNVOL/EUR/USD/9M/10RR,-0.0095000000
2022-01-31,FX_OPTION/RATE_LNVOL/EUR/USD/9M/25BF,0.0028000000
2022-01-31,FX_OPTION/RATE_LNVOL/EUR/USD/9M/25RR,-0.0047900000
2022-01-31,FX_OPTION/RATE_LNVOL/EUR/USD/9M/ATM,0.0613000000
2022-01-31,FX_OPTION/RATE_LNVOL/GBP/USD/10Y/10BF,0.0131100000
2022-01-31,FX_OPTION/RATE_LNVOL/GBP/USD/10Y/10RR,-0.0285000000
2022-01-31,FX_OPTION/RATE_LNVOL/GBP/USD/10Y/25BF,0.0035400000
2022-01-31,FX_OPTION/RATE_LNVOL/GBP/USD/10Y/25RR,-0.0146900000
2022-01-31,FX_OPTION/RATE_LNVOL/GBP/USD/10Y/ATM,0.1001400000
2022-01-31,FX_OPTION/RATE_LNVOL/GBP/USD/18M/ATM,0.0778000000
2022-01-31,FX_OPTION/RATE_LNVOL/GBP/USD/1D/10BF,0.0059000000
2022-01-31,FX_OPTION/RATE_LNVOL/GBP/USD/1D/10RR,-0.0120500000
2022-01-31,FX_OPTION/RATE_LNVOL/GBP/USD/1D/25BF,0.0016100000
2022-01-31,FX_OPTION/RATE_LNVOL/GBP/USD/1D/25RR,-0.0061800000
2022-01-31,FX_OPTION/RATE_LNVOL/GBP/USD/1D/ATM,0.0797000000
2022-01-31,FX_OPTION/RATE_LNVOL/GBP/USD/1M/10BF,0.0062100000
2022-01-31,FX_OPTION/RATE_LNVOL/GBP/USD/1M/10RR,-0.0141000000
2022-01-31,FX_OPTION/RATE_LNVOL/GBP/USD/1M/25BF,0.0016800000
2022-01-31,FX_OPTION/RATE_LNVOL/GBP/USD/1M/25RR,-0.0071800000
2022-01-31,FX_OPTION/RATE_LNVOL/GBP/USD/1M/ATM,0.0650000000
2022-01-31,FX_OPTION/RATE_LNVOL/GBP/USD/1W/10BF,0.0059000000
2022-01-31,FX_OPTION/RATE_LNVOL/GBP/USD/1W/10RR,-0.0128900000
2022-01-31,FX_OPTION/RATE_LNVOL/GBP/USD/1W/25BF,0.0016100000
2022-01-31,FX_OPTION/RATE_LNVOL/GBP/USD/1W/25RR,-0.0065800000
2022-01-31,FX_OPTION/RATE_LNVOL/GBP/USD/1W/ATM,0.0690000000
2022-01-31,FX_OPTION/RATE_LNVOL/GBP/USD/1Y/10BF,0.0148800000
2022-01-31,FX_OPTION/RATE_LNVOL/GBP/USD/1Y/10RR,-0.0243500000
2022-01-31,FX_OPTION/RATE_LNVOL/GBP/USD/1Y/25BF,0.0039000000
2022-01-31,FX_OPTION/RATE_LNVOL/GBP/USD/1Y/25RR,-0.0120300000
2022-01-31,FX_OPTION/RATE_LNVOL/GBP/USD/1Y/ATM,0.0743000000
2022-01-31,FX_OPTION/RATE_LNVOL/GBP/USD/2M/10BF,0.0070000000
2022-01-31,FX_OPTION/RATE_LNVOL/GBP/USD/2M/10RR,-0.0163000000
2022-01-31,FX_OPTION/RATE_LNVOL/GBP/USD/2M/25BF,0.0019000000
2022-01-31,FX_OPTION/RATE_LNVOL/GBP/USD/2M/25RR,-0.0082800000
2022-01-31,FX_OPTION/RATE_LNVOL/GBP/USD/2M/ATM,0.0665000000
2022-01-31,FX_OPTION/RATE_LNVOL/GBP/USD/2W/ATM,0.0645900000
2022-01-31,FX_OPTION/RATE_LNVOL/GBP/USD/2Y/10BF,0.0163900000
2022-01-31,FX_OPTION/RATE_LNVOL/GBP/USD/2Y/10RR,-0.0254000000
2022-01-31,FX_OPTION/RATE_LNVOL/GBP/USD/2Y/25BF,0.0043600000
2022-01-31,FX_OPTION/RATE_LNVOL/GBP/USD/2Y/25RR,-0.0127100000
2022-01-31,FX_OPTION/RATE_LNVOL/GBP/USD/2Y/ATM,0.0787500000
2022-01-31,FX_OPTION/RATE_LNVOL/GBP/USD/3M/10BF,0.0083200000
2022-01-31,FX_OPTION/RATE_LNVOL/GBP/USD/3M/10RR,-0.0176800000
2022-01-31,FX_OPTION/RATE_LNVOL/GBP/USD/3M/25BF,0.0022400000
2022-01-31,FX_OPTION/RATE_LNVOL/GBP/USD/3M/25RR,-0.0089300000
2022-01-31,FX_OPTION/RATE_LNVOL/GBP/USD/3M/ATM,0.0683000000
2022-01-31,FX_OPTION/RATE_LNVOL/GBP/USD/3W/ATM,0.0636200000
2022-01-31,FX_OPTION/RATE_LNVOL/GBP/USD/3Y/10BF,0.0163900000
2022-01-31,FX_OPTION/RATE_LNVOL/GBP/USD/3Y/10RR,-0.0264600000
2022-01-31,FX_OPTION/RATE_LNVOL/GBP/USD/3Y/25BF,0.0043700000
2022-01-31,FX_OPTION/RATE_LNVOL/GBP/USD/3Y/25RR,-0.0133400000
2022-01-31,FX_OPTION/RATE_LNVOL/GBP/USD/3Y/ATM,0.0842100000
2022-01-31,FX_OPTION/RATE_LNVOL/GBP/USD/4M/ATM,0.0692900000
2022-01-31,FX_OPTION/RATE_LNVOL/GBP/USD/4Y/ATM,0.0902500000
2022-01-31,FX_OPTION/RATE_LNVOL/GBP/USD/5M/ATM,0.0703600000
2022-01-31,FX_OPTION/RATE_LNVOL/GBP/USD/5Y/10BF,0.0147600000
2022-01-31,FX_OPTION/RATE_LNVOL/GBP/USD/5Y/10RR,-0.0288000000
2022-01-31,FX_OPTION/RATE_LNVOL/GBP/USD/5Y/25BF,0.0039700000
2022-01-31,FX_OPTION/RATE_LNVOL/GBP/USD/5Y/25RR,-0.0147000000
2022-01-31,FX_OPTION/RATE_LNVOL/GBP/USD/5Y/ATM,0.0957300000
2022-01-31,FX_OPTION/RATE_LNVOL/GBP/USD/6M/10BF,0.0114500000
2022-01-31,FX_OPTION/RATE_LNVOL/GBP/USD/6M/10RR,-0.0207700000
2022-01-31,FX_OPTION/RATE_LNVOL/GBP/USD/6M/25BF,0.0030500000
2022-01-31,FX_OPTION/RATE_LNVOL/GBP/USD/6M/25RR,-0.0103700000
2022-01-31,FX_OPTION/RATE_LNVOL/GBP/USD/6M/ATM,0.0705000000
2022-01-31,FX_OPTION/RATE_LNVOL/GBP/USD/6W/ATM,0.0657800000
2022-01-31,FX_OPTION/RATE_LNVOL/GBP/USD/6Y/ATM,0.0972700000
2022-01-31,FX_OPTION/RATE_LNVOL/GBP/USD/7Y/ATM,0.0993000000
2022-01-31,FX_OPTION/RATE_LNVOL/GBP/USD/8Y/ATM,0.1014800000
2022-01-31,FX_OPTION/RATE_LNVOL/GBP/USD/9M/10BF,0.0134000000
2022-01-31,FX_OPTION/RATE_LNVOL/GBP/USD/9M/10RR,-0.0226200000
