number,value
1,4.914493664931932e-05
2,8.846877641067415e-06
3,5.825660394663189e-10
4,2.129894822531078e-10
5,9.25491394904813e-11
6,1.0861256213786367e-11
7,8.478795493801344e-14
8,9.74468072232239e-13
