#Scenario,TradeId,NettingSetId,CVA,DVA,FBA,FCA,FBAexOwnSP,FCAexOwnSP,FBAexAllSP,FCAexAllSP,COLVA,MVA,OurKVACCR,TheirKVACCR,OurKVACVA,TheirKVACVA,CollateralFloor,AllocatedCVA,AllocatedDVA,AllocationMethod,BaselEPE,BaselEEPE
BASE,,CPTY_A,86594.42,2630213.01,1254758.58,-12509.85,1349148.79,-14521.41,1410071.09,-15885.22,0.00,-32236.81,0.00,0.00,0.00,0.00,0.00,86594.42,2630213.01,None,0.00,0.00
BASE,BermSwp,CPTY_A,4418.07,69.06,29.25,-654.75,38.51,-740.89,45.35,-799.67,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.00,0.00,None,52993.66,52993.66
BASE,CC_SWAP_EUR_USD,CPTY_A,61520.71,2642650.66,1261785.55,-9117.18,1354631.42,-10316.70,1414334.49,-11105.19,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.00,0.00,None,0.00,0.00
BASE,FX_CALL_OPTION,CPTY_A,15635.84,0.00,0.00,-2420.47,0.00,-2622.05,0.00,-2752.41,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.00,0.00,None,275570.17,275570.17
BASE,Swap_EUR,CPTY_A,38558.12,68797.07,31686.55,-5666.30,36221.27,-6465.98,39329.90,-7012.45,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.00,0.00,None,216190.86,216190.86
BASE,Swap_USD,CPTY_A,50525.67,54896.61,25414.58,-7472.99,28795.87,-8472.87,31101.10,-9152.23,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.00,0.00,None,321080.41,321080.41
eur_6m_up,,CPTY_A,109971.44,3100102.28,1483630.81,-15517.51,1586327.91,-18441.62,1652250.52,-20459.76,0.00,-32182.04,0.00,0.00,0.00,0.00,0.00,109971.44,3100102.28,None,0.00,0.00
eur_6m_up,BermSwp,CPTY_A,12883.97,61.34,25.98,-1912.47,34.21,-2160.57,40.30,-2329.60,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.00,0.00,None,156662.66,156662.66
eur_6m_up,CC_SWAP_EUR_USD,CPTY_A,47317.13,3351864.97,1604447.97,-6966.94,1714886.88,-7934.83,1785689.26,-8573.42,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.00,0.00,None,0.00,0.00
eur_6m_up,FX_CALL_OPTION,CPTY_A,15635.50,0.00,0.00,-2420.42,0.00,-2621.99,0.00,-2752.36,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.00,0.00,None,275565.04,275565.04
