#Scenario,NettingSet,Date,Time,EPE,ENE,PFE,ExpectedCollateral,BaselEE,BaselEEE,TimeWeightedBaselEPE,TimeWeightedBaselEEPE
BASE,CPTY_A,2016-02-05,0.000000,0.00,36797720.00,0.00,-36797721.66,0.00,0.00,0.00,0.00
BASE,CPTY_A,2016-05-06,0.248634,0.00,36802780.00,0.00,0.00,0.00,0.00,0.00,0.00
BASE,CPTY_A,2016-08-05,0.497268,0.00,36388172.00,0.00,0.00,0.00,0.00,0.00,0.00
BASE,CPTY_A,2016-11-07,0.754098,0.00,36492184.00,0.00,0.00,0.00,0.00,0.00,0.00
BASE,CPTY_A,2017-02-06,1.003002,0.00,35149056.00,0.00,0.00,0.00,0.00,0.00,0.00
BASE,CPTY_A,2017-05-05,1.244098,342.73,34982076.00,0.00,0.00,351.43,351.43,68.10,68.10
BASE,CPTY_A,2017-08-07,1.501632,3550.62,33760556.00,0.00,0.00,3659.66,3659.66,684.07,684.07
BASE,CPTY_A,2017-11-06,1.750947,7927.89,33877508.00,0.00,0.00,8212.25,8212.25,1755.99,1755.99
BASE,CPTY_A,2018-02-05,2.000262,20511.83,32540216.00,0.00,0.00,21353.38,21353.38,4198.64,4198.64
BASE,CPTY_A,2018-05-08,2.252317,33616.59,32345766.00,0.00,0.00,35173.21,35173.21,7664.97,7664.97
BASE,CPTY_A,2018-08-06,2.498892,67377.44,31318100.00,0.00,0.00,70847.20,70847.20,13899.41,13899.41
BASE,CPTY_A,2018-11-05,2.748207,90814.88,31482216.00,0.00,0.00,95970.74,95970.74,21344.85,21344.85
BASE,CPTY_A,2019-02-05,3.000262,151631.89,30453116.00,0.00,0.00,161053.42,161053.42,33081.90,33081.90
BASE,CPTY_A,2019-05-07,3.249577,222789.95,30334464.00,0.00,0.00,237820.18,237820.18,48789.89,48789.89
BASE,CPTY_A,2019-08-05,3.496152,297968.94,29485380.00,0.00,0.00,319649.41,319649.41,67892.97,67892.97
BASE,CPTY_A,2019-11-05,3.748207,369426.16,29698508.00,0.00,0.00,398316.35,398316.35,90112.88,90112.88
BASE,CPTY_A,2020-02-05,4.000000,462531.56,28850092.00,0.00,0.00,501232.76,501232.76,115992.13,115992.13
BASE,CPTY_A,2020-05-05,4.245902,516221.50,28687786.00,259685.53,0.00,562191.03,562191.03,141833.77,141833.77
BASE,CPTY_A,2020-08-05,4.497268,636389.50,27934784.00,1631574.99,0.00,696575.78,696575.78,172840.00,172840.00
BASE,CPTY_A,2020-11-05,4.748634,734613.38,28115990.00,2727798.37,0.00,808168.09,808168.09,206470.72,206470.72
BASE,CPTY_A,2021-02-05,5.000262,872639.06,27383016.00,4917367.07,0.00,964883.87,964883.87,244636.33,244636.33
BASE,CPTY_A,2021-05-05,5.244098,960720.06,27298778.00,6138306.33,0.00,1067488.24,1067488.24,282896.61,282896.61
BASE,CPTY_A,2021-08-05,5.496152,1076842.50,26575198.00,6923937.26,0.00,1202585.52,1202585.52,325073.75,325073.75
BASE,CPTY_A,2021-11-05,5.748207,1188836.00,26767488.00,7757058.45,0.00,1334391.44,1334391.44,369331.61,369331.61
BASE,CPTY_A,2022-02-07,6.005741,1292360.38,26073470.00,8940977.59,0.00,1458109.72,1458109.72,416019.88,416019.88
BASE,CPTY_A,2022-05-05,6.244098,1436882.13,26010428.00,10148934.67,0.00,1628942.72,1628942.72,462320.82,462320.82
BASE,CPTY_A,2022-08-05,6.496152,1585263.63,25433458.00,11578904.89,0.00,1806274.23,1806274.23,514467.06,514467.06
BASE,CPTY_A,2022-11-07,6.753687,1643401.13,25596812.00,12105475.03,0.00,1882223.01,1882223.01,566622.87,566622.87
BASE,CPTY_A,2023-02-06,7.003002,1797448.88,24989606.00,13488600.83,0.00,2068986.55,2068986.55,620108.78,620108.78
BASE,CPTY_A,2023-05-05,7.244098,1921410.25,24952672.00,14315821.70,0.00,2222404.96,2222404.96,673435.92,673435.92
BASE,CPTY_A,2023-08-07,7.501632,2112756.00,24394722.00,16184082.04,0.00,2456392.28,2456392.28,734645.58,734645.58
BASE,CPTY_A,2023-11-06,7.750947,2178631.25,24592708.00,16793611.91,0.00,2545691.57,2545691.57,792899.24,792899.24
BASE,CPTY_A,2024-02-05,8.000000,2369743.75,24051574.00,18075876.47,0.00,2782896.55,2782896.55,854851.11,854851.11
BASE,CPTY_A,2024-05-07,8.251366,2485977.00,24011546.00,19128355.30,0.00,2934203.09,2934203.09,918195.61,918195.61
BASE,CPTY_A,2024-08-05,8.497268,2687816.25,23522982.00,20569328.06,0.00,3188175.87,3188175.87,983886.35,983886.35
BASE,CPTY_A,2024-11-05,8.748634,2738647.50,23680236.00,21243278.25,0.00,3264947.80,3264947.80,1049425.91,1049425.91
BASE,CPTY_A,2025-02-05,9.000262,2968270.50,23183416.00,22391101.07,0.00,3556648.68,3556648.68,1119522.51,1119522.51
BASE,CPTY_A,2025-05-06,9.246837,3099355.00,23173096.00,23216093.36,0.00,3732145.95,3732145.95,1189190.49,1189190.49
BASE,CPTY_A,2025-08-05,9.496152,3310205.25,22769402.00,24541813.95,0.00,4006046.01,4006046.01,1263145.13,1263145.13
BASE,CPTY_A,2025-11-05,9.748207,3378787.00,22977856.00,24735187.14,0.00,4109787.86,4109787.86,1336749.43,1336749.43
BASE,CPTY_A,2026-02-05,10.000262,966609.81,541421.69,3653310.52,0.00,1181700.33,4109787.86,1332841.44,1406643.36
BASE,CPTY_A,2026-05-05,10.244098,869165.50,564620.44,3440067.28,0.00,1067786.67,4109787.86,1326532.46,1470985.08
BASE,CPTY_A,2026-08-05,10.496152,845007.56,574433.13,3365892.53,0.00,1043374.31,4109787.86,1319732.70,1534353.34
BASE,CPTY_A,2026-11-05,10.748207,754134.56,601969.81,3121185.23,0.00,935892.41,4109787.86,1310731.31,1594749.52
BASE,CPTY_A,2027-02-05,11.000262,733271.63,612948.19,3064092.36,0.00,914617.41,4109787.86,1301654.94,1652377.92
BASE,CPTY_A,2027-05-05,11.244098,798953.38,526868.25,3133648.59,0.00,1001433.02,4109787.86,1295144.44,1705668.46
BASE,CPTY_A,2027-08-05,11.496152,777399.06,537557.50,3067479.19,0.00,979359.15,4109787.86,1288220.80,1758379.12
BASE,CPTY_A,2027-11-05,11.748207,684320.25,561466.00,2812275.13,0.00,866472.68,4109787.86,1279172.30,1808828.00
BASE,CPTY_A,2028-02-07,12.005464,662429.38,571049.69,2778194.92,0.00,843102.54,4109787.86,1269828.04,1858133.77
BASE,CPTY_A,2028-05-05,12.245902,723983.31,483240.66,2829817.92,0.00,925915.34,4109787.86,1263075.63,1902342.95
BASE,CPTY_A,2028-08-07,12.502732,702670.50,493874.13,2770792.38,0.00,903315.97,4109787.86,1255685.46,1947688.19
BASE,CPTY_A,2028-11-06,12.751366,610611.50,516625.72,2512559.30,0.00,788908.38,4109787.86,1246583.96,1989846.13
BASE,CPTY_A,2029-02-05,13.000262,588373.00,524749.19,2465347.35,0.00,763990.38,4109787.86,1237344.49,2030433.37
BASE,CPTY_A,2029-05-08,13.252317,646299.44,437267.28,2515323.59,0.00,843463.76,4109787.86,1229853.00,2069982.02
